class I
population/area	coverage	average_hit	pc90
American Samoa	99.64%	11779.63	4635.96
average	99.64%	11779.63	4635.96
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
American Samoa	0	0.36	100.0
American Samoa	1	0.0	99.64
American Samoa	2	0.0	99.64
American Samoa	3	0.0	99.64
American Samoa	4	0.0	99.64
American Samoa	5	0.0	99.64
American Samoa	6	0.0	99.64
American Samoa	7	0.0	99.64
American Samoa	8	0.0	99.64
American Samoa	9	0.0	99.64
American Samoa	10	0.0	99.64
American Samoa	11	0.0	99.64
American Samoa	12	0.0	99.64
American Samoa	13	0.0	99.64
American Samoa	14	0.0	99.64
American Samoa	15	0.0	99.64
American Samoa	16	0.0	99.64
American Samoa	17	0.0	99.64
American Samoa	18	0.0	99.64
American Samoa	19	0.0	99.64
American Samoa	20	0.0	99.64
American Samoa	21	0.0	99.64
American Samoa	22	0.0	99.64
American Samoa	23	0.0	99.64
American Samoa	24	0.0	99.64
American Samoa	25	0.0	99.64
American Samoa	26	0.0	99.64
American Samoa	27	0.0	99.64
American Samoa	28	0.0	99.64
American Samoa	29	0.0	99.64
American Samoa	30	0.0	99.64
American Samoa	31	0.0	99.64
American Samoa	32	0.0	99.64
American Samoa	33	0.0	99.64
American Samoa	34	0.0	99.64
American Samoa	35	0.0	99.64
American Samoa	36	0.0	99.64
American Samoa	37	0.0	99.64
American Samoa	38	0.0	99.64
American Samoa	39	0.0	99.64
American Samoa	40	0.0	99.64
American Samoa	41	0.0	99.64
American Samoa	42	0.0	99.64
American Samoa	43	0.0	99.64
American Samoa	44	0.0	99.64
American Samoa	45	0.0	99.64
American Samoa	46	0.0	99.64
American Samoa	47	0.0	99.64
American Samoa	48	0.0	99.64
American Samoa	49	0.0	99.64
American Samoa	50	0.0	99.64
American Samoa	51	0.0	99.64
American Samoa	52	0.0	99.64
American Samoa	53	0.0	99.64
American Samoa	54	0.0	99.64
American Samoa	55	0.0	99.64
American Samoa	56	0.0	99.64
American Samoa	57	0.0	99.64
American Samoa	58	0.0	99.64
American Samoa	59	0.0	99.64
American Samoa	60	0.0	99.64
American Samoa	61	0.0	99.64
American Samoa	62	0.0	99.64
American Samoa	63	0.0	99.64
American Samoa	64	0.0	99.64
American Samoa	65	0.0	99.64
American Samoa	66	0.0	99.64
American Samoa	67	0.0	99.64
American Samoa	68	0.0	99.64
American Samoa	69	0.0	99.64
American Samoa	70	0.0	99.64
American Samoa	71	0.0	99.64
American Samoa	72	0.0	99.64
American Samoa	73	0.0	99.64
American Samoa	74	0.0	99.64
American Samoa	75	0.0	99.64
American Samoa	76	0.0	99.64
American Samoa	77	0.0	99.64
American Samoa	78	0.0	99.64
American Samoa	79	0.0	99.64
American Samoa	80	0.0	99.64
American Samoa	81	0.0	99.64
American Samoa	82	0.0	99.64
American Samoa	83	0.0	99.64
American Samoa	84	0.0	99.64
