class I
population/area	coverage	average_hit	pc90
Australia Cape York Peninsula Aborigine	99.95%	15351.15	5147.53
average	99.95%	15351.15	5147.53
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Australia Cape York Peninsula Aborigine	0	0.05	100.0
Australia Cape York Peninsula Aborigine	1	0.0	99.95
Australia Cape York Peninsula Aborigine	2	0.0	99.95
Australia Cape York Peninsula Aborigine	3	0.05	99.95
Australia Cape York Peninsula Aborigine	4	0.0	99.9
Australia Cape York Peninsula Aborigine	5	0.0	99.9
Australia Cape York Peninsula Aborigine	6	0.0	99.9
Australia Cape York Peninsula Aborigine	7	0.0	99.9
Australia Cape York Peninsula Aborigine	8	0.0	99.9
Australia Cape York Peninsula Aborigine	9	0.17	99.9
Australia Cape York Peninsula Aborigine	10	0.0	99.73
Australia Cape York Peninsula Aborigine	11	0.0	99.73
Australia Cape York Peninsula Aborigine	12	0.15	99.73
Australia Cape York Peninsula Aborigine	13	0.0	99.58
Australia Cape York Peninsula Aborigine	14	0.0	99.58
Australia Cape York Peninsula Aborigine	15	0.0	99.58
Australia Cape York Peninsula Aborigine	16	0.0	99.58
Australia Cape York Peninsula Aborigine	17	0.0	99.58
Australia Cape York Peninsula Aborigine	18	0.0	99.58
Australia Cape York Peninsula Aborigine	19	0.0	99.58
Australia Cape York Peninsula Aborigine	20	0.0	99.58
Australia Cape York Peninsula Aborigine	21	0.0	99.58
Australia Cape York Peninsula Aborigine	22	0.0	99.58
Australia Cape York Peninsula Aborigine	23	0.0	99.58
Australia Cape York Peninsula Aborigine	24	0.0	99.58
Australia Cape York Peninsula Aborigine	25	0.0	99.58
Australia Cape York Peninsula Aborigine	26	0.0	99.58
Australia Cape York Peninsula Aborigine	27	0.01	99.58
Australia Cape York Peninsula Aborigine	28	0.0	99.57
Australia Cape York Peninsula Aborigine	29	0.0	99.57
Australia Cape York Peninsula Aborigine	30	0.01	99.57
Australia Cape York Peninsula Aborigine	31	0.0	99.56
Australia Cape York Peninsula Aborigine	32	0.0	99.56
Australia Cape York Peninsula Aborigine	33	0.0	99.56
Australia Cape York Peninsula Aborigine	34	0.0	99.56
Australia Cape York Peninsula Aborigine	35	0.0	99.56
Australia Cape York Peninsula Aborigine	36	0.0	99.56
Australia Cape York Peninsula Aborigine	37	0.0	99.56
Australia Cape York Peninsula Aborigine	38	0.0	99.56
Australia Cape York Peninsula Aborigine	39	0.0	99.56
Australia Cape York Peninsula Aborigine	40	0.0	99.56
Australia Cape York Peninsula Aborigine	41	0.0	99.56
Australia Cape York Peninsula Aborigine	42	0.0	99.56
Australia Cape York Peninsula Aborigine	43	0.0	99.56
Australia Cape York Peninsula Aborigine	44	0.0	99.56
Australia Cape York Peninsula Aborigine	45	0.0	99.56
Australia Cape York Peninsula Aborigine	46	0.0	99.56
Australia Cape York Peninsula Aborigine	47	0.0	99.56
Australia Cape York Peninsula Aborigine	48	0.0	99.56
Australia Cape York Peninsula Aborigine	49	0.0	99.56
Australia Cape York Peninsula Aborigine	50	0.0	99.56
Australia Cape York Peninsula Aborigine	51	0.0	99.56
Australia Cape York Peninsula Aborigine	52	0.0	99.55
Australia Cape York Peninsula Aborigine	53	0.0	99.55
Australia Cape York Peninsula Aborigine	54	0.0	99.55
Australia Cape York Peninsula Aborigine	55	0.0	99.55
Australia Cape York Peninsula Aborigine	56	0.0	99.54
Australia Cape York Peninsula Aborigine	57	0.0	99.54
Australia Cape York Peninsula Aborigine	58	0.0	99.54
Australia Cape York Peninsula Aborigine	59	0.0	99.54
Australia Cape York Peninsula Aborigine	60	0.0	99.54
Australia Cape York Peninsula Aborigine	61	0.0	99.54
Australia Cape York Peninsula Aborigine	62	0.0	99.54
Australia Cape York Peninsula Aborigine	63	0.0	99.54
Australia Cape York Peninsula Aborigine	64	0.0	99.54
Australia Cape York Peninsula Aborigine	65	0.0	99.54
Australia Cape York Peninsula Aborigine	66	0.0	99.54
Australia Cape York Peninsula Aborigine	67	0.0	99.54
Australia Cape York Peninsula Aborigine	68	0.0	99.54
Australia Cape York Peninsula Aborigine	69	0.0	99.54
Australia Cape York Peninsula Aborigine	70	0.0	99.54
Australia Cape York Peninsula Aborigine	71	0.0	99.54
