class I
population/area	coverage	average_hit	pc90
Australia Kimberly Aborigine	100.0%	9082.11	548.32
average	100.0%	9082.11	548.32
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Australia Kimberly Aborigine	0	0.0	100.0
Australia Kimberly Aborigine	1	0.0	100.0
Australia Kimberly Aborigine	2	0.0	100.0
Australia Kimberly Aborigine	3	0.02	100.0
Australia Kimberly Aborigine	4	0.0	99.98
Australia Kimberly Aborigine	5	0.0	99.98
Australia Kimberly Aborigine	6	0.0	99.98
Australia Kimberly Aborigine	7	0.0	99.98
Australia Kimberly Aborigine	8	0.0	99.98
Australia Kimberly Aborigine	9	0.24	99.98
Australia Kimberly Aborigine	10	0.0	99.74
Australia Kimberly Aborigine	11	0.0	99.74
Australia Kimberly Aborigine	12	2.01	99.74
Australia Kimberly Aborigine	13	0.0	97.74
Australia Kimberly Aborigine	14	0.0	97.74
Australia Kimberly Aborigine	15	0.0	97.74
Australia Kimberly Aborigine	16	0.0	97.74
Australia Kimberly Aborigine	17	0.0	97.74
Australia Kimberly Aborigine	18	0.0	97.74
Australia Kimberly Aborigine	19	0.0	97.74
Australia Kimberly Aborigine	20	0.0	97.74
Australia Kimberly Aborigine	21	0.0	97.74
Australia Kimberly Aborigine	22	0.0	97.74
Australia Kimberly Aborigine	23	0.0	97.74
Australia Kimberly Aborigine	24	0.0	97.74
Australia Kimberly Aborigine	25	0.0	97.74
Australia Kimberly Aborigine	26	0.0	97.74
Australia Kimberly Aborigine	27	0.0	97.74
Australia Kimberly Aborigine	28	0.0	97.74
Australia Kimberly Aborigine	29	0.0	97.74
Australia Kimberly Aborigine	30	0.0	97.74
Australia Kimberly Aborigine	31	0.0	97.74
Australia Kimberly Aborigine	32	0.0	97.74
Australia Kimberly Aborigine	33	0.0	97.74
Australia Kimberly Aborigine	34	0.0	97.74
Australia Kimberly Aborigine	35	0.0	97.74
Australia Kimberly Aborigine	36	0.0	97.74
Australia Kimberly Aborigine	37	0.0	97.74
Australia Kimberly Aborigine	38	0.0	97.74
Australia Kimberly Aborigine	39	0.0	97.74
Australia Kimberly Aborigine	40	0.0	97.74
Australia Kimberly Aborigine	41	0.0	97.74
Australia Kimberly Aborigine	42	0.0	97.74
Australia Kimberly Aborigine	43	0.0	97.74
Australia Kimberly Aborigine	44	0.0	97.74
Australia Kimberly Aborigine	45	0.0	97.74
Australia Kimberly Aborigine	46	0.0	97.74
Australia Kimberly Aborigine	47	0.0	97.74
Australia Kimberly Aborigine	48	0.0	97.74
Australia Kimberly Aborigine	49	0.0	97.74
Australia Kimberly Aborigine	50	0.0	97.74
Australia Kimberly Aborigine	51	0.0	97.74
Australia Kimberly Aborigine	52	0.0	97.74
Australia Kimberly Aborigine	53	0.0	97.74
Australia Kimberly Aborigine	54	0.0	97.74
Australia Kimberly Aborigine	55	0.0	97.74
Australia Kimberly Aborigine	56	0.0	97.74
Australia Kimberly Aborigine	57	0.0	97.74
Australia Kimberly Aborigine	58	0.0	97.74
