class I
population/area	coverage	average_hit	pc90
Australia New South Wales Caucasian	100.0%	23898.27	12602.85
average	100.0%	23898.27	12602.85
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Australia New South Wales Caucasian	0	0.0	100.0
Australia New South Wales Caucasian	1	0.0	100.0
Australia New South Wales Caucasian	2	0.0	100.0
Australia New South Wales Caucasian	3	0.0	100.0
Australia New South Wales Caucasian	4	0.0	100.0
Australia New South Wales Caucasian	5	0.0	100.0
Australia New South Wales Caucasian	6	0.0	100.0
Australia New South Wales Caucasian	7	0.0	100.0
Australia New South Wales Caucasian	8	0.0	100.0
Australia New South Wales Caucasian	9	0.0	100.0
Australia New South Wales Caucasian	10	0.0	100.0
Australia New South Wales Caucasian	11	0.0	100.0
Australia New South Wales Caucasian	12	0.0	100.0
Australia New South Wales Caucasian	13	0.0	100.0
Australia New South Wales Caucasian	14	0.0	100.0
Australia New South Wales Caucasian	15	0.0	100.0
Australia New South Wales Caucasian	16	0.0	100.0
Australia New South Wales Caucasian	17	0.0	100.0
Australia New South Wales Caucasian	18	0.0	100.0
Australia New South Wales Caucasian	19	0.0	100.0
Australia New South Wales Caucasian	20	0.0	100.0
Australia New South Wales Caucasian	21	0.0	100.0
Australia New South Wales Caucasian	22	0.0	100.0
Australia New South Wales Caucasian	23	0.0	100.0
Australia New South Wales Caucasian	24	0.0	100.0
Australia New South Wales Caucasian	25	0.0	100.0
Australia New South Wales Caucasian	26	0.0	100.0
Australia New South Wales Caucasian	27	0.0	100.0
Australia New South Wales Caucasian	28	0.0	100.0
Australia New South Wales Caucasian	29	0.0	100.0
Australia New South Wales Caucasian	30	0.0	100.0
Australia New South Wales Caucasian	31	0.0	100.0
Australia New South Wales Caucasian	32	0.0	100.0
Australia New South Wales Caucasian	33	0.0	100.0
Australia New South Wales Caucasian	34	0.0	100.0
Australia New South Wales Caucasian	35	0.0	100.0
Australia New South Wales Caucasian	36	0.0	100.0
Australia New South Wales Caucasian	37	0.0	100.0
Australia New South Wales Caucasian	38	0.0	100.0
Australia New South Wales Caucasian	39	0.0	100.0
Australia New South Wales Caucasian	40	0.0	100.0
Australia New South Wales Caucasian	41	0.0	100.0
Australia New South Wales Caucasian	42	0.0	100.0
Australia New South Wales Caucasian	43	0.0	100.0
Australia New South Wales Caucasian	44	0.0	100.0
Australia New South Wales Caucasian	45	0.0	100.0
Australia New South Wales Caucasian	46	0.0	100.0
Australia New South Wales Caucasian	47	0.0	100.0
Australia New South Wales Caucasian	48	0.0	100.0
Australia New South Wales Caucasian	49	0.0	100.0
Australia New South Wales Caucasian	50	0.0	100.0
Australia New South Wales Caucasian	51	0.0	100.0
Australia New South Wales Caucasian	52	0.0	100.0
Australia New South Wales Caucasian	53	0.0	100.0
Australia New South Wales Caucasian	54	0.0	100.0
Australia New South Wales Caucasian	55	0.0	100.0
Australia New South Wales Caucasian	56	0.0	100.0
Australia New South Wales Caucasian	57	0.0	100.0
Australia New South Wales Caucasian	58	0.0	100.0
Australia New South Wales Caucasian	59	0.0	100.0
Australia New South Wales Caucasian	60	0.0	100.0
Australia New South Wales Caucasian	61	0.0	100.0
Australia New South Wales Caucasian	62	0.0	100.0
Australia New South Wales Caucasian	63	0.0	100.0
Australia New South Wales Caucasian	64	0.0	100.0
Australia New South Wales Caucasian	65	0.0	100.0
Australia New South Wales Caucasian	66	0.0	100.0
Australia New South Wales Caucasian	67	0.0	100.0
Australia New South Wales Caucasian	68	0.0	100.0
Australia New South Wales Caucasian	69	0.0	100.0
Australia New South Wales Caucasian	70	0.0	100.0
Australia New South Wales Caucasian	71	0.0	100.0
Australia New South Wales Caucasian	72	0.0	100.0
Australia New South Wales Caucasian	73	0.0	100.0
Australia New South Wales Caucasian	74	0.0	100.0
Australia New South Wales Caucasian	75	0.0	100.0
Australia New South Wales Caucasian	76	0.0	100.0
Australia New South Wales Caucasian	77	0.0	100.0
Australia New South Wales Caucasian	78	0.0	100.0
Australia New South Wales Caucasian	79	0.0	100.0
Australia New South Wales Caucasian	80	0.0	100.0
Australia New South Wales Caucasian	81	0.0	100.0
Australia New South Wales Caucasian	82	0.0	100.0
Australia New South Wales Caucasian	83	0.0	100.0
Australia New South Wales Caucasian	84	0.0	100.0
Australia New South Wales Caucasian	85	0.0	100.0
Australia New South Wales Caucasian	86	0.0	100.0
Australia New South Wales Caucasian	87	0.0	100.0
Australia New South Wales Caucasian	88	0.0	100.0
Australia New South Wales Caucasian	89	0.0	100.0
Australia New South Wales Caucasian	90	0.0	100.0
Australia New South Wales Caucasian	91	0.0	100.0
Australia New South Wales Caucasian	92	0.0	100.0
Australia New South Wales Caucasian	93	0.0	100.0
Australia New South Wales Caucasian	94	0.0	100.0
Australia New South Wales Caucasian	95	0.0	100.0
Australia New South Wales Caucasian	96	0.0	100.0
Australia New South Wales Caucasian	97	0.0	100.0
Australia New South Wales Caucasian	98	0.0	100.0
Australia New South Wales Caucasian	99	0.0	100.0
Australia New South Wales Caucasian	100	0.0	100.0
Australia New South Wales Caucasian	101	0.0	100.0
Australia New South Wales Caucasian	102	0.0	100.0
Australia New South Wales Caucasian	103	0.0	100.0
Australia New South Wales Caucasian	104	0.0	100.0
Australia New South Wales Caucasian	105	0.0	100.0
Australia New South Wales Caucasian	106	0.0	100.0
Australia New South Wales Caucasian	107	0.0	100.0
Australia New South Wales Caucasian	108	0.0	100.0
Australia New South Wales Caucasian	109	0.0	100.0
Australia New South Wales Caucasian	110	0.0	100.0
Australia New South Wales Caucasian	111	0.0	100.0
Australia New South Wales Caucasian	112	0.0	100.0
Australia New South Wales Caucasian	113	0.0	100.0
Australia New South Wales Caucasian	114	0.0	100.0
Australia New South Wales Caucasian	115	0.0	100.0
Australia New South Wales Caucasian	116	0.0	100.0
Australia New South Wales Caucasian	117	0.0	100.0
Australia New South Wales Caucasian	118	0.0	100.0
Australia New South Wales Caucasian	119	0.0	100.0
Australia New South Wales Caucasian	120	0.0	100.0
Australia New South Wales Caucasian	121	0.0	100.0
Australia New South Wales Caucasian	122	0.0	100.0
Australia New South Wales Caucasian	123	0.0	100.0
Australia New South Wales Caucasian	124	0.0	100.0
Australia New South Wales Caucasian	125	0.0	100.0
Australia New South Wales Caucasian	126	0.0	100.0
Australia New South Wales Caucasian	127	0.0	100.0
Australia New South Wales Caucasian	128	0.0	100.0
Australia New South Wales Caucasian	129	0.0	100.0
Australia New South Wales Caucasian	130	0.0	100.0
Australia New South Wales Caucasian	131	0.0	100.0
Australia New South Wales Caucasian	132	0.0	100.0
Australia New South Wales Caucasian	133	0.0	100.0
Australia New South Wales Caucasian	134	0.0	100.0
Australia New South Wales Caucasian	135	0.0	100.0
