class I
population/area	coverage	average_hit	pc90
Australia Yuendumu Aborigine	99.81%	9936.23	690.8
average	99.81%	9936.23	690.8
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Australia Yuendumu Aborigine	0	0.19	100.0
Australia Yuendumu Aborigine	1	0.0	99.81
Australia Yuendumu Aborigine	2	0.0	99.81
Australia Yuendumu Aborigine	3	0.08	99.81
Australia Yuendumu Aborigine	4	0.0	99.73
Australia Yuendumu Aborigine	5	0.0	99.73
Australia Yuendumu Aborigine	6	0.0	99.73
Australia Yuendumu Aborigine	7	0.0	99.73
Australia Yuendumu Aborigine	8	0.0	99.73
Australia Yuendumu Aborigine	9	1.13	99.73
Australia Yuendumu Aborigine	10	0.0	98.6
Australia Yuendumu Aborigine	11	0.0	98.6
Australia Yuendumu Aborigine	12	0.47	98.6
Australia Yuendumu Aborigine	13	0.0	98.13
Australia Yuendumu Aborigine	14	0.0	98.13
Australia Yuendumu Aborigine	15	0.0	98.13
Australia Yuendumu Aborigine	16	0.0	98.13
Australia Yuendumu Aborigine	17	0.0	98.13
Australia Yuendumu Aborigine	18	0.0	98.13
Australia Yuendumu Aborigine	19	0.0	98.13
Australia Yuendumu Aborigine	20	0.0	98.13
Australia Yuendumu Aborigine	21	0.0	98.13
Australia Yuendumu Aborigine	22	0.0	98.13
Australia Yuendumu Aborigine	23	0.0	98.13
Australia Yuendumu Aborigine	24	0.0	98.13
Australia Yuendumu Aborigine	25	0.0	98.13
Australia Yuendumu Aborigine	26	0.0	98.13
Australia Yuendumu Aborigine	27	0.0	98.13
Australia Yuendumu Aborigine	28	0.0	98.13
Australia Yuendumu Aborigine	29	0.0	98.13
Australia Yuendumu Aborigine	30	0.0	98.13
Australia Yuendumu Aborigine	31	0.0	98.13
Australia Yuendumu Aborigine	32	0.0	98.13
Australia Yuendumu Aborigine	33	0.0	98.13
Australia Yuendumu Aborigine	34	0.0	98.13
Australia Yuendumu Aborigine	35	0.0	98.13
Australia Yuendumu Aborigine	36	0.0	98.13
Australia Yuendumu Aborigine	37	0.0	98.13
Australia Yuendumu Aborigine	38	0.0	98.13
Australia Yuendumu Aborigine	39	0.0	98.13
Australia Yuendumu Aborigine	40	0.0	98.13
Australia Yuendumu Aborigine	41	0.0	98.13
Australia Yuendumu Aborigine	42	0.0	98.13
Australia Yuendumu Aborigine	43	0.0	98.13
Australia Yuendumu Aborigine	44	0.0	98.13
Australia Yuendumu Aborigine	45	0.0	98.13
Australia Yuendumu Aborigine	46	0.0	98.13
Australia Yuendumu Aborigine	47	0.0	98.13
Australia Yuendumu Aborigine	48	0.0	98.13
Australia Yuendumu Aborigine	49	0.0	98.13
Australia Yuendumu Aborigine	50	0.0	98.13
Australia Yuendumu Aborigine	51	0.0	98.13
Australia Yuendumu Aborigine	52	0.0	98.13
Australia Yuendumu Aborigine	53	0.0	98.13
Australia Yuendumu Aborigine	54	0.0	98.13
Australia Yuendumu Aborigine	55	0.0	98.13
Australia Yuendumu Aborigine	56	0.0	98.13
Australia Yuendumu Aborigine	57	0.0	98.13
Australia Yuendumu Aborigine	58	0.0	98.13
Australia Yuendumu Aborigine	59	0.0	98.13
Australia Yuendumu Aborigine	60	0.0	98.13
Australia Yuendumu Aborigine	61	0.0	98.13
Australia Yuendumu Aborigine	62	0.0	98.13
Australia Yuendumu Aborigine	63	0.0	98.13
Australia Yuendumu Aborigine	64	0.0	98.13
Australia Yuendumu Aborigine	65	0.0	98.13
Australia Yuendumu Aborigine	66	0.0	98.13
Australia Yuendumu Aborigine	67	0.0	98.13
Australia Yuendumu Aborigine	68	0.0	98.13
Australia Yuendumu Aborigine	69	0.0	98.13
Australia Yuendumu Aborigine	70	0.0	98.13
Australia Yuendumu Aborigine	71	0.0	98.13
Australia Yuendumu Aborigine	72	0.0	98.13
Australia Yuendumu Aborigine	73	0.0	98.13
Australia Yuendumu Aborigine	74	0.0	98.13
Australia Yuendumu Aborigine	75	0.0	98.13
Australia Yuendumu Aborigine	76	0.0	98.13
Australia Yuendumu Aborigine	77	0.0	98.13
Australia Yuendumu Aborigine	78	0.0	98.13
Australia Yuendumu Aborigine	79	0.0	98.13
Australia Yuendumu Aborigine	80	0.0	98.13
Australia Yuendumu Aborigine	81	0.0	98.13
Australia Yuendumu Aborigine	82	0.0	98.13
Australia Yuendumu Aborigine	83	0.0	98.13
Australia Yuendumu Aborigine	84	0.0	98.13
Australia Yuendumu Aborigine	85	0.0	98.13
Australia Yuendumu Aborigine	86	0.0	98.13
Australia Yuendumu Aborigine	87	0.0	98.13
Australia Yuendumu Aborigine	88	0.0	98.13
Australia Yuendumu Aborigine	89	0.0	98.13
Australia Yuendumu Aborigine	90	0.0	98.13
Australia Yuendumu Aborigine	91	0.0	98.13
Australia Yuendumu Aborigine	92	0.0	98.13
Australia Yuendumu Aborigine	93	0.0	98.13
Australia Yuendumu Aborigine	94	0.0	98.13
Australia Yuendumu Aborigine	95	0.0	98.13
Australia Yuendumu Aborigine	96	0.0	98.13
Australia Yuendumu Aborigine	97	0.0	98.13
Australia Yuendumu Aborigine	98	0.0	98.13
Australia Yuendumu Aborigine	99	0.0	98.13
Australia Yuendumu Aborigine	100	0.0	98.13
Australia Yuendumu Aborigine	101	0.0	98.13
Australia Yuendumu Aborigine	102	0.0	98.13
Australia Yuendumu Aborigine	103	0.0	98.13
Australia Yuendumu Aborigine	104	0.0	98.13
Australia Yuendumu Aborigine	105	0.0	98.13
Australia Yuendumu Aborigine	106	0.0	98.13
Australia Yuendumu Aborigine	107	0.0	98.13
Australia Yuendumu Aborigine	108	0.0	98.13
Australia Yuendumu Aborigine	109	0.0	98.13
Australia Yuendumu Aborigine	110	0.0	98.13
Australia Yuendumu Aborigine	111	0.0	98.13
Australia Yuendumu Aborigine	112	0.0	98.13
Australia Yuendumu Aborigine	113	0.0	98.13
Australia Yuendumu Aborigine	114	0.0	98.13
Australia Yuendumu Aborigine	115	0.0	98.13
Australia Yuendumu Aborigine	116	0.0	98.13
Australia Yuendumu Aborigine	117	0.0	98.13
Australia Yuendumu Aborigine	118	0.0	98.13
Australia Yuendumu Aborigine	119	0.0	98.13
Australia Yuendumu Aborigine	120	0.0	98.13
Australia Yuendumu Aborigine	121	0.0	98.13
Australia Yuendumu Aborigine	122	0.0	98.13
Australia Yuendumu Aborigine	123	0.0	98.13
Australia Yuendumu Aborigine	124	0.0	98.13
Australia Yuendumu Aborigine	125	0.0	98.13
Australia Yuendumu Aborigine	126	0.0	98.13
Australia Yuendumu Aborigine	127	0.0	98.13
Australia Yuendumu Aborigine	128	0.0	98.13
Australia Yuendumu Aborigine	129	0.0	98.13
Australia Yuendumu Aborigine	130	0.0	98.13
Australia Yuendumu Aborigine	131	0.0	98.13
Australia Yuendumu Aborigine	132	0.0	98.13
Australia Yuendumu Aborigine	133	0.0	98.13
Australia Yuendumu Aborigine	134	0.0	98.13
Australia Yuendumu Aborigine	135	0.0	98.13
Australia Yuendumu Aborigine	136	0.0	98.13
Australia Yuendumu Aborigine	137	0.0	98.13
Australia Yuendumu Aborigine	138	0.0	98.13
Australia Yuendumu Aborigine	139	0.0	98.13
Australia Yuendumu Aborigine	140	0.0	98.13
Australia Yuendumu Aborigine	141	0.0	98.13
Australia Yuendumu Aborigine	142	0.0	98.13
Australia Yuendumu Aborigine	143	0.0	98.13
Australia Yuendumu Aborigine	144	0.0	98.13
Australia Yuendumu Aborigine	145	0.0	98.13
Australia Yuendumu Aborigine	146	0.0	98.13
Australia Yuendumu Aborigine	147	0.0	98.13
Australia Yuendumu Aborigine	148	0.0	98.13
Australia Yuendumu Aborigine	149	0.0	98.13
Australia Yuendumu Aborigine	150	0.0	98.13
Australia Yuendumu Aborigine	151	0.0	98.13
Australia Yuendumu Aborigine	152	0.0	98.13
Australia Yuendumu Aborigine	153	0.0	98.13
Australia Yuendumu Aborigine	154	0.0	98.13
Australia Yuendumu Aborigine	155	0.0	98.13
Australia Yuendumu Aborigine	156	0.0	98.13
Australia Yuendumu Aborigine	157	0.0	98.13
Australia Yuendumu Aborigine	158	0.0	98.13
