class I
population/area	coverage	average_hit	pc90
Brazil Barra Mansa Rio State Caucasian	100.0%	18993.49	8211.25
average	100.0%	18993.49	8211.25
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Brazil Barra Mansa Rio State Caucasian	0	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	1	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	2	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	3	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	4	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	5	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	6	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	7	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	8	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	9	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	10	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	11	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	12	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	13	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	14	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	15	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	16	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	17	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	18	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	19	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	20	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	21	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	22	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	23	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	24	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	25	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	26	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	27	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	28	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	29	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	30	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	31	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	32	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	33	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	34	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	35	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	36	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	37	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	38	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	39	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	40	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	41	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	42	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	43	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	44	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	45	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	46	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	47	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	48	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	49	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	50	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	51	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	52	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	53	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	54	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	55	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	56	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	57	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	58	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	59	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	60	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	61	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	62	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	63	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	64	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	65	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	66	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	67	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	68	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	69	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	70	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	71	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	72	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	73	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	74	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	75	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	76	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	77	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	78	0.0	100.0
Brazil Barra Mansa Rio State Caucasian	79	0.0	100.0
