class I
population/area	coverage	average_hit	pc90
Chile Easter Island	100.0%	15135.72	7667.45
average	100.0%	15135.72	7667.45
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Chile Easter Island	0	0.0	100.0
Chile Easter Island	1	0.0	100.0
Chile Easter Island	2	0.0	100.0
Chile Easter Island	3	0.0	100.0
Chile Easter Island	4	0.0	100.0
Chile Easter Island	5	0.0	100.0
Chile Easter Island	6	0.0	100.0
Chile Easter Island	7	0.0	100.0
Chile Easter Island	8	0.0	100.0
Chile Easter Island	9	0.0	100.0
Chile Easter Island	10	0.0	100.0
Chile Easter Island	11	0.0	100.0
Chile Easter Island	12	0.0	100.0
Chile Easter Island	13	0.0	100.0
Chile Easter Island	14	0.0	100.0
Chile Easter Island	15	0.0	100.0
Chile Easter Island	16	0.0	100.0
Chile Easter Island	17	0.0	100.0
Chile Easter Island	18	0.0	100.0
Chile Easter Island	19	0.0	100.0
Chile Easter Island	20	0.0	100.0
Chile Easter Island	21	0.0	100.0
Chile Easter Island	22	0.0	100.0
Chile Easter Island	23	0.0	100.0
Chile Easter Island	24	0.0	100.0
Chile Easter Island	25	0.0	100.0
Chile Easter Island	26	0.0	100.0
Chile Easter Island	27	0.0	100.0
Chile Easter Island	28	0.0	100.0
Chile Easter Island	29	0.0	100.0
Chile Easter Island	30	0.0	100.0
Chile Easter Island	31	0.0	100.0
Chile Easter Island	32	0.0	100.0
Chile Easter Island	33	0.0	100.0
Chile Easter Island	34	0.0	100.0
Chile Easter Island	35	0.0	100.0
Chile Easter Island	36	0.0	100.0
Chile Easter Island	37	0.0	100.0
Chile Easter Island	38	0.0	100.0
Chile Easter Island	39	0.0	100.0
Chile Easter Island	40	0.0	100.0
Chile Easter Island	41	0.0	100.0
Chile Easter Island	42	0.0	100.0
Chile Easter Island	43	0.0	100.0
Chile Easter Island	44	0.0	100.0
Chile Easter Island	45	0.0	100.0
Chile Easter Island	46	0.0	100.0
Chile Easter Island	47	0.0	100.0
Chile Easter Island	48	0.0	100.0
Chile Easter Island	49	0.0	100.0
Chile Easter Island	50	0.0	100.0
Chile Easter Island	51	0.0	100.0
Chile Easter Island	52	0.0	100.0
Chile Easter Island	53	0.0	100.0
Chile Easter Island	54	0.0	100.0
Chile Easter Island	55	0.0	100.0
Chile Easter Island	56	0.0	100.0
Chile Easter Island	57	0.0	100.0
Chile Easter Island	58	0.0	100.0
Chile Easter Island	59	0.0	100.0
Chile Easter Island	60	0.0	100.0
Chile Easter Island	61	0.0	100.0
Chile Easter Island	62	0.0	100.0
Chile Easter Island	63	0.0	100.0
Chile Easter Island	64	0.0	100.0
Chile Easter Island	65	0.0	100.0
Chile Easter Island	66	0.0	100.0
Chile Easter Island	67	0.0	100.0
Chile Easter Island	68	0.0	100.0
Chile Easter Island	69	0.0	100.0
Chile Easter Island	70	0.0	100.0
Chile Easter Island	71	0.0	100.0
Chile Easter Island	72	0.0	100.0
Chile Easter Island	73	0.0	100.0
Chile Easter Island	74	0.0	100.0
Chile Easter Island	75	0.0	100.0
Chile Easter Island	76	0.0	100.0
Chile Easter Island	77	0.0	100.0
Chile Easter Island	78	0.0	100.0
Chile Easter Island	79	0.0	100.0
Chile Easter Island	80	0.0	100.0
Chile Easter Island	81	0.0	100.0
Chile Easter Island	82	0.0	100.0
Chile Easter Island	83	0.0	100.0
Chile Easter Island	84	0.0	100.0
Chile Easter Island	85	0.0	100.0
Chile Easter Island	86	0.0	100.0
Chile Easter Island	87	0.0	100.0
Chile Easter Island	88	0.0	100.0
Chile Easter Island	89	0.0	100.0
Chile Easter Island	90	0.0	100.0
Chile Easter Island	91	0.0	100.0
Chile Easter Island	92	0.0	100.0
Chile Easter Island	93	0.0	100.0
Chile Easter Island	94	0.0	100.0
Chile Easter Island	95	0.0	100.0
Chile Easter Island	96	0.0	100.0
Chile Easter Island	97	0.0	100.0
Chile Easter Island	98	0.0	100.0
Chile Easter Island	99	0.0	100.0
Chile Easter Island	100	0.0	100.0
Chile Easter Island	101	0.0	100.0
Chile Easter Island	102	0.0	100.0
Chile Easter Island	103	0.0	100.0
Chile Easter Island	104	0.0	100.0
Chile Easter Island	105	0.0	100.0
Chile Easter Island	106	0.0	100.0
Chile Easter Island	107	0.0	100.0
Chile Easter Island	108	0.0	100.0
Chile Easter Island	109	0.0	100.0
Chile Easter Island	110	0.0	100.0
Chile Easter Island	111	0.0	100.0
Chile Easter Island	112	0.0	100.0
Chile Easter Island	113	0.0	100.0
Chile Easter Island	114	0.0	100.0
Chile Easter Island	115	0.0	100.0
Chile Easter Island	116	0.0	100.0
Chile Easter Island	117	0.0	100.0
Chile Easter Island	118	0.0	100.0
Chile Easter Island	119	0.0	100.0
Chile Easter Island	120	0.0	100.0
Chile Easter Island	121	0.0	100.0
Chile Easter Island	122	0.0	100.0
Chile Easter Island	123	0.0	100.0
Chile Easter Island	124	0.0	100.0
Chile Easter Island	125	0.0	100.0
Chile Easter Island	126	0.0	100.0
Chile Easter Island	127	0.0	100.0
Chile Easter Island	128	0.0	100.0
Chile Easter Island	129	0.0	100.0
Chile Easter Island	130	0.0	100.0
Chile Easter Island	131	0.0	100.0
Chile Easter Island	132	0.0	100.0
Chile Easter Island	133	0.0	100.0
Chile Easter Island	134	0.0	100.0
Chile Easter Island	135	0.0	100.0
Chile Easter Island	136	0.0	100.0
Chile Easter Island	137	0.0	100.0
Chile Easter Island	138	0.0	100.0
Chile Easter Island	139	0.0	100.0
Chile Easter Island	140	0.0	100.0
Chile Easter Island	141	0.0	100.0
Chile Easter Island	142	0.0	100.0
Chile Easter Island	143	0.0	100.0
Chile Easter Island	144	0.0	100.0
Chile Easter Island	145	0.0	100.0
Chile Easter Island	146	0.0	100.0
Chile Easter Island	147	0.0	100.0
Chile Easter Island	148	0.0	100.0
Chile Easter Island	149	0.0	100.0
Chile Easter Island	150	0.0	100.0
Chile Easter Island	151	0.0	100.0
Chile Easter Island	152	0.0	100.0
Chile Easter Island	153	0.0	100.0
Chile Easter Island	154	0.0	100.0
Chile Easter Island	155	0.0	100.0
Chile Easter Island	156	0.0	100.0
Chile Easter Island	157	0.0	100.0
Chile Easter Island	158	0.0	100.0
Chile Easter Island	159	0.0	100.0
Chile Easter Island	160	0.0	100.0
Chile Easter Island	161	0.0	100.0
Chile Easter Island	162	0.0	100.0
Chile Easter Island	163	0.0	100.0
Chile Easter Island	164	0.0	100.0
Chile Easter Island	165	0.0	100.0
Chile Easter Island	166	0.0	100.0
Chile Easter Island	167	0.0	100.0
Chile Easter Island	168	0.0	100.0
Chile Easter Island	169	0.0	100.0
Chile Easter Island	170	0.0	100.0
Chile Easter Island	171	0.0	100.0
Chile Easter Island	172	0.0	100.0
Chile Easter Island	173	0.0	100.0
Chile Easter Island	174	0.0	100.0
Chile Easter Island	175	0.0	100.0
Chile Easter Island	176	0.0	100.0
Chile Easter Island	177	0.0	100.0
Chile Easter Island	178	0.0	100.0
Chile Easter Island	179	0.0	100.0
Chile Easter Island	180	0.0	100.0
Chile Easter Island	181	0.0	100.0
Chile Easter Island	182	0.0	100.0
Chile Easter Island	183	0.0	100.0
Chile Easter Island	184	0.0	100.0
Chile Easter Island	185	0.0	100.0
Chile Easter Island	186	0.0	100.0
Chile Easter Island	187	0.0	100.0
Chile Easter Island	188	0.0	100.0
Chile Easter Island	189	0.0	100.0
Chile Easter Island	190	0.0	100.0
Chile Easter Island	191	0.0	100.0
Chile Easter Island	192	0.0	100.0
Chile Easter Island	193	0.0	100.0
Chile Easter Island	194	0.0	100.0
Chile Easter Island	195	0.0	100.0
Chile Easter Island	196	0.0	100.0
Chile Easter Island	197	0.0	100.0
Chile Easter Island	198	0.0	100.0
Chile Easter Island	199	0.0	100.0
Chile Easter Island	200	0.0	100.0
Chile Easter Island	201	0.0	100.0
Chile Easter Island	202	0.0	100.0
Chile Easter Island	203	0.0	100.0
Chile Easter Island	204	0.0	100.0
Chile Easter Island	205	0.0	100.0
Chile Easter Island	206	0.0	100.0
Chile Easter Island	207	0.0	100.0
Chile Easter Island	208	0.0	100.0
Chile Easter Island	209	0.0	100.0
Chile Easter Island	210	0.0	100.0
Chile Easter Island	211	0.0	100.0
Chile Easter Island	212	0.0	100.0
Chile Easter Island	213	0.0	100.0
Chile Easter Island	214	0.0	100.0
Chile Easter Island	215	0.0	100.0
Chile Easter Island	216	0.0	100.0
Chile Easter Island	217	0.0	100.0
Chile Easter Island	218	0.0	100.0
Chile Easter Island	219	0.0	100.0
Chile Easter Island	220	0.0	100.0
Chile Easter Island	221	0.0	100.0
Chile Easter Island	222	0.0	100.0
Chile Easter Island	223	0.0	100.0
Chile Easter Island	224	0.0	100.0
Chile Easter Island	225	0.0	100.0
Chile Easter Island	226	0.0	100.0
Chile Easter Island	227	0.0	100.0
Chile Easter Island	228	0.0	100.0
Chile Easter Island	229	0.0	100.0
Chile Easter Island	230	0.0	100.0
Chile Easter Island	231	0.0	100.0
Chile Easter Island	232	0.0	100.0
Chile Easter Island	233	0.0	100.0
Chile Easter Island	234	0.0	100.0
Chile Easter Island	235	0.0	100.0
Chile Easter Island	236	0.0	100.0
Chile Easter Island	237	0.0	100.0
Chile Easter Island	238	0.0	100.0
Chile Easter Island	239	0.0	100.0
Chile Easter Island	240	0.0	100.0
Chile Easter Island	241	0.0	100.0
Chile Easter Island	242	0.0	100.0
Chile Easter Island	243	0.0	100.0
Chile Easter Island	244	0.0	100.0
Chile Easter Island	245	0.0	100.0
Chile Easter Island	246	0.0	100.0
Chile Easter Island	247	0.0	100.0
Chile Easter Island	248	0.0	100.0
Chile Easter Island	249	0.0	100.0
Chile Easter Island	250	0.0	100.0
Chile Easter Island	251	0.0	100.0
Chile Easter Island	252	0.0	100.0
Chile Easter Island	253	0.0	100.0
Chile Easter Island	254	0.0	100.0
Chile Easter Island	255	0.0	100.0
Chile Easter Island	256	0.0	100.0
Chile Easter Island	257	0.0	100.0
Chile Easter Island	258	0.0	100.0
Chile Easter Island	259	0.0	100.0
Chile Easter Island	260	0.0	100.0
Chile Easter Island	261	0.0	100.0
Chile Easter Island	262	0.0	100.0
Chile Easter Island	263	0.0	100.0
Chile Easter Island	264	0.0	100.0
Chile Easter Island	265	0.0	100.0
Chile Easter Island	266	0.0	100.0
Chile Easter Island	267	0.0	100.0
Chile Easter Island	268	0.0	100.0
Chile Easter Island	269	0.0	100.0
Chile Easter Island	270	0.0	100.0
Chile Easter Island	271	0.0	100.0
Chile Easter Island	272	0.0	100.0
Chile Easter Island	273	0.0	100.0
Chile Easter Island	274	0.0	100.0
Chile Easter Island	275	0.0	100.0
Chile Easter Island	276	0.0	100.0
Chile Easter Island	277	0.0	100.0
Chile Easter Island	278	0.0	100.0
Chile Easter Island	279	0.0	100.0
Chile Easter Island	280	0.0	100.0
Chile Easter Island	281	0.0	100.0
Chile Easter Island	282	0.0	100.0
Chile Easter Island	283	0.0	100.0
Chile Easter Island	284	0.0	100.0
Chile Easter Island	285	0.0	100.0
Chile Easter Island	286	0.0	100.0
Chile Easter Island	287	0.0	100.0
Chile Easter Island	288	0.0	100.0
Chile Easter Island	289	0.0	100.0
Chile Easter Island	290	0.0	100.0
Chile Easter Island	291	0.0	100.0
Chile Easter Island	292	0.0	100.0
Chile Easter Island	293	0.0	100.0
Chile Easter Island	294	0.0	100.0
Chile Easter Island	295	0.0	100.0
Chile Easter Island	296	0.0	100.0
Chile Easter Island	297	0.0	100.0
Chile Easter Island	298	0.0	100.0
Chile Easter Island	299	0.0	100.0
Chile Easter Island	300	0.0	100.0
Chile Easter Island	301	0.0	100.0
Chile Easter Island	302	0.0	100.0
Chile Easter Island	303	0.0	100.0
Chile Easter Island	304	0.0	100.0
Chile Easter Island	305	0.0	100.0
Chile Easter Island	306	0.0	100.0
Chile Easter Island	307	0.0	100.0
Chile Easter Island	308	0.0	100.0
Chile Easter Island	309	0.0	100.0
Chile Easter Island	310	0.0	100.0
Chile Easter Island	311	0.0	100.0
Chile Easter Island	312	0.0	100.0
Chile Easter Island	313	0.0	100.0
Chile Easter Island	314	0.0	100.0
Chile Easter Island	315	0.0	100.0
Chile Easter Island	316	0.0	100.0
Chile Easter Island	317	0.0	100.0
Chile Easter Island	318	0.0	100.0
Chile Easter Island	319	0.0	100.0
Chile Easter Island	320	0.0	100.0
Chile Easter Island	321	0.0	100.0
Chile Easter Island	322	0.0	100.0
Chile Easter Island	323	0.0	100.0
Chile Easter Island	324	0.0	100.0
Chile Easter Island	325	0.0	100.0
Chile Easter Island	326	0.0	100.0
Chile Easter Island	327	0.0	100.0
Chile Easter Island	328	0.0	100.0
Chile Easter Island	329	0.0	100.0
Chile Easter Island	330	0.0	100.0
Chile Easter Island	331	0.0	100.0
Chile Easter Island	332	0.0	100.0
Chile Easter Island	333	0.0	100.0
Chile Easter Island	334	0.0	100.0
Chile Easter Island	335	0.0	100.0
Chile Easter Island	336	0.0	100.0
Chile Easter Island	337	0.0	100.0
Chile Easter Island	338	0.0	100.0
Chile Easter Island	339	0.0	100.0
