class I
population/area	coverage	average_hit	pc90
China Guangdong Province Meizhou Han	99.02%	8666.69	3539.56
average	99.02%	8666.69	3539.56
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
China Guangdong Province Meizhou Han	0	0.98	100.0
China Guangdong Province Meizhou Han	1	0.0	99.02
China Guangdong Province Meizhou Han	2	0.0	99.02
China Guangdong Province Meizhou Han	3	0.0	99.02
China Guangdong Province Meizhou Han	4	0.0	99.02
China Guangdong Province Meizhou Han	5	0.0	99.02
China Guangdong Province Meizhou Han	6	0.0	99.02
China Guangdong Province Meizhou Han	7	0.0	99.02
China Guangdong Province Meizhou Han	8	0.0	99.02
China Guangdong Province Meizhou Han	9	0.0	99.02
China Guangdong Province Meizhou Han	10	0.0	99.02
China Guangdong Province Meizhou Han	11	0.0	99.02
China Guangdong Province Meizhou Han	12	0.0	99.02
China Guangdong Province Meizhou Han	13	0.0	99.02
China Guangdong Province Meizhou Han	14	0.0	99.02
China Guangdong Province Meizhou Han	15	0.0	99.02
China Guangdong Province Meizhou Han	16	0.0	99.02
China Guangdong Province Meizhou Han	17	0.0	99.02
China Guangdong Province Meizhou Han	18	0.0	99.02
China Guangdong Province Meizhou Han	19	0.0	99.02
China Guangdong Province Meizhou Han	20	0.0	99.02
China Guangdong Province Meizhou Han	21	0.0	99.02
China Guangdong Province Meizhou Han	22	0.0	99.02
China Guangdong Province Meizhou Han	23	0.0	99.02
China Guangdong Province Meizhou Han	24	0.0	99.02
China Guangdong Province Meizhou Han	25	0.0	99.02
China Guangdong Province Meizhou Han	26	0.0	99.02
China Guangdong Province Meizhou Han	27	0.0	99.02
China Guangdong Province Meizhou Han	28	0.0	99.02
China Guangdong Province Meizhou Han	29	0.0	99.02
China Guangdong Province Meizhou Han	30	0.0	99.02
China Guangdong Province Meizhou Han	31	0.0	99.02
China Guangdong Province Meizhou Han	32	0.0	99.02
China Guangdong Province Meizhou Han	33	0.0	99.02
China Guangdong Province Meizhou Han	34	0.0	99.02
China Guangdong Province Meizhou Han	35	0.0	99.02
China Guangdong Province Meizhou Han	36	0.0	99.02
China Guangdong Province Meizhou Han	37	0.0	99.02
China Guangdong Province Meizhou Han	38	0.0	99.02
China Guangdong Province Meizhou Han	39	0.0	99.02
China Guangdong Province Meizhou Han	40	0.0	99.02
China Guangdong Province Meizhou Han	41	0.0	99.02
China Guangdong Province Meizhou Han	42	0.0	99.02
China Guangdong Province Meizhou Han	43	0.0	99.02
China Guangdong Province Meizhou Han	44	0.0	99.02
China Guangdong Province Meizhou Han	45	0.0	99.02
China Guangdong Province Meizhou Han	46	0.0	99.02
China Guangdong Province Meizhou Han	47	0.0	99.02
China Guangdong Province Meizhou Han	48	0.0	99.02
China Guangdong Province Meizhou Han	49	0.0	99.02
China Guangdong Province Meizhou Han	50	0.0	99.02
China Guangdong Province Meizhou Han	51	0.0	99.02
