class I
population/area	coverage	average_hit	pc90
China Inner Mongolia Region	100.0%	16574.15	6925.91
average	100.0%	16574.15	6925.91
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
China Inner Mongolia Region	0	0.0	100.0
China Inner Mongolia Region	1	0.0	100.0
China Inner Mongolia Region	2	0.0	100.0
China Inner Mongolia Region	3	0.0	100.0
China Inner Mongolia Region	4	0.0	100.0
China Inner Mongolia Region	5	0.0	100.0
China Inner Mongolia Region	6	0.0	100.0
China Inner Mongolia Region	7	0.0	100.0
China Inner Mongolia Region	8	0.0	100.0
China Inner Mongolia Region	9	0.0	100.0
China Inner Mongolia Region	10	0.0	100.0
China Inner Mongolia Region	11	0.0	100.0
China Inner Mongolia Region	12	0.0	100.0
China Inner Mongolia Region	13	0.0	100.0
China Inner Mongolia Region	14	0.0	100.0
China Inner Mongolia Region	15	0.0	100.0
China Inner Mongolia Region	16	0.0	100.0
China Inner Mongolia Region	17	0.0	100.0
China Inner Mongolia Region	18	0.0	100.0
China Inner Mongolia Region	19	0.0	99.99
China Inner Mongolia Region	20	0.0	99.99
China Inner Mongolia Region	21	0.0	99.99
China Inner Mongolia Region	22	0.0	99.99
China Inner Mongolia Region	23	0.0	99.99
China Inner Mongolia Region	24	0.0	99.99
China Inner Mongolia Region	25	0.0	99.99
China Inner Mongolia Region	26	0.0	99.99
China Inner Mongolia Region	27	0.0	99.99
China Inner Mongolia Region	28	0.0	99.99
China Inner Mongolia Region	29	0.0	99.99
China Inner Mongolia Region	30	0.0	99.99
China Inner Mongolia Region	31	0.0	99.99
China Inner Mongolia Region	32	0.0	99.99
China Inner Mongolia Region	33	0.0	99.98
China Inner Mongolia Region	34	0.0	99.98
China Inner Mongolia Region	35	0.0	99.98
China Inner Mongolia Region	36	0.0	99.98
China Inner Mongolia Region	37	0.0	99.98
China Inner Mongolia Region	38	0.0	99.98
China Inner Mongolia Region	39	0.0	99.98
China Inner Mongolia Region	40	0.0	99.98
China Inner Mongolia Region	41	0.0	99.98
China Inner Mongolia Region	42	0.0	99.98
China Inner Mongolia Region	43	0.0	99.98
China Inner Mongolia Region	44	0.0	99.98
China Inner Mongolia Region	45	0.0	99.98
China Inner Mongolia Region	46	0.0	99.98
China Inner Mongolia Region	47	0.0	99.98
China Inner Mongolia Region	48	0.0	99.98
China Inner Mongolia Region	49	0.0	99.98
China Inner Mongolia Region	50	0.0	99.98
China Inner Mongolia Region	51	0.0	99.98
China Inner Mongolia Region	52	0.0	99.98
China Inner Mongolia Region	53	0.0	99.98
China Inner Mongolia Region	54	0.0	99.97
China Inner Mongolia Region	55	0.0	99.97
China Inner Mongolia Region	56	0.0	99.97
China Inner Mongolia Region	57	0.0	99.97
China Inner Mongolia Region	58	0.0	99.97
China Inner Mongolia Region	59	0.0	99.97
China Inner Mongolia Region	60	0.0	99.97
China Inner Mongolia Region	61	0.0	99.97
China Inner Mongolia Region	62	0.0	99.97
China Inner Mongolia Region	63	0.0	99.97
China Inner Mongolia Region	64	0.0	99.97
China Inner Mongolia Region	65	0.0	99.97
China Inner Mongolia Region	66	0.0	99.96
China Inner Mongolia Region	67	0.0	99.96
China Inner Mongolia Region	68	0.0	99.96
China Inner Mongolia Region	69	0.0	99.96
China Inner Mongolia Region	70	0.0	99.96
China Inner Mongolia Region	71	0.0	99.96
China Inner Mongolia Region	72	0.0	99.96
China Inner Mongolia Region	73	0.0	99.96
China Inner Mongolia Region	74	0.0	99.96
China Inner Mongolia Region	75	0.0	99.96
China Inner Mongolia Region	76	0.0	99.96
China Inner Mongolia Region	77	0.0	99.96
China Inner Mongolia Region	78	0.0	99.96
China Inner Mongolia Region	79	0.0	99.96
China Inner Mongolia Region	80	0.0	99.96
China Inner Mongolia Region	81	0.0	99.96
China Inner Mongolia Region	82	0.0	99.96
China Inner Mongolia Region	83	0.0	99.96
China Inner Mongolia Region	84	0.0	99.96
China Inner Mongolia Region	85	0.0	99.96
China Inner Mongolia Region	86	0.0	99.96
China Inner Mongolia Region	87	0.0	99.96
China Inner Mongolia Region	88	0.0	99.96
China Inner Mongolia Region	89	0.0	99.96
China Inner Mongolia Region	90	0.0	99.95
China Inner Mongolia Region	91	0.0	99.95
China Inner Mongolia Region	92	0.0	99.95
China Inner Mongolia Region	93	0.0	99.95
China Inner Mongolia Region	94	0.0	99.95
China Inner Mongolia Region	95	0.0	99.95
China Inner Mongolia Region	96	0.0	99.95
China Inner Mongolia Region	97	0.0	99.95
China Inner Mongolia Region	98	0.0	99.95
China Inner Mongolia Region	99	0.0	99.95
China Inner Mongolia Region	100	0.0	99.95
China Inner Mongolia Region	101	0.0	99.95
China Inner Mongolia Region	102	0.0	99.95
China Inner Mongolia Region	103	0.0	99.95
China Inner Mongolia Region	104	0.0	99.95
China Inner Mongolia Region	105	0.0	99.95
China Inner Mongolia Region	106	0.0	99.95
China Inner Mongolia Region	107	0.0	99.95
China Inner Mongolia Region	108	0.0	99.95
China Inner Mongolia Region	109	0.0	99.95
China Inner Mongolia Region	110	0.0	99.95
China Inner Mongolia Region	111	0.0	99.95
China Inner Mongolia Region	112	0.0	99.95
China Inner Mongolia Region	113	0.0	99.95
China Inner Mongolia Region	114	0.0	99.95
China Inner Mongolia Region	115	0.0	99.94
China Inner Mongolia Region	116	0.0	99.94
China Inner Mongolia Region	117	0.0	99.94
China Inner Mongolia Region	118	0.0	99.94
China Inner Mongolia Region	119	0.0	99.94
China Inner Mongolia Region	120	0.0	99.94
China Inner Mongolia Region	121	0.0	99.94
China Inner Mongolia Region	122	0.0	99.94
China Inner Mongolia Region	123	0.0	99.94
China Inner Mongolia Region	124	0.0	99.94
China Inner Mongolia Region	125	0.0	99.94
China Inner Mongolia Region	126	0.0	99.94
China Inner Mongolia Region	127	0.0	99.94
China Inner Mongolia Region	128	0.0	99.94
China Inner Mongolia Region	129	0.0	99.94
China Inner Mongolia Region	130	0.0	99.94
China Inner Mongolia Region	131	0.0	99.94
China Inner Mongolia Region	132	0.0	99.94
China Inner Mongolia Region	133	0.0	99.94
China Inner Mongolia Region	134	0.0	99.94
China Inner Mongolia Region	135	0.0	99.94
China Inner Mongolia Region	136	0.0	99.94
China Inner Mongolia Region	137	0.0	99.94
China Inner Mongolia Region	138	0.0	99.94
China Inner Mongolia Region	139	0.0	99.94
China Inner Mongolia Region	140	0.0	99.94
China Inner Mongolia Region	141	0.0	99.94
China Inner Mongolia Region	142	0.0	99.94
China Inner Mongolia Region	143	0.0	99.94
China Inner Mongolia Region	144	0.0	99.94
China Inner Mongolia Region	145	0.0	99.93
China Inner Mongolia Region	146	0.0	99.93
China Inner Mongolia Region	147	0.0	99.93
China Inner Mongolia Region	148	0.0	99.93
China Inner Mongolia Region	149	0.0	99.93
China Inner Mongolia Region	150	0.0	99.93
China Inner Mongolia Region	151	0.0	99.93
China Inner Mongolia Region	152	0.0	99.93
China Inner Mongolia Region	153	0.0	99.93
China Inner Mongolia Region	154	0.0	99.93
China Inner Mongolia Region	155	0.0	99.93
China Inner Mongolia Region	156	0.0	99.93
China Inner Mongolia Region	157	0.0	99.93
China Inner Mongolia Region	158	0.0	99.93
China Inner Mongolia Region	159	0.0	99.93
China Inner Mongolia Region	160	0.0	99.93
China Inner Mongolia Region	161	0.0	99.93
China Inner Mongolia Region	162	0.0	99.93
China Inner Mongolia Region	163	0.0	99.93
China Inner Mongolia Region	164	0.0	99.93
China Inner Mongolia Region	165	0.0	99.93
China Inner Mongolia Region	166	0.0	99.93
China Inner Mongolia Region	167	0.0	99.93
China Inner Mongolia Region	168	0.0	99.93
China Inner Mongolia Region	169	0.0	99.93
China Inner Mongolia Region	170	0.0	99.92
China Inner Mongolia Region	171	0.0	99.92
China Inner Mongolia Region	172	0.0	99.92
China Inner Mongolia Region	173	0.0	99.92
China Inner Mongolia Region	174	0.0	99.92
China Inner Mongolia Region	175	0.0	99.92
China Inner Mongolia Region	176	0.0	99.92
China Inner Mongolia Region	177	0.0	99.92
China Inner Mongolia Region	178	0.0	99.92
China Inner Mongolia Region	179	0.0	99.92
China Inner Mongolia Region	180	0.0	99.92
China Inner Mongolia Region	181	0.0	99.92
China Inner Mongolia Region	182	0.0	99.92
China Inner Mongolia Region	183	0.0	99.92
China Inner Mongolia Region	184	0.0	99.92
China Inner Mongolia Region	185	0.0	99.91
China Inner Mongolia Region	186	0.0	99.91
China Inner Mongolia Region	187	0.0	99.91
China Inner Mongolia Region	188	0.0	99.91
China Inner Mongolia Region	189	0.0	99.91
China Inner Mongolia Region	190	0.0	99.91
