class I
population/area	coverage	average_hit	pc90
China Qinghai Province Hui	100.0%	17658.4	7223.19
average	100.0%	17658.4	7223.19
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
China Qinghai Province Hui	0	0.0	100.0
China Qinghai Province Hui	1	0.0	100.0
China Qinghai Province Hui	2	0.0	100.0
China Qinghai Province Hui	3	0.0	100.0
China Qinghai Province Hui	4	0.0	100.0
China Qinghai Province Hui	5	0.0	100.0
China Qinghai Province Hui	6	0.0	100.0
China Qinghai Province Hui	7	0.0	100.0
China Qinghai Province Hui	8	0.0	100.0
China Qinghai Province Hui	9	0.0	100.0
China Qinghai Province Hui	10	0.0	100.0
China Qinghai Province Hui	11	0.0	100.0
China Qinghai Province Hui	12	0.0	100.0
China Qinghai Province Hui	13	0.0	100.0
China Qinghai Province Hui	14	0.0	100.0
China Qinghai Province Hui	15	0.0	100.0
China Qinghai Province Hui	16	0.0	100.0
China Qinghai Province Hui	17	0.0	100.0
China Qinghai Province Hui	18	0.0	100.0
China Qinghai Province Hui	19	0.0	100.0
China Qinghai Province Hui	20	0.0	100.0
China Qinghai Province Hui	21	0.0	100.0
China Qinghai Province Hui	22	0.0	100.0
China Qinghai Province Hui	23	0.0	100.0
China Qinghai Province Hui	24	0.0	100.0
China Qinghai Province Hui	25	0.0	100.0
China Qinghai Province Hui	26	0.0	100.0
China Qinghai Province Hui	27	0.0	100.0
China Qinghai Province Hui	28	0.0	99.99
China Qinghai Province Hui	29	0.0	99.99
China Qinghai Province Hui	30	0.0	99.99
China Qinghai Province Hui	31	0.0	99.99
China Qinghai Province Hui	32	0.0	99.99
China Qinghai Province Hui	33	0.0	99.99
China Qinghai Province Hui	34	0.0	99.99
China Qinghai Province Hui	35	0.0	99.99
China Qinghai Province Hui	36	0.0	99.99
China Qinghai Province Hui	37	0.0	99.99
China Qinghai Province Hui	38	0.0	99.99
China Qinghai Province Hui	39	0.0	99.99
China Qinghai Province Hui	40	0.0	99.99
China Qinghai Province Hui	41	0.0	99.99
China Qinghai Province Hui	42	0.0	99.99
China Qinghai Province Hui	43	0.0	99.99
China Qinghai Province Hui	44	0.0	99.99
China Qinghai Province Hui	45	0.0	99.99
China Qinghai Province Hui	46	0.0	99.99
China Qinghai Province Hui	47	0.0	99.99
China Qinghai Province Hui	48	0.0	99.99
China Qinghai Province Hui	49	0.0	99.99
China Qinghai Province Hui	50	0.0	99.99
China Qinghai Province Hui	51	0.0	99.99
China Qinghai Province Hui	52	0.0	99.99
China Qinghai Province Hui	53	0.0	99.98
China Qinghai Province Hui	54	0.0	99.98
China Qinghai Province Hui	55	0.0	99.98
China Qinghai Province Hui	56	0.0	99.98
China Qinghai Province Hui	57	0.0	99.98
China Qinghai Province Hui	58	0.0	99.98
China Qinghai Province Hui	59	0.0	99.98
China Qinghai Province Hui	60	0.0	99.98
China Qinghai Province Hui	61	0.0	99.98
China Qinghai Province Hui	62	0.0	99.98
China Qinghai Province Hui	63	0.0	99.98
China Qinghai Province Hui	64	0.0	99.98
China Qinghai Province Hui	65	0.0	99.98
China Qinghai Province Hui	66	0.0	99.98
China Qinghai Province Hui	67	0.0	99.98
China Qinghai Province Hui	68	0.0	99.98
China Qinghai Province Hui	69	0.0	99.98
China Qinghai Province Hui	70	0.0	99.98
China Qinghai Province Hui	71	0.0	99.97
China Qinghai Province Hui	72	0.0	99.97
China Qinghai Province Hui	73	0.0	99.97
China Qinghai Province Hui	74	0.0	99.97
China Qinghai Province Hui	75	0.0	99.97
China Qinghai Province Hui	76	0.0	99.97
China Qinghai Province Hui	77	0.0	99.97
China Qinghai Province Hui	78	0.0	99.97
China Qinghai Province Hui	79	0.0	99.97
China Qinghai Province Hui	80	0.0	99.97
China Qinghai Province Hui	81	0.0	99.97
China Qinghai Province Hui	82	0.0	99.97
China Qinghai Province Hui	83	0.0	99.97
China Qinghai Province Hui	84	0.0	99.97
China Qinghai Province Hui	85	0.0	99.97
China Qinghai Province Hui	86	0.0	99.97
China Qinghai Province Hui	87	0.0	99.97
China Qinghai Province Hui	88	0.0	99.97
China Qinghai Province Hui	89	0.0	99.97
China Qinghai Province Hui	90	0.0	99.97
China Qinghai Province Hui	91	0.0	99.97
China Qinghai Province Hui	92	0.0	99.97
China Qinghai Province Hui	93	0.0	99.97
China Qinghai Province Hui	94	0.0	99.97
China Qinghai Province Hui	95	0.0	99.97
China Qinghai Province Hui	96	0.0	99.97
China Qinghai Province Hui	97	0.0	99.96
China Qinghai Province Hui	98	0.0	99.96
China Qinghai Province Hui	99	0.0	99.96
China Qinghai Province Hui	100	0.0	99.96
China Qinghai Province Hui	101	0.0	99.96
China Qinghai Province Hui	102	0.0	99.96
China Qinghai Province Hui	103	0.0	99.96
China Qinghai Province Hui	104	0.0	99.96
China Qinghai Province Hui	105	0.0	99.96
China Qinghai Province Hui	106	0.0	99.96
China Qinghai Province Hui	107	0.0	99.96
China Qinghai Province Hui	108	0.0	99.96
China Qinghai Province Hui	109	0.0	99.96
China Qinghai Province Hui	110	0.0	99.96
China Qinghai Province Hui	111	0.0	99.96
China Qinghai Province Hui	112	0.0	99.96
China Qinghai Province Hui	113	0.0	99.96
China Qinghai Province Hui	114	0.0	99.96
China Qinghai Province Hui	115	0.0	99.96
China Qinghai Province Hui	116	0.0	99.96
China Qinghai Province Hui	117	0.0	99.96
China Qinghai Province Hui	118	0.0	99.96
China Qinghai Province Hui	119	0.0	99.96
China Qinghai Province Hui	120	0.0	99.96
China Qinghai Province Hui	121	0.0	99.96
China Qinghai Province Hui	122	0.0	99.96
China Qinghai Province Hui	123	0.0	99.96
China Qinghai Province Hui	124	0.0	99.96
China Qinghai Province Hui	125	0.0	99.96
China Qinghai Province Hui	126	0.0	99.96
China Qinghai Province Hui	127	0.0	99.96
China Qinghai Province Hui	128	0.0	99.96
China Qinghai Province Hui	129	0.0	99.96
China Qinghai Province Hui	130	0.0	99.96
