class I
population/area	coverage	average_hit	pc90
China South Han	100.0%	14206.53	6558.35
average	100.0%	14206.53	6558.35
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
China South Han	0	0.0	100.0
China South Han	1	0.0	100.0
China South Han	2	0.0	100.0
China South Han	3	0.0	100.0
China South Han	4	0.0	100.0
China South Han	5	0.0	100.0
China South Han	6	0.0	100.0
China South Han	7	0.0	100.0
China South Han	8	0.0	100.0
China South Han	9	0.0	100.0
China South Han	10	0.0	100.0
China South Han	11	0.0	100.0
China South Han	12	0.0	100.0
China South Han	13	0.0	100.0
China South Han	14	0.0	100.0
China South Han	15	0.0	100.0
China South Han	16	0.0	100.0
China South Han	17	0.0	100.0
China South Han	18	0.0	100.0
China South Han	19	0.0	100.0
China South Han	20	0.0	100.0
China South Han	21	0.0	100.0
China South Han	22	0.0	100.0
China South Han	23	0.0	100.0
China South Han	24	0.0	99.99
China South Han	25	0.0	99.99
China South Han	26	0.0	99.99
China South Han	27	0.01	99.99
China South Han	28	0.0	99.98
China South Han	29	0.0	99.98
China South Han	30	0.0	99.98
China South Han	31	0.0	99.98
China South Han	32	0.0	99.98
China South Han	33	0.0	99.98
China South Han	34	0.0	99.98
China South Han	35	0.0	99.98
China South Han	36	0.0	99.98
China South Han	37	0.0	99.98
China South Han	38	0.0	99.98
China South Han	39	0.0	99.98
China South Han	40	0.0	99.98
China South Han	41	0.0	99.98
China South Han	42	0.0	99.98
China South Han	43	0.0	99.98
China South Han	44	0.0	99.97
China South Han	45	0.0	99.97
China South Han	46	0.0	99.97
China South Han	47	0.0	99.97
China South Han	48	0.0	99.97
China South Han	49	0.0	99.97
China South Han	50	0.0	99.97
China South Han	51	0.0	99.97
China South Han	52	0.0	99.97
China South Han	53	0.0	99.97
China South Han	54	0.0	99.97
China South Han	55	0.0	99.97
China South Han	56	0.0	99.97
China South Han	57	0.0	99.97
China South Han	58	0.0	99.97
China South Han	59	0.0	99.97
China South Han	60	0.0	99.97
China South Han	61	0.01	99.97
China South Han	62	0.0	99.96
China South Han	63	0.0	99.96
China South Han	64	0.0	99.96
China South Han	65	0.0	99.96
China South Han	66	0.0	99.96
China South Han	67	0.0	99.96
China South Han	68	0.0	99.96
China South Han	69	0.0	99.95
China South Han	70	0.01	99.95
China South Han	71	0.0	99.95
China South Han	72	0.0	99.95
China South Han	73	0.0	99.95
China South Han	74	0.0	99.95
China South Han	75	0.0	99.95
China South Han	76	0.0	99.94
China South Han	77	0.0	99.94
China South Han	78	0.0	99.94
China South Han	79	0.0	99.94
China South Han	80	0.0	99.94
China South Han	81	0.0	99.94
China South Han	82	0.0	99.94
China South Han	83	0.0	99.94
China South Han	84	0.0	99.94
China South Han	85	0.0	99.94
China South Han	86	0.0	99.94
China South Han	87	0.0	99.94
China South Han	88	0.0	99.94
China South Han	89	0.0	99.94
China South Han	90	0.0	99.94
China South Han	91	0.0	99.94
China South Han	92	0.0	99.94
China South Han	93	0.0	99.94
China South Han	94	0.0	99.94
China South Han	95	0.0	99.93
China South Han	96	0.0	99.93
China South Han	97	0.0	99.93
China South Han	98	0.0	99.93
China South Han	99	0.0	99.93
China South Han	100	0.0	99.93
China South Han	101	0.0	99.93
China South Han	102	0.0	99.93
China South Han	103	0.0	99.93
China South Han	104	0.0	99.93
China South Han	105	0.0	99.93
China South Han	106	0.0	99.93
China South Han	107	0.0	99.93
China South Han	108	0.0	99.93
China South Han	109	0.0	99.93
China South Han	110	0.0	99.93
China South Han	111	0.0	99.93
China South Han	112	0.0	99.93
China South Han	113	0.0	99.93
China South Han	114	0.0	99.93
China South Han	115	0.0	99.93
China South Han	116	0.0	99.93
China South Han	117	0.0	99.93
China South Han	118	0.0	99.93
China South Han	119	0.0	99.93
China South Han	120	0.0	99.93
China South Han	121	0.0	99.93
China South Han	122	0.0	99.93
China South Han	123	0.0	99.93
China South Han	124	0.0	99.93
China South Han	125	0.0	99.93
China South Han	126	0.0	99.93
China South Han	127	0.0	99.93
China South Han	128	0.0	99.93
China South Han	129	0.0	99.93
China South Han	130	0.0	99.93
China South Han	131	0.0	99.93
China South Han	132	0.0	99.93
China South Han	133	0.0	99.93
China South Han	134	0.0	99.93
China South Han	135	0.01	99.93
China South Han	136	0.0	99.92
China South Han	137	0.0	99.92
China South Han	138	0.0	99.92
China South Han	139	0.0	99.92
China South Han	140	0.0	99.92
China South Han	141	0.0	99.92
China South Han	142	0.0	99.92
China South Han	143	0.0	99.92
China South Han	144	0.0	99.92
China South Han	145	0.0	99.91
China South Han	146	0.0	99.91
China South Han	147	0.0	99.91
China South Han	148	0.0	99.91
China South Han	149	0.0	99.91
China South Han	150	0.0	99.91
China South Han	151	0.0	99.91
China South Han	152	0.0	99.91
China South Han	153	0.01	99.91
China South Han	154	0.0	99.9
China South Han	155	0.0	99.9
China South Han	156	0.0	99.9
China South Han	157	0.0	99.89
China South Han	158	0.0	99.89
China South Han	159	0.0	99.89
China South Han	160	0.0	99.89
China South Han	161	0.0	99.89
China South Han	162	0.0	99.89
China South Han	163	0.0	99.89
China South Han	164	0.0	99.89
China South Han	165	0.0	99.89
China South Han	166	0.0	99.89
China South Han	167	0.0	99.89
China South Han	168	0.0	99.89
China South Han	169	0.01	99.89
China South Han	170	0.0	99.88
China South Han	171	0.0	99.88
China South Han	172	0.0	99.88
China South Han	173	0.0	99.88
China South Han	174	0.0	99.88
China South Han	175	0.0	99.88
China South Han	176	0.0	99.88
China South Han	177	0.0	99.88
China South Han	178	0.0	99.88
China South Han	179	0.0	99.87
China South Han	180	0.0	99.87
China South Han	181	0.0	99.87
China South Han	182	0.0	99.87
China South Han	183	0.0	99.87
China South Han	184	0.0	99.86
China South Han	185	0.0	99.86
China South Han	186	0.0	99.86
China South Han	187	0.01	99.86
China South Han	188	0.0	99.85
China South Han	189	0.0	99.85
China South Han	190	0.0	99.85
China South Han	191	0.0	99.85
China South Han	192	0.0	99.85
China South Han	193	0.0	99.84
China South Han	194	0.0	99.84
China South Han	195	0.0	99.84
China South Han	196	0.01	99.84
China South Han	197	0.0	99.83
China South Han	198	0.01	99.83
China South Han	199	0.01	99.82
China South Han	200	0.0	99.81
China South Han	201	0.0	99.81
China South Han	202	0.0	99.81
China South Han	203	0.0	99.81
China South Han	204	0.0	99.81
China South Han	205	0.0	99.81
China South Han	206	0.0	99.8
China South Han	207	0.01	99.8
China South Han	208	0.0	99.79
China South Han	209	0.0	99.79
China South Han	210	0.0	99.78
China South Han	211	0.0	99.78
China South Han	212	0.0	99.78
China South Han	213	0.0	99.78
China South Han	214	0.0	99.78
China South Han	215	0.01	99.77
