class I
population/area	coverage	average_hit	pc90
China Yunnan Bulang	99.94%	9741.55	6578.15
average	99.94%	9741.55	6578.15
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
China Yunnan Bulang	0	0.06	100.0
China Yunnan Bulang	1	0.0	99.94
China Yunnan Bulang	2	0.0	99.94
China Yunnan Bulang	3	0.0	99.94
China Yunnan Bulang	4	0.0	99.94
China Yunnan Bulang	5	0.0	99.94
China Yunnan Bulang	6	0.0	99.94
China Yunnan Bulang	7	0.0	99.94
China Yunnan Bulang	8	0.0	99.94
China Yunnan Bulang	9	0.0	99.94
China Yunnan Bulang	10	0.0	99.94
China Yunnan Bulang	11	0.0	99.94
China Yunnan Bulang	12	0.0	99.94
China Yunnan Bulang	13	0.0	99.94
China Yunnan Bulang	14	0.0	99.94
China Yunnan Bulang	15	0.0	99.94
China Yunnan Bulang	16	0.0	99.94
China Yunnan Bulang	17	0.0	99.94
China Yunnan Bulang	18	0.0	99.94
China Yunnan Bulang	19	0.0	99.94
China Yunnan Bulang	20	0.0	99.94
China Yunnan Bulang	21	0.0	99.94
China Yunnan Bulang	22	0.0	99.94
China Yunnan Bulang	23	0.0	99.94
China Yunnan Bulang	24	0.0	99.94
China Yunnan Bulang	25	0.0	99.94
China Yunnan Bulang	26	0.0	99.94
China Yunnan Bulang	27	0.0	99.94
China Yunnan Bulang	28	0.0	99.94
China Yunnan Bulang	29	0.0	99.94
China Yunnan Bulang	30	0.0	99.94
China Yunnan Bulang	31	0.0	99.94
China Yunnan Bulang	32	0.0	99.94
China Yunnan Bulang	33	0.0	99.94
China Yunnan Bulang	34	0.0	99.94
China Yunnan Bulang	35	0.0	99.94
China Yunnan Bulang	36	0.0	99.94
China Yunnan Bulang	37	0.0	99.94
China Yunnan Bulang	38	0.0	99.94
China Yunnan Bulang	39	0.0	99.94
China Yunnan Bulang	40	0.0	99.94
China Yunnan Bulang	41	0.0	99.94
China Yunnan Bulang	42	0.0	99.94
China Yunnan Bulang	43	0.0	99.94
China Yunnan Bulang	44	0.0	99.94
China Yunnan Bulang	45	0.0	99.94
China Yunnan Bulang	46	0.0	99.94
China Yunnan Bulang	47	0.0	99.94
China Yunnan Bulang	48	0.0	99.94
China Yunnan Bulang	49	0.0	99.94
China Yunnan Bulang	50	0.0	99.94
China Yunnan Bulang	51	0.0	99.94
China Yunnan Bulang	52	0.0	99.94
China Yunnan Bulang	53	0.0	99.94
China Yunnan Bulang	54	0.0	99.94
China Yunnan Bulang	55	0.0	99.94
China Yunnan Bulang	56	0.0	99.94
China Yunnan Bulang	57	0.0	99.94
China Yunnan Bulang	58	0.0	99.94
China Yunnan Bulang	59	0.0	99.94
China Yunnan Bulang	60	0.0	99.94
China Yunnan Bulang	61	0.0	99.94
China Yunnan Bulang	62	0.0	99.94
China Yunnan Bulang	63	0.0	99.94
China Yunnan Bulang	64	0.0	99.94
China Yunnan Bulang	65	0.0	99.94
China Yunnan Bulang	66	0.0	99.94
China Yunnan Bulang	67	0.0	99.94
China Yunnan Bulang	68	0.0	99.94
China Yunnan Bulang	69	0.0	99.94
China Yunnan Bulang	70	0.0	99.94
China Yunnan Bulang	71	0.0	99.94
China Yunnan Bulang	72	0.0	99.94
China Yunnan Bulang	73	0.0	99.94
China Yunnan Bulang	74	0.0	99.94
China Yunnan Bulang	75	0.0	99.94
China Yunnan Bulang	76	0.0	99.94
China Yunnan Bulang	77	0.0	99.94
China Yunnan Bulang	78	0.0	99.94
China Yunnan Bulang	79	0.0	99.94
China Yunnan Bulang	80	0.0	99.94
China Yunnan Bulang	81	0.0	99.94
China Yunnan Bulang	82	0.0	99.94
China Yunnan Bulang	83	0.0	99.94
China Yunnan Bulang	84	0.0	99.94
China Yunnan Bulang	85	0.0	99.94
China Yunnan Bulang	86	0.0	99.94
China Yunnan Bulang	87	0.0	99.94
China Yunnan Bulang	88	0.0	99.94
China Yunnan Bulang	89	0.0	99.94
China Yunnan Bulang	90	0.0	99.94
China Yunnan Bulang	91	0.0	99.94
China Yunnan Bulang	92	0.0	99.94
China Yunnan Bulang	93	0.0	99.94
China Yunnan Bulang	94	0.0	99.94
China Yunnan Bulang	95	0.0	99.94
China Yunnan Bulang	96	0.0	99.94
China Yunnan Bulang	97	0.0	99.94
China Yunnan Bulang	98	0.0	99.94
China Yunnan Bulang	99	0.0	99.94
China Yunnan Bulang	100	0.0	99.94
China Yunnan Bulang	101	0.0	99.94
China Yunnan Bulang	102	0.0	99.94
China Yunnan Bulang	103	0.0	99.94
China Yunnan Bulang	104	0.0	99.94
China Yunnan Bulang	105	0.0	99.94
China Yunnan Bulang	106	0.0	99.94
