class I
population/area	coverage	average_hit	pc90
China Yunnan Hani	100.0%	11128.2	6843.6
average	100.0%	11128.2	6843.6
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
China Yunnan Hani	0	0.0	100.0
China Yunnan Hani	1	0.0	100.0
China Yunnan Hani	2	0.0	100.0
China Yunnan Hani	3	0.0	100.0
China Yunnan Hani	4	0.0	100.0
China Yunnan Hani	5	0.0	100.0
China Yunnan Hani	6	0.0	100.0
China Yunnan Hani	7	0.0	100.0
China Yunnan Hani	8	0.0	100.0
China Yunnan Hani	9	0.0	100.0
China Yunnan Hani	10	0.0	100.0
China Yunnan Hani	11	0.0	100.0
China Yunnan Hani	12	0.0	100.0
China Yunnan Hani	13	0.0	100.0
China Yunnan Hani	14	0.0	100.0
China Yunnan Hani	15	0.0	100.0
China Yunnan Hani	16	0.0	100.0
China Yunnan Hani	17	0.0	100.0
China Yunnan Hani	18	0.0	100.0
China Yunnan Hani	19	0.0	100.0
China Yunnan Hani	20	0.0	100.0
China Yunnan Hani	21	0.0	100.0
China Yunnan Hani	22	0.0	100.0
China Yunnan Hani	23	0.0	100.0
China Yunnan Hani	24	0.0	100.0
China Yunnan Hani	25	0.0	100.0
China Yunnan Hani	26	0.0	100.0
China Yunnan Hani	27	0.0	100.0
China Yunnan Hani	28	0.0	100.0
China Yunnan Hani	29	0.0	100.0
China Yunnan Hani	30	0.0	100.0
China Yunnan Hani	31	0.0	100.0
China Yunnan Hani	32	0.0	100.0
China Yunnan Hani	33	0.0	100.0
China Yunnan Hani	34	0.0	100.0
China Yunnan Hani	35	0.0	100.0
China Yunnan Hani	36	0.0	100.0
China Yunnan Hani	37	0.0	100.0
China Yunnan Hani	38	0.0	100.0
China Yunnan Hani	39	0.0	100.0
China Yunnan Hani	40	0.0	100.0
China Yunnan Hani	41	0.0	100.0
China Yunnan Hani	42	0.0	100.0
China Yunnan Hani	43	0.0	100.0
China Yunnan Hani	44	0.0	100.0
China Yunnan Hani	45	0.0	100.0
China Yunnan Hani	46	0.0	100.0
China Yunnan Hani	47	0.0	100.0
China Yunnan Hani	48	0.0	100.0
China Yunnan Hani	49	0.0	100.0
China Yunnan Hani	50	0.0	100.0
China Yunnan Hani	51	0.0	100.0
China Yunnan Hani	52	0.0	100.0
China Yunnan Hani	53	0.0	100.0
China Yunnan Hani	54	0.0	100.0
China Yunnan Hani	55	0.0	100.0
China Yunnan Hani	56	0.0	100.0
China Yunnan Hani	57	0.0	100.0
China Yunnan Hani	58	0.0	100.0
China Yunnan Hani	59	0.0	100.0
China Yunnan Hani	60	0.0	100.0
China Yunnan Hani	61	0.0	100.0
China Yunnan Hani	62	0.0	100.0
China Yunnan Hani	63	0.0	100.0
China Yunnan Hani	64	0.0	100.0
China Yunnan Hani	65	0.0	100.0
China Yunnan Hani	66	0.0	100.0
China Yunnan Hani	67	0.0	100.0
China Yunnan Hani	68	0.0	100.0
China Yunnan Hani	69	0.0	100.0
China Yunnan Hani	70	0.0	100.0
China Yunnan Hani	71	0.0	100.0
China Yunnan Hani	72	0.0	100.0
China Yunnan Hani	73	0.0	100.0
China Yunnan Hani	74	0.0	100.0
China Yunnan Hani	75	0.0	100.0
China Yunnan Hani	76	0.0	100.0
China Yunnan Hani	77	0.0	100.0
China Yunnan Hani	78	0.0	100.0
China Yunnan Hani	79	0.0	100.0
China Yunnan Hani	80	0.0	100.0
China Yunnan Hani	81	0.0	100.0
China Yunnan Hani	82	0.0	100.0
China Yunnan Hani	83	0.0	100.0
China Yunnan Hani	84	0.0	100.0
China Yunnan Hani	85	0.0	100.0
China Yunnan Hani	86	0.0	100.0
China Yunnan Hani	87	0.0	100.0
China Yunnan Hani	88	0.0	100.0
China Yunnan Hani	89	0.0	100.0
China Yunnan Hani	90	0.0	100.0
China Yunnan Hani	91	0.0	100.0
China Yunnan Hani	92	0.0	100.0
China Yunnan Hani	93	0.0	100.0
China Yunnan Hani	94	0.0	100.0
China Yunnan Hani	95	0.0	100.0
China Yunnan Hani	96	0.0	100.0
China Yunnan Hani	97	0.0	100.0
China Yunnan Hani	98	0.0	100.0
China Yunnan Hani	99	0.0	100.0
China Yunnan Hani	100	0.0	100.0
China Yunnan Hani	101	0.0	100.0
China Yunnan Hani	102	0.0	100.0
China Yunnan Hani	103	0.0	100.0
China Yunnan Hani	104	0.0	100.0
China Yunnan Hani	105	0.0	100.0
China Yunnan Hani	106	0.0	100.0
China Yunnan Hani	107	0.0	100.0
China Yunnan Hani	108	0.0	100.0
China Yunnan Hani	109	0.0	100.0
China Yunnan Hani	110	0.0	100.0
China Yunnan Hani	111	0.0	100.0
China Yunnan Hani	112	0.0	100.0
China Yunnan Hani	113	0.0	100.0
China Yunnan Hani	114	0.0	100.0
China Yunnan Hani	115	0.0	100.0
China Yunnan Hani	116	0.0	100.0
China Yunnan Hani	117	0.0	100.0
China Yunnan Hani	118	0.0	100.0
China Yunnan Hani	119	0.0	100.0
China Yunnan Hani	120	0.0	100.0
China Yunnan Hani	121	0.0	100.0
China Yunnan Hani	122	0.0	100.0
China Yunnan Hani	123	0.0	100.0
China Yunnan Hani	124	0.01	100.0
China Yunnan Hani	125	0.0	99.99
China Yunnan Hani	126	0.0	99.99
China Yunnan Hani	127	0.0	99.99
China Yunnan Hani	128	0.0	99.99
China Yunnan Hani	129	0.0	99.99
China Yunnan Hani	130	0.0	99.99
China Yunnan Hani	131	0.0	99.99
China Yunnan Hani	132	0.0	99.99
China Yunnan Hani	133	0.0	99.99
China Yunnan Hani	134	0.0	99.99
China Yunnan Hani	135	0.0	99.99
China Yunnan Hani	136	0.0	99.99
China Yunnan Hani	137	0.0	99.99
China Yunnan Hani	138	0.0	99.99
China Yunnan Hani	139	0.0	99.99
China Yunnan Hani	140	0.0	99.99
China Yunnan Hani	141	0.0	99.99
China Yunnan Hani	142	0.0	99.99
China Yunnan Hani	143	0.0	99.99
China Yunnan Hani	144	0.0	99.99
China Yunnan Hani	145	0.0	99.99
China Yunnan Hani	146	0.0	99.99
China Yunnan Hani	147	0.0	99.99
China Yunnan Hani	148	0.0	99.99
China Yunnan Hani	149	0.0	99.99
China Yunnan Hani	150	0.0	99.99
China Yunnan Hani	151	0.0	99.99
China Yunnan Hani	152	0.0	99.99
China Yunnan Hani	153	0.0	99.99
China Yunnan Hani	154	0.0	99.99
China Yunnan Hani	155	0.0	99.99
China Yunnan Hani	156	0.0	99.99
China Yunnan Hani	157	0.0	99.99
China Yunnan Hani	158	0.0	99.99
China Yunnan Hani	159	0.0	99.99
China Yunnan Hani	160	0.0	99.99
China Yunnan Hani	161	0.0	99.99
China Yunnan Hani	162	0.0	99.99
China Yunnan Hani	163	0.0	99.99
China Yunnan Hani	164	0.0	99.99
China Yunnan Hani	165	0.0	99.99
