class I
population/area	coverage	average_hit	pc90
China Yunnan Province Han	100.0%	11630.74	5373.08
average	100.0%	11630.74	5373.08
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
China Yunnan Province Han	0	0.0	100.0
China Yunnan Province Han	1	0.0	100.0
China Yunnan Province Han	2	0.0	100.0
China Yunnan Province Han	3	0.0	100.0
China Yunnan Province Han	4	0.0	100.0
China Yunnan Province Han	5	0.0	100.0
China Yunnan Province Han	6	0.0	100.0
China Yunnan Province Han	7	0.0	100.0
China Yunnan Province Han	8	0.0	100.0
China Yunnan Province Han	9	0.0	100.0
China Yunnan Province Han	10	0.0	100.0
China Yunnan Province Han	11	0.0	100.0
China Yunnan Province Han	12	0.0	100.0
China Yunnan Province Han	13	0.0	100.0
China Yunnan Province Han	14	0.0	100.0
China Yunnan Province Han	15	0.0	100.0
China Yunnan Province Han	16	0.0	100.0
China Yunnan Province Han	17	0.0	100.0
China Yunnan Province Han	18	0.0	100.0
China Yunnan Province Han	19	0.0	100.0
China Yunnan Province Han	20	0.0	100.0
China Yunnan Province Han	21	0.0	100.0
China Yunnan Province Han	22	0.0	100.0
China Yunnan Province Han	23	0.0	100.0
China Yunnan Province Han	24	0.0	100.0
China Yunnan Province Han	25	0.0	100.0
China Yunnan Province Han	26	0.0	100.0
China Yunnan Province Han	27	0.0	100.0
China Yunnan Province Han	28	0.0	99.99
China Yunnan Province Han	29	0.0	99.99
China Yunnan Province Han	30	0.0	99.99
China Yunnan Province Han	31	0.0	99.99
China Yunnan Province Han	32	0.0	99.99
China Yunnan Province Han	33	0.0	99.99
China Yunnan Province Han	34	0.0	99.99
China Yunnan Province Han	35	0.0	99.99
China Yunnan Province Han	36	0.0	99.99
China Yunnan Province Han	37	0.0	99.99
China Yunnan Province Han	38	0.0	99.99
China Yunnan Province Han	39	0.0	99.99
China Yunnan Province Han	40	0.0	99.99
China Yunnan Province Han	41	0.0	99.99
China Yunnan Province Han	42	0.0	99.99
China Yunnan Province Han	43	0.0	99.99
China Yunnan Province Han	44	0.0	99.99
China Yunnan Province Han	45	0.0	99.99
China Yunnan Province Han	46	0.0	99.99
China Yunnan Province Han	47	0.0	99.99
China Yunnan Province Han	48	0.0	99.99
China Yunnan Province Han	49	0.0	99.99
China Yunnan Province Han	50	0.0	99.99
China Yunnan Province Han	51	0.0	99.99
China Yunnan Province Han	52	0.0	99.99
China Yunnan Province Han	53	0.0	99.99
China Yunnan Province Han	54	0.0	99.99
China Yunnan Province Han	55	0.0	99.99
China Yunnan Province Han	56	0.0	99.98
China Yunnan Province Han	57	0.0	99.98
China Yunnan Province Han	58	0.0	99.98
China Yunnan Province Han	59	0.0	99.98
China Yunnan Province Han	60	0.0	99.98
China Yunnan Province Han	61	0.0	99.98
China Yunnan Province Han	62	0.0	99.98
China Yunnan Province Han	63	0.0	99.98
China Yunnan Province Han	64	0.0	99.98
China Yunnan Province Han	65	0.0	99.98
China Yunnan Province Han	66	0.0	99.98
China Yunnan Province Han	67	0.0	99.98
China Yunnan Province Han	68	0.0	99.98
China Yunnan Province Han	69	0.0	99.98
China Yunnan Province Han	70	0.0	99.98
China Yunnan Province Han	71	0.0	99.98
China Yunnan Province Han	72	0.0	99.98
China Yunnan Province Han	73	0.0	99.98
China Yunnan Province Han	74	0.0	99.98
China Yunnan Province Han	75	0.0	99.98
China Yunnan Province Han	76	0.0	99.97
China Yunnan Province Han	77	0.0	99.97
China Yunnan Province Han	78	0.0	99.97
China Yunnan Province Han	79	0.0	99.97
China Yunnan Province Han	80	0.0	99.97
China Yunnan Province Han	81	0.0	99.97
China Yunnan Province Han	82	0.0	99.97
China Yunnan Province Han	83	0.0	99.97
China Yunnan Province Han	84	0.0	99.97
China Yunnan Province Han	85	0.0	99.97
China Yunnan Province Han	86	0.0	99.97
China Yunnan Province Han	87	0.0	99.97
China Yunnan Province Han	88	0.0	99.97
China Yunnan Province Han	89	0.0	99.97
China Yunnan Province Han	90	0.0	99.97
China Yunnan Province Han	91	0.0	99.97
China Yunnan Province Han	92	0.0	99.97
China Yunnan Province Han	93	0.0	99.97
China Yunnan Province Han	94	0.0	99.97
China Yunnan Province Han	95	0.0	99.97
China Yunnan Province Han	96	0.0	99.96
China Yunnan Province Han	97	0.0	99.96
China Yunnan Province Han	98	0.0	99.96
China Yunnan Province Han	99	0.0	99.96
China Yunnan Province Han	100	0.0	99.96
China Yunnan Province Han	101	0.0	99.96
China Yunnan Province Han	102	0.0	99.96
China Yunnan Province Han	103	0.0	99.96
China Yunnan Province Han	104	0.0	99.96
China Yunnan Province Han	105	0.0	99.96
China Yunnan Province Han	106	0.0	99.96
China Yunnan Province Han	107	0.0	99.96
China Yunnan Province Han	108	0.0	99.96
China Yunnan Province Han	109	0.0	99.96
China Yunnan Province Han	110	0.0	99.96
China Yunnan Province Han	111	0.0	99.96
China Yunnan Province Han	112	0.0	99.96
China Yunnan Province Han	113	0.0	99.96
China Yunnan Province Han	114	0.0	99.96
China Yunnan Province Han	115	0.0	99.96
China Yunnan Province Han	116	0.0	99.96
China Yunnan Province Han	117	0.0	99.96
China Yunnan Province Han	118	0.0	99.96
China Yunnan Province Han	119	0.0	99.96
China Yunnan Province Han	120	0.0	99.96
China Yunnan Province Han	121	0.0	99.96
China Yunnan Province Han	122	0.0	99.96
China Yunnan Province Han	123	0.0	99.96
China Yunnan Province Han	124	0.0	99.96
China Yunnan Province Han	125	0.0	99.96
China Yunnan Province Han	126	0.0	99.96
China Yunnan Province Han	127	0.0	99.95
China Yunnan Province Han	128	0.0	99.95
China Yunnan Province Han	129	0.0	99.95
China Yunnan Province Han	130	0.0	99.95
China Yunnan Province Han	131	0.0	99.95
China Yunnan Province Han	132	0.0	99.95
China Yunnan Province Han	133	0.0	99.95
China Yunnan Province Han	134	0.0	99.95
China Yunnan Province Han	135	0.02	99.95
China Yunnan Province Han	136	0.0	99.94
China Yunnan Province Han	137	0.0	99.93
China Yunnan Province Han	138	0.0	99.93
China Yunnan Province Han	139	0.0	99.93
China Yunnan Province Han	140	0.0	99.93
China Yunnan Province Han	141	0.0	99.93
China Yunnan Province Han	142	0.0	99.93
China Yunnan Province Han	143	0.0	99.93
China Yunnan Province Han	144	0.0	99.93
China Yunnan Province Han	145	0.0	99.92
China Yunnan Province Han	146	0.0	99.92
China Yunnan Province Han	147	0.0	99.92
China Yunnan Province Han	148	0.0	99.92
China Yunnan Province Han	149	0.01	99.92
China Yunnan Province Han	150	0.0	99.91
China Yunnan Province Han	151	0.0	99.91
China Yunnan Province Han	152	0.0	99.91
China Yunnan Province Han	153	0.01	99.91
China Yunnan Province Han	154	0.0	99.9
China Yunnan Province Han	155	0.0	99.89
China Yunnan Province Han	156	0.0	99.89
China Yunnan Province Han	157	0.0	99.89
China Yunnan Province Han	158	0.0	99.89
China Yunnan Province Han	159	0.0	99.89
China Yunnan Province Han	160	0.0	99.89
China Yunnan Province Han	161	0.0	99.89
China Yunnan Province Han	162	0.0	99.89
China Yunnan Province Han	163	0.01	99.89
China Yunnan Province Han	164	0.0	99.88
China Yunnan Province Han	165	0.0	99.88
China Yunnan Province Han	166	0.0	99.88
China Yunnan Province Han	167	0.0	99.88
China Yunnan Province Han	168	0.0	99.88
China Yunnan Province Han	169	0.01	99.88
China Yunnan Province Han	170	0.0	99.87
China Yunnan Province Han	171	0.0	99.86
China Yunnan Province Han	172	0.0	99.86
China Yunnan Province Han	173	0.0	99.86
China Yunnan Province Han	174	0.0	99.86
China Yunnan Province Han	175	0.0	99.86
China Yunnan Province Han	176	0.0	99.86
China Yunnan Province Han	177	0.0	99.86
China Yunnan Province Han	178	0.01	99.86
China Yunnan Province Han	179	0.0	99.85
China Yunnan Province Han	180	0.0	99.84
