class I
population/area	coverage	average_hit	pc90
China Yunnan Province Lisu	99.98%	12135.46	6821.38
average	99.98%	12135.46	6821.38
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
China Yunnan Province Lisu	0	0.02	100.0
China Yunnan Province Lisu	1	0.0	99.98
China Yunnan Province Lisu	2	0.0	99.98
China Yunnan Province Lisu	3	0.0	99.98
China Yunnan Province Lisu	4	0.0	99.98
China Yunnan Province Lisu	5	0.0	99.98
China Yunnan Province Lisu	6	0.0	99.98
China Yunnan Province Lisu	7	0.0	99.98
China Yunnan Province Lisu	8	0.0	99.98
China Yunnan Province Lisu	9	0.0	99.98
China Yunnan Province Lisu	10	0.0	99.98
China Yunnan Province Lisu	11	0.0	99.98
China Yunnan Province Lisu	12	0.0	99.98
China Yunnan Province Lisu	13	0.0	99.98
China Yunnan Province Lisu	14	0.0	99.98
China Yunnan Province Lisu	15	0.0	99.98
China Yunnan Province Lisu	16	0.0	99.98
China Yunnan Province Lisu	17	0.0	99.98
China Yunnan Province Lisu	18	0.0	99.98
China Yunnan Province Lisu	19	0.0	99.98
China Yunnan Province Lisu	20	0.0	99.98
China Yunnan Province Lisu	21	0.0	99.98
China Yunnan Province Lisu	22	0.0	99.98
China Yunnan Province Lisu	23	0.0	99.98
China Yunnan Province Lisu	24	0.0	99.98
China Yunnan Province Lisu	25	0.0	99.98
China Yunnan Province Lisu	26	0.0	99.98
China Yunnan Province Lisu	27	0.0	99.98
China Yunnan Province Lisu	28	0.0	99.98
China Yunnan Province Lisu	29	0.0	99.98
China Yunnan Province Lisu	30	0.0	99.98
China Yunnan Province Lisu	31	0.0	99.98
China Yunnan Province Lisu	32	0.0	99.98
China Yunnan Province Lisu	33	0.0	99.98
China Yunnan Province Lisu	34	0.0	99.98
China Yunnan Province Lisu	35	0.0	99.98
China Yunnan Province Lisu	36	0.0	99.98
China Yunnan Province Lisu	37	0.0	99.98
China Yunnan Province Lisu	38	0.0	99.98
China Yunnan Province Lisu	39	0.0	99.98
China Yunnan Province Lisu	40	0.0	99.98
China Yunnan Province Lisu	41	0.0	99.98
China Yunnan Province Lisu	42	0.0	99.98
China Yunnan Province Lisu	43	0.0	99.98
China Yunnan Province Lisu	44	0.0	99.98
China Yunnan Province Lisu	45	0.0	99.98
China Yunnan Province Lisu	46	0.0	99.98
China Yunnan Province Lisu	47	0.0	99.98
China Yunnan Province Lisu	48	0.0	99.98
China Yunnan Province Lisu	49	0.0	99.98
China Yunnan Province Lisu	50	0.0	99.98
China Yunnan Province Lisu	51	0.0	99.98
China Yunnan Province Lisu	52	0.0	99.98
China Yunnan Province Lisu	53	0.0	99.98
China Yunnan Province Lisu	54	0.0	99.98
China Yunnan Province Lisu	55	0.0	99.98
China Yunnan Province Lisu	56	0.0	99.98
China Yunnan Province Lisu	57	0.0	99.98
China Yunnan Province Lisu	58	0.0	99.98
China Yunnan Province Lisu	59	0.0	99.98
China Yunnan Province Lisu	60	0.0	99.98
China Yunnan Province Lisu	61	0.0	99.98
China Yunnan Province Lisu	62	0.0	99.98
China Yunnan Province Lisu	63	0.0	99.98
China Yunnan Province Lisu	64	0.0	99.98
China Yunnan Province Lisu	65	0.0	99.98
China Yunnan Province Lisu	66	0.0	99.98
China Yunnan Province Lisu	67	0.0	99.98
China Yunnan Province Lisu	68	0.0	99.98
China Yunnan Province Lisu	69	0.0	99.98
China Yunnan Province Lisu	70	0.0	99.98
China Yunnan Province Lisu	71	0.0	99.98
China Yunnan Province Lisu	72	0.0	99.98
China Yunnan Province Lisu	73	0.0	99.98
China Yunnan Province Lisu	74	0.0	99.98
China Yunnan Province Lisu	75	0.0	99.98
China Yunnan Province Lisu	76	0.0	99.98
China Yunnan Province Lisu	77	0.0	99.98
China Yunnan Province Lisu	78	0.0	99.98
China Yunnan Province Lisu	79	0.0	99.98
China Yunnan Province Lisu	80	0.0	99.98
China Yunnan Province Lisu	81	0.0	99.98
China Yunnan Province Lisu	82	0.0	99.98
China Yunnan Province Lisu	83	0.0	99.98
China Yunnan Province Lisu	84	0.0	99.98
China Yunnan Province Lisu	85	0.0	99.98
China Yunnan Province Lisu	86	0.0	99.98
China Yunnan Province Lisu	87	0.0	99.98
China Yunnan Province Lisu	88	0.0	99.98
China Yunnan Province Lisu	89	0.0	99.98
China Yunnan Province Lisu	90	0.0	99.98
China Yunnan Province Lisu	91	0.0	99.98
China Yunnan Province Lisu	92	0.0	99.98
China Yunnan Province Lisu	93	0.0	99.98
China Yunnan Province Lisu	94	0.0	99.98
China Yunnan Province Lisu	95	0.0	99.98
China Yunnan Province Lisu	96	0.0	99.98
China Yunnan Province Lisu	97	0.0	99.98
China Yunnan Province Lisu	98	0.0	99.98
China Yunnan Province Lisu	99	0.0	99.98
China Yunnan Province Lisu	100	0.0	99.98
China Yunnan Province Lisu	101	0.0	99.98
China Yunnan Province Lisu	102	0.0	99.98
China Yunnan Province Lisu	103	0.0	99.98
China Yunnan Province Lisu	104	0.0	99.98
China Yunnan Province Lisu	105	0.0	99.98
China Yunnan Province Lisu	106	0.0	99.98
China Yunnan Province Lisu	107	0.0	99.98
China Yunnan Province Lisu	108	0.0	99.98
China Yunnan Province Lisu	109	0.0	99.98
China Yunnan Province Lisu	110	0.0	99.98
China Yunnan Province Lisu	111	0.0	99.98
China Yunnan Province Lisu	112	0.0	99.98
China Yunnan Province Lisu	113	0.0	99.98
China Yunnan Province Lisu	114	0.0	99.98
China Yunnan Province Lisu	115	0.0	99.98
China Yunnan Province Lisu	116	0.0	99.98
China Yunnan Province Lisu	117	0.0	99.98
China Yunnan Province Lisu	118	0.0	99.98
China Yunnan Province Lisu	119	0.0	99.98
China Yunnan Province Lisu	120	0.0	99.98
China Yunnan Province Lisu	121	0.0	99.98
China Yunnan Province Lisu	122	0.0	99.98
China Yunnan Province Lisu	123	0.0	99.98
China Yunnan Province Lisu	124	0.03	99.98
China Yunnan Province Lisu	125	0.0	99.94
China Yunnan Province Lisu	126	0.0	99.94
China Yunnan Province Lisu	127	0.0	99.94
China Yunnan Province Lisu	128	0.0	99.94
China Yunnan Province Lisu	129	0.0	99.94
China Yunnan Province Lisu	130	0.0	99.94
China Yunnan Province Lisu	131	0.0	99.94
China Yunnan Province Lisu	132	0.0	99.94
China Yunnan Province Lisu	133	0.0	99.94
China Yunnan Province Lisu	134	0.0	99.94
China Yunnan Province Lisu	135	0.0	99.94
China Yunnan Province Lisu	136	0.0	99.94
China Yunnan Province Lisu	137	0.0	99.94
China Yunnan Province Lisu	138	0.0	99.94
China Yunnan Province Lisu	139	0.0	99.94
China Yunnan Province Lisu	140	0.0	99.94
China Yunnan Province Lisu	141	0.0	99.94
China Yunnan Province Lisu	142	0.0	99.94
China Yunnan Province Lisu	143	0.0	99.94
China Yunnan Province Lisu	144	0.0	99.94
China Yunnan Province Lisu	145	0.0	99.94
China Yunnan Province Lisu	146	0.0	99.94
China Yunnan Province Lisu	147	0.0	99.94
China Yunnan Province Lisu	148	0.0	99.94
China Yunnan Province Lisu	149	0.0	99.94
China Yunnan Province Lisu	150	0.0	99.94
China Yunnan Province Lisu	151	0.0	99.94
China Yunnan Province Lisu	152	0.0	99.94
China Yunnan Province Lisu	153	0.0	99.94
China Yunnan Province Lisu	154	0.0	99.94
China Yunnan Province Lisu	155	0.0	99.94
China Yunnan Province Lisu	156	0.0	99.94
China Yunnan Province Lisu	157	0.0	99.94
China Yunnan Province Lisu	158	0.0	99.94
