class I
population/area	coverage	average_hit	pc90
Colombia Bogota Cord Blood	99.99%	12788.56	5756.6
average	99.99%	12788.56	5756.6
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Colombia Bogota Cord Blood	0	0.01	100.0
Colombia Bogota Cord Blood	1	0.0	99.99
Colombia Bogota Cord Blood	2	0.0	99.99
Colombia Bogota Cord Blood	3	0.0	99.99
Colombia Bogota Cord Blood	4	0.0	99.99
Colombia Bogota Cord Blood	5	0.0	99.99
Colombia Bogota Cord Blood	6	0.0	99.99
Colombia Bogota Cord Blood	7	0.0	99.99
Colombia Bogota Cord Blood	8	0.0	99.99
Colombia Bogota Cord Blood	9	0.0	99.99
Colombia Bogota Cord Blood	10	0.0	99.99
Colombia Bogota Cord Blood	11	0.0	99.99
Colombia Bogota Cord Blood	12	0.0	99.99
Colombia Bogota Cord Blood	13	0.0	99.99
Colombia Bogota Cord Blood	14	0.0	99.99
Colombia Bogota Cord Blood	15	0.0	99.99
Colombia Bogota Cord Blood	16	0.0	99.99
Colombia Bogota Cord Blood	17	0.0	99.99
Colombia Bogota Cord Blood	18	0.0	99.99
Colombia Bogota Cord Blood	19	0.0	99.99
Colombia Bogota Cord Blood	20	0.0	99.99
Colombia Bogota Cord Blood	21	0.0	99.99
Colombia Bogota Cord Blood	22	0.0	99.99
Colombia Bogota Cord Blood	23	0.0	99.99
Colombia Bogota Cord Blood	24	0.0	99.99
Colombia Bogota Cord Blood	25	0.0	99.99
Colombia Bogota Cord Blood	26	0.0	99.99
Colombia Bogota Cord Blood	27	0.0	99.99
Colombia Bogota Cord Blood	28	0.0	99.99
Colombia Bogota Cord Blood	29	0.0	99.99
Colombia Bogota Cord Blood	30	0.0	99.99
Colombia Bogota Cord Blood	31	0.0	99.99
Colombia Bogota Cord Blood	32	0.0	99.99
Colombia Bogota Cord Blood	33	0.0	99.99
Colombia Bogota Cord Blood	34	0.0	99.99
Colombia Bogota Cord Blood	35	0.0	99.99
Colombia Bogota Cord Blood	36	0.0	99.99
Colombia Bogota Cord Blood	37	0.0	99.99
Colombia Bogota Cord Blood	38	0.0	99.99
Colombia Bogota Cord Blood	39	0.0	99.99
Colombia Bogota Cord Blood	40	0.0	99.99
Colombia Bogota Cord Blood	41	0.0	99.99
Colombia Bogota Cord Blood	42	0.0	99.99
Colombia Bogota Cord Blood	43	0.0	99.99
Colombia Bogota Cord Blood	44	0.0	99.99
Colombia Bogota Cord Blood	45	0.0	99.99
Colombia Bogota Cord Blood	46	0.0	99.99
Colombia Bogota Cord Blood	47	0.0	99.99
Colombia Bogota Cord Blood	48	0.0	99.99
Colombia Bogota Cord Blood	49	0.0	99.99
Colombia Bogota Cord Blood	50	0.0	99.99
Colombia Bogota Cord Blood	51	0.0	99.99
Colombia Bogota Cord Blood	52	0.0	99.99
Colombia Bogota Cord Blood	53	0.0	99.99
Colombia Bogota Cord Blood	54	0.0	99.99
