class I
population/area	coverage	average_hit	pc90
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	99.98%	7357.83	3819.95
average	99.98%	7357.83	3819.95
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	0	0.02	100.0
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	1	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	2	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	3	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	4	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	5	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	6	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	7	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	8	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	9	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	10	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	11	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	12	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	13	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	14	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	15	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	16	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	17	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	18	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	19	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	20	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	21	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	22	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	23	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	24	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	25	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	26	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	27	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	28	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	29	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	30	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	31	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	32	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	33	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	34	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	35	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	36	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	37	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	38	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	39	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	40	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	41	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	42	0.0	99.98
Colombia/Brazil Ticuna Arara NA-DHS_21 (G)	43	0.0	99.98
