class I
population/area	coverage	average_hit	pc90
Colombia Embera NA-DHS_19 (G)	99.87%	5776.82	3521.22
average	99.87%	5776.82	3521.22
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Colombia Embera NA-DHS_19 (G)	0	0.13	100.0
Colombia Embera NA-DHS_19 (G)	1	0.0	99.87
Colombia Embera NA-DHS_19 (G)	2	0.0	99.87
Colombia Embera NA-DHS_19 (G)	3	0.0	99.87
Colombia Embera NA-DHS_19 (G)	4	0.0	99.87
Colombia Embera NA-DHS_19 (G)	5	0.0	99.87
Colombia Embera NA-DHS_19 (G)	6	0.0	99.87
Colombia Embera NA-DHS_19 (G)	7	0.0	99.87
Colombia Embera NA-DHS_19 (G)	8	0.0	99.87
Colombia Embera NA-DHS_19 (G)	9	0.0	99.87
Colombia Embera NA-DHS_19 (G)	10	0.0	99.87
Colombia Embera NA-DHS_19 (G)	11	0.0	99.87
Colombia Embera NA-DHS_19 (G)	12	0.0	99.87
Colombia Embera NA-DHS_19 (G)	13	0.0	99.87
Colombia Embera NA-DHS_19 (G)	14	0.0	99.87
Colombia Embera NA-DHS_19 (G)	15	0.0	99.87
Colombia Embera NA-DHS_19 (G)	16	0.0	99.87
Colombia Embera NA-DHS_19 (G)	17	0.0	99.87
Colombia Embera NA-DHS_19 (G)	18	0.0	99.87
Colombia Embera NA-DHS_19 (G)	19	0.0	99.87
Colombia Embera NA-DHS_19 (G)	20	0.0	99.87
Colombia Embera NA-DHS_19 (G)	21	0.0	99.87
Colombia Embera NA-DHS_19 (G)	22	0.0	99.87
Colombia Embera NA-DHS_19 (G)	23	0.0	99.87
Colombia Embera NA-DHS_19 (G)	24	0.0	99.87
Colombia Embera NA-DHS_19 (G)	25	0.0	99.87
Colombia Embera NA-DHS_19 (G)	26	0.0	99.87
Colombia Embera NA-DHS_19 (G)	27	0.0	99.87
Colombia Embera NA-DHS_19 (G)	28	0.0	99.87
Colombia Embera NA-DHS_19 (G)	29	0.0	99.87
Colombia Embera NA-DHS_19 (G)	30	0.0	99.87
Colombia Embera NA-DHS_19 (G)	31	0.0	99.87
Colombia Embera NA-DHS_19 (G)	32	0.0	99.87
Colombia Embera NA-DHS_19 (G)	33	0.0	99.87
Colombia Embera NA-DHS_19 (G)	34	0.0	99.87
Colombia Embera NA-DHS_19 (G)	35	0.0	99.87
Colombia Embera NA-DHS_19 (G)	36	0.0	99.87
Colombia Embera NA-DHS_19 (G)	37	0.0	99.87
Colombia Embera NA-DHS_19 (G)	38	0.0	99.87
Colombia Embera NA-DHS_19 (G)	39	0.0	99.87
Colombia Embera NA-DHS_19 (G)	40	0.0	99.87
Colombia Embera NA-DHS_19 (G)	41	0.0	99.87
Colombia Embera NA-DHS_19 (G)	42	0.0	99.87
Colombia Embera NA-DHS_19 (G)	43	0.0	99.87
Colombia Embera NA-DHS_19 (G)	44	0.0	99.87
Colombia Embera NA-DHS_19 (G)	45	0.0	99.87
Colombia Embera NA-DHS_19 (G)	46	0.0	99.87
Colombia Embera NA-DHS_19 (G)	47	0.0	99.87
Colombia Embera NA-DHS_19 (G)	48	0.0	99.87
Colombia Embera NA-DHS_19 (G)	49	0.0	99.87
Colombia Embera NA-DHS_19 (G)	50	0.0	99.87
Colombia Embera NA-DHS_19 (G)	51	0.0	99.87
Colombia Embera NA-DHS_19 (G)	52	0.0	99.87
Colombia Embera NA-DHS_19 (G)	53	0.0	99.87
Colombia Embera NA-DHS_19 (G)	54	0.0	99.87
Colombia Embera NA-DHS_19 (G)	55	0.0	99.87
Colombia Embera NA-DHS_19 (G)	56	0.0	99.87
Colombia Embera NA-DHS_19 (G)	57	0.0	99.87
Colombia Embera NA-DHS_19 (G)	58	0.0	99.87
Colombia Embera NA-DHS_19 (G)	59	0.0	99.87
Colombia Embera NA-DHS_19 (G)	60	0.0	99.87
Colombia Embera NA-DHS_19 (G)	61	0.0	99.87
Colombia Embera NA-DHS_19 (G)	62	0.0	99.87
Colombia Embera NA-DHS_19 (G)	63	0.0	99.87
Colombia Embera NA-DHS_19 (G)	64	0.0	99.87
Colombia Embera NA-DHS_19 (G)	65	0.0	99.87
Colombia Embera NA-DHS_19 (G)	66	0.0	99.87
Colombia Embera NA-DHS_19 (G)	67	0.0	99.87
Colombia Embera NA-DHS_19 (G)	68	0.0	99.87
Colombia Embera NA-DHS_19 (G)	69	0.0	99.87
Colombia Embera NA-DHS_19 (G)	70	0.0	99.87
Colombia Embera NA-DHS_19 (G)	71	0.0	99.87
Colombia Embera NA-DHS_19 (G)	72	0.0	99.87
Colombia Embera NA-DHS_19 (G)	73	0.0	99.87
Colombia Embera NA-DHS_19 (G)	74	0.0	99.87
Colombia Embera NA-DHS_19 (G)	75	0.0	99.87
Colombia Embera NA-DHS_19 (G)	76	0.0	99.87
Colombia Embera NA-DHS_19 (G)	77	0.0	99.87
Colombia Embera NA-DHS_19 (G)	78	0.0	99.87
Colombia Embera NA-DHS_19 (G)	79	0.0	99.87
Colombia Embera NA-DHS_19 (G)	80	0.0	99.87
Colombia Embera NA-DHS_19 (G)	81	0.0	99.87
Colombia Embera NA-DHS_19 (G)	82	0.0	99.87
Colombia Embera NA-DHS_19 (G)	83	0.0	99.87
Colombia Embera NA-DHS_19 (G)	84	0.0	99.87
Colombia Embera NA-DHS_19 (G)	85	0.0	99.87
Colombia Embera NA-DHS_19 (G)	86	0.0	99.87
Colombia Embera NA-DHS_19 (G)	87	0.0	99.87
Colombia Embera NA-DHS_19 (G)	88	0.0	99.87
Colombia Embera NA-DHS_19 (G)	89	0.0	99.87
Colombia Embera NA-DHS_19 (G)	90	0.0	99.87
Colombia Embera NA-DHS_19 (G)	91	0.0	99.87
Colombia Embera NA-DHS_19 (G)	92	0.0	99.87
Colombia Embera NA-DHS_19 (G)	93	0.0	99.87
Colombia Embera NA-DHS_19 (G)	94	0.0	99.87
Colombia Embera NA-DHS_19 (G)	95	0.0	99.87
Colombia Embera NA-DHS_19 (G)	96	0.0	99.87
Colombia Embera NA-DHS_19 (G)	97	0.0	99.87
Colombia Embera NA-DHS_19 (G)	98	0.0	99.87
Colombia Embera NA-DHS_19 (G)	99	0.0	99.87
Colombia Embera NA-DHS_19 (G)	100	0.0	99.87
Colombia Embera NA-DHS_19 (G)	101	0.0	99.87
Colombia Embera NA-DHS_19 (G)	102	0.0	99.87
Colombia Embera NA-DHS_19 (G)	103	0.0	99.87
Colombia Embera NA-DHS_19 (G)	104	0.0	99.87
