class I
population/area	coverage	average_hit	pc90
Costa Rica Amerindians (G)	99.98%	13550.05	6055.31
average	99.98%	13550.05	6055.31
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Costa Rica Amerindians (G)	0	0.02	100.0
Costa Rica Amerindians (G)	1	0.0	99.98
Costa Rica Amerindians (G)	2	0.0	99.98
Costa Rica Amerindians (G)	3	0.0	99.98
Costa Rica Amerindians (G)	4	0.0	99.98
Costa Rica Amerindians (G)	5	0.0	99.98
Costa Rica Amerindians (G)	6	0.0	99.98
Costa Rica Amerindians (G)	7	0.0	99.98
Costa Rica Amerindians (G)	8	0.0	99.98
Costa Rica Amerindians (G)	9	0.01	99.98
Costa Rica Amerindians (G)	10	0.0	99.97
Costa Rica Amerindians (G)	11	0.0	99.96
Costa Rica Amerindians (G)	12	0.0	99.96
Costa Rica Amerindians (G)	13	0.0	99.96
Costa Rica Amerindians (G)	14	0.0	99.96
Costa Rica Amerindians (G)	15	0.0	99.96
Costa Rica Amerindians (G)	16	0.0	99.96
Costa Rica Amerindians (G)	17	0.0	99.96
Costa Rica Amerindians (G)	18	0.0	99.96
Costa Rica Amerindians (G)	19	0.0	99.96
Costa Rica Amerindians (G)	20	0.0	99.96
Costa Rica Amerindians (G)	21	0.0	99.96
Costa Rica Amerindians (G)	22	0.0	99.96
Costa Rica Amerindians (G)	23	0.0	99.96
Costa Rica Amerindians (G)	24	0.0	99.96
Costa Rica Amerindians (G)	25	0.0	99.96
Costa Rica Amerindians (G)	26	0.0	99.96
Costa Rica Amerindians (G)	27	0.0	99.96
Costa Rica Amerindians (G)	28	0.0	99.96
Costa Rica Amerindians (G)	29	0.0	99.96
Costa Rica Amerindians (G)	30	0.0	99.96
Costa Rica Amerindians (G)	31	0.0	99.96
Costa Rica Amerindians (G)	32	0.0	99.96
Costa Rica Amerindians (G)	33	0.0	99.96
Costa Rica Amerindians (G)	34	0.0	99.96
Costa Rica Amerindians (G)	35	0.0	99.95
Costa Rica Amerindians (G)	36	0.0	99.95
Costa Rica Amerindians (G)	37	0.0	99.95
Costa Rica Amerindians (G)	38	0.0	99.95
Costa Rica Amerindians (G)	39	0.0	99.95
Costa Rica Amerindians (G)	40	0.0	99.95
Costa Rica Amerindians (G)	41	0.0	99.95
Costa Rica Amerindians (G)	42	0.0	99.95
Costa Rica Amerindians (G)	43	0.0	99.95
Costa Rica Amerindians (G)	44	0.0	99.95
Costa Rica Amerindians (G)	45	0.0	99.95
Costa Rica Amerindians (G)	46	0.0	99.95
Costa Rica Amerindians (G)	47	0.0	99.95
Costa Rica Amerindians (G)	48	0.0	99.95
Costa Rica Amerindians (G)	49	0.0	99.95
Costa Rica Amerindians (G)	50	0.0	99.95
Costa Rica Amerindians (G)	51	0.0	99.95
Costa Rica Amerindians (G)	52	0.0	99.95
Costa Rica Amerindians (G)	53	0.0	99.95
Costa Rica Amerindians (G)	54	0.0	99.95
Costa Rica Amerindians (G)	55	0.0	99.95
Costa Rica Amerindians (G)	56	0.0	99.95
Costa Rica Amerindians (G)	57	0.0	99.95
Costa Rica Amerindians (G)	58	0.0	99.95
Costa Rica Amerindians (G)	59	0.0	99.95
Costa Rica Amerindians (G)	60	0.0	99.95
Costa Rica Amerindians (G)	61	0.0	99.95
Costa Rica Amerindians (G)	62	0.0	99.95
Costa Rica Amerindians (G)	63	0.0	99.95
Costa Rica Amerindians (G)	64	0.0	99.95
Costa Rica Amerindians (G)	65	0.0	99.95
Costa Rica Amerindians (G)	66	0.0	99.95
Costa Rica Amerindians (G)	67	0.0	99.95
Costa Rica Amerindians (G)	68	0.0	99.95
Costa Rica Amerindians (G)	69	0.0	99.95
Costa Rica Amerindians (G)	70	0.0	99.95
Costa Rica Amerindians (G)	71	0.0	99.95
Costa Rica Amerindians (G)	72	0.0	99.95
Costa Rica Amerindians (G)	73	0.0	99.95
Costa Rica Amerindians (G)	74	0.0	99.95
Costa Rica Amerindians (G)	75	0.0	99.95
Costa Rica Amerindians (G)	76	0.0	99.95
Costa Rica Amerindians (G)	77	0.0	99.95
Costa Rica Amerindians (G)	78	0.0	99.95
Costa Rica Amerindians (G)	79	0.0	99.95
Costa Rica Amerindians (G)	80	0.0	99.95
Costa Rica Amerindians (G)	81	0.0	99.95
Costa Rica Amerindians (G)	82	0.0	99.95
Costa Rica Amerindians (G)	83	0.0	99.95
Costa Rica Amerindians (G)	84	0.0	99.95
Costa Rica Amerindians (G)	85	0.0	99.95
Costa Rica Amerindians (G)	86	0.0	99.95
Costa Rica Amerindians (G)	87	0.0	99.95
Costa Rica Amerindians (G)	88	0.0	99.95
Costa Rica Amerindians (G)	89	0.0	99.95
Costa Rica Amerindians (G)	90	0.0	99.95
Costa Rica Amerindians (G)	91	0.0	99.95
Costa Rica Amerindians (G)	92	0.0	99.95
Costa Rica Amerindians (G)	93	0.0	99.95
Costa Rica Amerindians (G)	94	0.0	99.95
Costa Rica Amerindians (G)	95	0.0	99.95
Costa Rica Amerindians (G)	96	0.0	99.95
Costa Rica Amerindians (G)	97	0.0	99.95
Costa Rica Amerindians (G)	98	0.0	99.95
Costa Rica Amerindians (G)	99	0.0	99.95
Costa Rica Amerindians (G)	100	0.0	99.95
Costa Rica Amerindians (G)	101	0.0	99.95
Costa Rica Amerindians (G)	102	0.0	99.95
Costa Rica Amerindians (G)	103	0.0	99.95
Costa Rica Amerindians (G)	104	0.0	99.95
Costa Rica Amerindians (G)	105	0.0	99.95
Costa Rica Amerindians (G)	106	0.0	99.95
Costa Rica Amerindians (G)	107	0.0	99.95
Costa Rica Amerindians (G)	108	0.0	99.95
Costa Rica Amerindians (G)	109	0.0	99.95
Costa Rica Amerindians (G)	110	0.0	99.95
Costa Rica Amerindians (G)	111	0.0	99.95
