class I
population/area	coverage	average_hit	pc90
Costa Rica Amerindians (G)	99.95%	10717.23	4911.06
average	99.95%	10717.23	4911.06
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Costa Rica Amerindians (G)	0	0.05	100.0
Costa Rica Amerindians (G)	1	0.0	99.95
Costa Rica Amerindians (G)	2	0.0	99.95
Costa Rica Amerindians (G)	3	0.0	99.95
Costa Rica Amerindians (G)	4	0.0	99.95
Costa Rica Amerindians (G)	5	0.0	99.95
Costa Rica Amerindians (G)	6	0.0	99.95
Costa Rica Amerindians (G)	7	0.0	99.95
Costa Rica Amerindians (G)	8	0.0	99.95
Costa Rica Amerindians (G)	9	0.0	99.95
Costa Rica Amerindians (G)	10	0.0	99.95
Costa Rica Amerindians (G)	11	0.0	99.95
Costa Rica Amerindians (G)	12	0.0	99.95
Costa Rica Amerindians (G)	13	0.0	99.95
Costa Rica Amerindians (G)	14	0.0	99.95
Costa Rica Amerindians (G)	15	0.0	99.95
Costa Rica Amerindians (G)	16	0.0	99.95
Costa Rica Amerindians (G)	17	0.0	99.95
Costa Rica Amerindians (G)	18	0.0	99.95
Costa Rica Amerindians (G)	19	0.0	99.95
Costa Rica Amerindians (G)	20	0.0	99.95
Costa Rica Amerindians (G)	21	0.0	99.95
Costa Rica Amerindians (G)	22	0.0	99.95
Costa Rica Amerindians (G)	23	0.0	99.95
Costa Rica Amerindians (G)	24	0.0	99.95
Costa Rica Amerindians (G)	25	0.0	99.95
Costa Rica Amerindians (G)	26	0.0	99.95
Costa Rica Amerindians (G)	27	0.0	99.95
Costa Rica Amerindians (G)	28	0.0	99.95
Costa Rica Amerindians (G)	29	0.0	99.95
Costa Rica Amerindians (G)	30	0.0	99.95
Costa Rica Amerindians (G)	31	0.0	99.95
Costa Rica Amerindians (G)	32	0.0	99.95
Costa Rica Amerindians (G)	33	0.0	99.95
Costa Rica Amerindians (G)	34	0.0	99.95
Costa Rica Amerindians (G)	35	0.0	99.95
Costa Rica Amerindians (G)	36	0.0	99.95
Costa Rica Amerindians (G)	37	0.0	99.95
Costa Rica Amerindians (G)	38	0.0	99.95
Costa Rica Amerindians (G)	39	0.0	99.95
Costa Rica Amerindians (G)	40	0.0	99.95
Costa Rica Amerindians (G)	41	0.0	99.95
Costa Rica Amerindians (G)	42	0.0	99.95
Costa Rica Amerindians (G)	43	0.0	99.95
Costa Rica Amerindians (G)	44	0.0	99.95
Costa Rica Amerindians (G)	45	0.0	99.95
Costa Rica Amerindians (G)	46	0.0	99.95
Costa Rica Amerindians (G)	47	0.0	99.95
Costa Rica Amerindians (G)	48	0.0	99.95
Costa Rica Amerindians (G)	49	0.0	99.95
Costa Rica Amerindians (G)	50	0.0	99.95
Costa Rica Amerindians (G)	51	0.0	99.95
Costa Rica Amerindians (G)	52	0.0	99.95
Costa Rica Amerindians (G)	53	0.0	99.95
Costa Rica Amerindians (G)	54	0.0	99.95
Costa Rica Amerindians (G)	55	0.0	99.95
Costa Rica Amerindians (G)	56	0.0	99.95
Costa Rica Amerindians (G)	57	0.0	99.95
Costa Rica Amerindians (G)	58	0.0	99.95
Costa Rica Amerindians (G)	59	0.0	99.95
Costa Rica Amerindians (G)	60	0.0	99.95
Costa Rica Amerindians (G)	61	0.0	99.95
Costa Rica Amerindians (G)	62	0.0	99.95
Costa Rica Amerindians (G)	63	0.0	99.95
Costa Rica Amerindians (G)	64	0.0	99.95
Costa Rica Amerindians (G)	65	0.0	99.95
Costa Rica Amerindians (G)	66	0.0	99.95
Costa Rica Amerindians (G)	67	0.0	99.95
Costa Rica Amerindians (G)	68	0.0	99.95
Costa Rica Amerindians (G)	69	0.0	99.95
Costa Rica Amerindians (G)	70	0.0	99.95
Costa Rica Amerindians (G)	71	0.0	99.95
Costa Rica Amerindians (G)	72	0.0	99.95
Costa Rica Amerindians (G)	73	0.0	99.95
Costa Rica Amerindians (G)	74	0.0	99.95
Costa Rica Amerindians (G)	75	0.0	99.95
Costa Rica Amerindians (G)	76	0.0	99.95
Costa Rica Amerindians (G)	77	0.0	99.95
Costa Rica Amerindians (G)	78	0.0	99.95
Costa Rica Amerindians (G)	79	0.0	99.95
Costa Rica Amerindians (G)	80	0.0	99.95
Costa Rica Amerindians (G)	81	0.0	99.95
Costa Rica Amerindians (G)	82	0.0	99.95
Costa Rica Amerindians (G)	83	0.0	99.95
Costa Rica Amerindians (G)	84	0.0	99.95
Costa Rica Amerindians (G)	85	0.0	99.95
Costa Rica Amerindians (G)	86	0.0	99.95
Costa Rica Amerindians (G)	87	0.0	99.95
Costa Rica Amerindians (G)	88	0.0	99.95
Costa Rica Amerindians (G)	89	0.0	99.95
Costa Rica Amerindians (G)	90	0.0	99.95
Costa Rica Amerindians (G)	91	0.0	99.95
Costa Rica Amerindians (G)	92	0.0	99.95
Costa Rica Amerindians (G)	93	0.0	99.95
Costa Rica Amerindians (G)	94	0.0	99.95
Costa Rica Amerindians (G)	95	0.0	99.95
Costa Rica Amerindians (G)	96	0.0	99.95
Costa Rica Amerindians (G)	97	0.0	99.95
Costa Rica Amerindians (G)	98	0.0	99.95
Costa Rica Amerindians (G)	99	0.0	99.95
Costa Rica Amerindians (G)	100	0.0	99.95
Costa Rica Amerindians (G)	101	0.01	99.95
Costa Rica Amerindians (G)	102	0.0	99.95
Costa Rica Amerindians (G)	103	0.0	99.95
Costa Rica Amerindians (G)	104	0.0	99.95
Costa Rica Amerindians (G)	105	0.0	99.94
Costa Rica Amerindians (G)	106	0.0	99.94
Costa Rica Amerindians (G)	107	0.0	99.94
Costa Rica Amerindians (G)	108	0.0	99.94
Costa Rica Amerindians (G)	109	0.0	99.94
Costa Rica Amerindians (G)	110	0.0	99.94
Costa Rica Amerindians (G)	111	0.0	99.94
Costa Rica Amerindians (G)	112	0.0	99.94
Costa Rica Amerindians (G)	113	0.0	99.94
Costa Rica Amerindians (G)	114	0.0	99.94
Costa Rica Amerindians (G)	115	0.0	99.94
Costa Rica Amerindians (G)	116	0.0	99.94
Costa Rica Amerindians (G)	117	0.0	99.94
Costa Rica Amerindians (G)	118	0.0	99.94
Costa Rica Amerindians (G)	119	0.0	99.94
Costa Rica Amerindians (G)	120	0.0	99.94
Costa Rica Amerindians (G)	121	0.0	99.94
Costa Rica Amerindians (G)	122	0.0	99.94
Costa Rica Amerindians (G)	123	0.0	99.94
Costa Rica Amerindians (G)	124	0.0	99.94
Costa Rica Amerindians (G)	125	0.0	99.94
Costa Rica Amerindians (G)	126	0.0	99.94
Costa Rica Amerindians (G)	127	0.0	99.94
Costa Rica Amerindians (G)	128	0.0	99.94
Costa Rica Amerindians (G)	129	0.0	99.94
Costa Rica Amerindians (G)	130	0.0	99.94
Costa Rica Amerindians (G)	131	0.0	99.94
Costa Rica Amerindians (G)	132	0.0	99.94
Costa Rica Amerindians (G)	133	0.0	99.94
Costa Rica Amerindians (G)	134	0.0	99.93
Costa Rica Amerindians (G)	135	0.0	99.93
Costa Rica Amerindians (G)	136	0.0	99.93
Costa Rica Amerindians (G)	137	0.0	99.93
Costa Rica Amerindians (G)	138	0.0	99.93
Costa Rica Amerindians (G)	139	0.0	99.93
Costa Rica Amerindians (G)	140	0.0	99.93
Costa Rica Amerindians (G)	141	0.0	99.93
Costa Rica Amerindians (G)	142	0.0	99.93
Costa Rica Amerindians (G)	143	0.0	99.93
Costa Rica Amerindians (G)	144	0.0	99.93
Costa Rica Amerindians (G)	145	0.0	99.93
Costa Rica Amerindians (G)	146	0.0	99.93
Costa Rica Amerindians (G)	147	0.0	99.93
Costa Rica Amerindians (G)	148	0.0	99.93
Costa Rica Amerindians (G)	149	0.0	99.93
Costa Rica Amerindians (G)	150	0.0	99.93
Costa Rica Amerindians (G)	151	0.0	99.93
Costa Rica Amerindians (G)	152	0.0	99.93
Costa Rica Amerindians (G)	153	0.0	99.93
Costa Rica Amerindians (G)	154	0.0	99.93
Costa Rica Amerindians (G)	155	0.0	99.93
Costa Rica Amerindians (G)	156	0.0	99.93
Costa Rica Amerindians (G)	157	0.0	99.93
Costa Rica Amerindians (G)	158	0.0	99.93
Costa Rica Amerindians (G)	159	0.0	99.93
Costa Rica Amerindians (G)	160	0.0	99.93
Costa Rica Amerindians (G)	161	0.0	99.93
Costa Rica Amerindians (G)	162	0.0	99.93
Costa Rica Amerindians (G)	163	0.0	99.93
Costa Rica Amerindians (G)	164	0.0	99.93
Costa Rica Amerindians (G)	165	0.0	99.93
Costa Rica Amerindians (G)	166	0.0	99.93
Costa Rica Amerindians (G)	167	0.0	99.93
Costa Rica Amerindians (G)	168	0.0	99.93
Costa Rica Amerindians (G)	169	0.0	99.93
Costa Rica Amerindians (G)	170	0.0	99.93
Costa Rica Amerindians (G)	171	0.0	99.93
Costa Rica Amerindians (G)	172	0.0	99.93
Costa Rica Amerindians (G)	173	0.0	99.93
Costa Rica Amerindians (G)	174	0.0	99.93
Costa Rica Amerindians (G)	175	0.0	99.93
Costa Rica Amerindians (G)	176	0.0	99.93
Costa Rica Amerindians (G)	177	0.0	99.93
Costa Rica Amerindians (G)	178	0.0	99.93
Costa Rica Amerindians (G)	179	0.0	99.93
Costa Rica Amerindians (G)	180	0.0	99.93
Costa Rica Amerindians (G)	181	0.0	99.93
Costa Rica Amerindians (G)	182	0.0	99.93
Costa Rica Amerindians (G)	183	0.0	99.93
Costa Rica Amerindians (G)	184	0.0	99.93
Costa Rica Amerindians (G)	185	0.0	99.93
Costa Rica Amerindians (G)	186	0.0	99.93
Costa Rica Amerindians (G)	187	0.0	99.93
Costa Rica Amerindians (G)	188	0.0	99.93
Costa Rica Amerindians (G)	189	0.0	99.93
Costa Rica Amerindians (G)	190	0.0	99.93
Costa Rica Amerindians (G)	191	0.0	99.93
Costa Rica Amerindians (G)	192	0.0	99.93
Costa Rica Amerindians (G)	193	0.0	99.93
Costa Rica Amerindians (G)	194	0.0	99.93
Costa Rica Amerindians (G)	195	0.0	99.93
Costa Rica Amerindians (G)	196	0.0	99.93
Costa Rica Amerindians (G)	197	0.0	99.93
Costa Rica Amerindians (G)	198	0.0	99.93
Costa Rica Amerindians (G)	199	0.0	99.93
Costa Rica Amerindians (G)	200	0.0	99.93
Costa Rica Amerindians (G)	201	0.0	99.93
Costa Rica Amerindians (G)	202	0.0	99.93
Costa Rica Amerindians (G)	203	0.0	99.93
Costa Rica Amerindians (G)	204	0.0	99.93
Costa Rica Amerindians (G)	205	0.0	99.93
Costa Rica Amerindians (G)	206	0.0	99.93
Costa Rica Amerindians (G)	207	0.0	99.93
Costa Rica Amerindians (G)	208	0.0	99.93
Costa Rica Amerindians (G)	209	0.0	99.93
Costa Rica Amerindians (G)	210	0.0	99.93
Costa Rica Amerindians (G)	211	0.0	99.93
Costa Rica Amerindians (G)	212	0.0	99.93
Costa Rica Amerindians (G)	213	0.0	99.93
Costa Rica Amerindians (G)	214	0.0	99.93
Costa Rica Amerindians (G)	215	0.0	99.93
Costa Rica Amerindians (G)	216	0.0	99.93
Costa Rica Amerindians (G)	217	0.0	99.93
Costa Rica Amerindians (G)	218	0.0	99.93
Costa Rica Amerindians (G)	219	0.0	99.93
Costa Rica Amerindians (G)	220	0.0	99.93
Costa Rica Amerindians (G)	221	0.0	99.93
Costa Rica Amerindians (G)	222	0.0	99.93
Costa Rica Amerindians (G)	223	0.0	99.93
Costa Rica Amerindians (G)	224	0.0	99.93
Costa Rica Amerindians (G)	225	0.0	99.93
Costa Rica Amerindians (G)	226	0.0	99.93
Costa Rica Amerindians (G)	227	0.0	99.93
Costa Rica Amerindians (G)	228	0.0	99.93
Costa Rica Amerindians (G)	229	0.0	99.93
Costa Rica Amerindians (G)	230	0.0	99.93
Costa Rica Amerindians (G)	231	0.0	99.93
Costa Rica Amerindians (G)	232	0.0	99.93
Costa Rica Amerindians (G)	233	0.0	99.93
Costa Rica Amerindians (G)	234	0.0	99.93
Costa Rica Amerindians (G)	235	0.0	99.93
Costa Rica Amerindians (G)	236	0.0	99.93
Costa Rica Amerindians (G)	237	0.0	99.93
Costa Rica Amerindians (G)	238	0.0	99.93
Costa Rica Amerindians (G)	239	0.0	99.93
Costa Rica Amerindians (G)	240	0.0	99.93
Costa Rica Amerindians (G)	241	0.0	99.93
Costa Rica Amerindians (G)	242	0.0	99.93
Costa Rica Amerindians (G)	243	0.01	99.93
Costa Rica Amerindians (G)	244	0.0	99.92
Costa Rica Amerindians (G)	245	0.0	99.92
Costa Rica Amerindians (G)	246	0.0	99.92
Costa Rica Amerindians (G)	247	0.0	99.92
Costa Rica Amerindians (G)	248	0.0	99.92
Costa Rica Amerindians (G)	249	0.0	99.92
Costa Rica Amerindians (G)	250	0.0	99.92
Costa Rica Amerindians (G)	251	0.0	99.92
Costa Rica Amerindians (G)	252	0.0	99.92
Costa Rica Amerindians (G)	253	0.0	99.92
Costa Rica Amerindians (G)	254	0.0	99.92
Costa Rica Amerindians (G)	255	0.0	99.92
Costa Rica Amerindians (G)	256	0.0	99.92
Costa Rica Amerindians (G)	257	0.0	99.92
Costa Rica Amerindians (G)	258	0.0	99.92
Costa Rica Amerindians (G)	259	0.0	99.92
Costa Rica Amerindians (G)	260	0.0	99.92
Costa Rica Amerindians (G)	261	0.0	99.92
Costa Rica Amerindians (G)	262	0.0	99.92
Costa Rica Amerindians (G)	263	0.0	99.92
Costa Rica Amerindians (G)	264	0.0	99.92
Costa Rica Amerindians (G)	265	0.01	99.92
Costa Rica Amerindians (G)	266	0.0	99.92
Costa Rica Amerindians (G)	267	0.0	99.92
Costa Rica Amerindians (G)	268	0.0	99.92
Costa Rica Amerindians (G)	269	0.0	99.92
Costa Rica Amerindians (G)	270	0.0	99.92
Costa Rica Amerindians (G)	271	0.0	99.92
Costa Rica Amerindians (G)	272	0.0	99.92
Costa Rica Amerindians (G)	273	0.0	99.91
Costa Rica Amerindians (G)	274	0.0	99.91
Costa Rica Amerindians (G)	275	0.0	99.91
Costa Rica Amerindians (G)	276	0.0	99.91
Costa Rica Amerindians (G)	277	0.0	99.91
Costa Rica Amerindians (G)	278	0.0	99.91
Costa Rica Amerindians (G)	279	0.0	99.91
Costa Rica Amerindians (G)	280	0.0	99.91
Costa Rica Amerindians (G)	281	0.0	99.91
Costa Rica Amerindians (G)	282	0.0	99.91
Costa Rica Amerindians (G)	283	0.0	99.91
Costa Rica Amerindians (G)	284	0.0	99.91
Costa Rica Amerindians (G)	285	0.0	99.91
Costa Rica Amerindians (G)	286	0.0	99.91
Costa Rica Amerindians (G)	287	0.0	99.91
Costa Rica Amerindians (G)	288	0.0	99.91
Costa Rica Amerindians (G)	289	0.0	99.91
Costa Rica Amerindians (G)	290	0.0	99.91
Costa Rica Amerindians (G)	291	0.0	99.91
Costa Rica Amerindians (G)	292	0.0	99.91
Costa Rica Amerindians (G)	293	0.0	99.91
Costa Rica Amerindians (G)	294	0.0	99.91
Costa Rica Amerindians (G)	295	0.0	99.91
Costa Rica Amerindians (G)	296	0.0	99.91
Costa Rica Amerindians (G)	297	0.0	99.91
Costa Rica Amerindians (G)	298	0.0	99.91
Costa Rica Amerindians (G)	299	0.0	99.91
Costa Rica Amerindians (G)	300	0.0	99.91
Costa Rica Amerindians (G)	301	0.0	99.91
Costa Rica Amerindians (G)	302	0.0	99.91
Costa Rica Amerindians (G)	303	0.0	99.91
Costa Rica Amerindians (G)	304	0.0	99.91
Costa Rica Amerindians (G)	305	0.0	99.91
Costa Rica Amerindians (G)	306	0.0	99.91
Costa Rica Amerindians (G)	307	0.0	99.91
Costa Rica Amerindians (G)	308	0.0	99.91
Costa Rica Amerindians (G)	309	0.0	99.91
Costa Rica Amerindians (G)	310	0.0	99.91
Costa Rica Amerindians (G)	311	0.0	99.91
Costa Rica Amerindians (G)	312	0.0	99.91
Costa Rica Amerindians (G)	313	0.0	99.91
Costa Rica Amerindians (G)	314	0.0	99.91
Costa Rica Amerindians (G)	315	0.0	99.91
Costa Rica Amerindians (G)	316	0.0	99.91
Costa Rica Amerindians (G)	317	0.0	99.91
Costa Rica Amerindians (G)	318	0.0	99.91
Costa Rica Amerindians (G)	319	0.0	99.91
Costa Rica Amerindians (G)	320	0.0	99.91
Costa Rica Amerindians (G)	321	0.0	99.91
Costa Rica Amerindians (G)	322	0.0	99.91
Costa Rica Amerindians (G)	323	0.0	99.91
Costa Rica Amerindians (G)	324	0.0	99.91
Costa Rica Amerindians (G)	325	0.0	99.91
Costa Rica Amerindians (G)	326	0.0	99.91
Costa Rica Amerindians (G)	327	0.0	99.91
Costa Rica Amerindians (G)	328	0.0	99.91
Costa Rica Amerindians (G)	329	0.0	99.91
Costa Rica Amerindians (G)	330	0.0	99.91
Costa Rica Amerindians (G)	331	0.0	99.91
Costa Rica Amerindians (G)	332	0.0	99.91
Costa Rica Amerindians (G)	333	0.0	99.91
Costa Rica Amerindians (G)	334	0.0	99.91
Costa Rica Amerindians (G)	335	0.0	99.91
Costa Rica Amerindians (G)	336	0.0	99.91
Costa Rica Amerindians (G)	337	0.0	99.91
Costa Rica Amerindians (G)	338	0.0	99.91
Costa Rica Amerindians (G)	339	0.0	99.91
Costa Rica Amerindians (G)	340	0.0	99.91
Costa Rica Amerindians (G)	341	0.0	99.91
Costa Rica Amerindians (G)	342	0.0	99.91
Costa Rica Amerindians (G)	343	0.0	99.91
Costa Rica Amerindians (G)	344	0.0	99.91
Costa Rica Amerindians (G)	345	0.0	99.91
Costa Rica Amerindians (G)	346	0.0	99.91
Costa Rica Amerindians (G)	347	0.0	99.91
Costa Rica Amerindians (G)	348	0.0	99.91
Costa Rica Amerindians (G)	349	0.0	99.91
Costa Rica Amerindians (G)	350	0.0	99.91
Costa Rica Amerindians (G)	351	0.0	99.91
Costa Rica Amerindians (G)	352	0.0	99.91
Costa Rica Amerindians (G)	353	0.0	99.91
Costa Rica Amerindians (G)	354	0.0	99.9
Costa Rica Amerindians (G)	355	0.0	99.9
Costa Rica Amerindians (G)	356	0.0	99.9
Costa Rica Amerindians (G)	357	0.0	99.9
Costa Rica Amerindians (G)	358	0.0	99.9
Costa Rica Amerindians (G)	359	0.0	99.9
Costa Rica Amerindians (G)	360	0.0	99.9
Costa Rica Amerindians (G)	361	0.0	99.9
Costa Rica Amerindians (G)	362	0.0	99.9
Costa Rica Amerindians (G)	363	0.0	99.9
Costa Rica Amerindians (G)	364	0.0	99.9
Costa Rica Amerindians (G)	365	0.0	99.9
Costa Rica Amerindians (G)	366	0.0	99.9
Costa Rica Amerindians (G)	367	0.0	99.9
Costa Rica Amerindians (G)	368	0.0	99.9
Costa Rica Amerindians (G)	369	0.0	99.9
Costa Rica Amerindians (G)	370	0.0	99.9
Costa Rica Amerindians (G)	371	0.0	99.9
Costa Rica Amerindians (G)	372	0.0	99.9
Costa Rica Amerindians (G)	373	0.0	99.9
Costa Rica Amerindians (G)	374	0.0	99.9
Costa Rica Amerindians (G)	375	0.0	99.9
Costa Rica Amerindians (G)	376	0.0	99.9
Costa Rica Amerindians (G)	377	0.0	99.9
Costa Rica Amerindians (G)	378	0.0	99.9
Costa Rica Amerindians (G)	379	0.0	99.9
Costa Rica Amerindians (G)	380	0.0	99.9
Costa Rica Amerindians (G)	381	0.0	99.9
Costa Rica Amerindians (G)	382	0.0	99.9
Costa Rica Amerindians (G)	383	0.0	99.9
Costa Rica Amerindians (G)	384	0.0	99.9
Costa Rica Amerindians (G)	385	0.0	99.9
Costa Rica Amerindians (G)	386	0.0	99.9
Costa Rica Amerindians (G)	387	0.0	99.9
Costa Rica Amerindians (G)	388	0.0	99.9
Costa Rica Amerindians (G)	389	0.0	99.9
Costa Rica Amerindians (G)	390	0.0	99.9
Costa Rica Amerindians (G)	391	0.0	99.9
