class I
population/area	coverage	average_hit	pc90
Costa Rica Central Valley Mestizo (G)	100.0%	18796.49	8372.09
average	100.0%	18796.49	8372.09
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Costa Rica Central Valley Mestizo (G)	0	0.0	100.0
Costa Rica Central Valley Mestizo (G)	1	0.0	100.0
Costa Rica Central Valley Mestizo (G)	2	0.0	100.0
Costa Rica Central Valley Mestizo (G)	3	0.0	100.0
Costa Rica Central Valley Mestizo (G)	4	0.0	100.0
Costa Rica Central Valley Mestizo (G)	5	0.0	100.0
Costa Rica Central Valley Mestizo (G)	6	0.0	100.0
Costa Rica Central Valley Mestizo (G)	7	0.0	100.0
Costa Rica Central Valley Mestizo (G)	8	0.0	100.0
Costa Rica Central Valley Mestizo (G)	9	0.0	100.0
Costa Rica Central Valley Mestizo (G)	10	0.0	100.0
Costa Rica Central Valley Mestizo (G)	11	0.0	100.0
Costa Rica Central Valley Mestizo (G)	12	0.0	100.0
Costa Rica Central Valley Mestizo (G)	13	0.0	100.0
Costa Rica Central Valley Mestizo (G)	14	0.0	100.0
Costa Rica Central Valley Mestizo (G)	15	0.0	100.0
Costa Rica Central Valley Mestizo (G)	16	0.0	100.0
Costa Rica Central Valley Mestizo (G)	17	0.0	100.0
Costa Rica Central Valley Mestizo (G)	18	0.0	100.0
Costa Rica Central Valley Mestizo (G)	19	0.0	100.0
Costa Rica Central Valley Mestizo (G)	20	0.0	100.0
Costa Rica Central Valley Mestizo (G)	21	0.0	100.0
Costa Rica Central Valley Mestizo (G)	22	0.0	100.0
Costa Rica Central Valley Mestizo (G)	23	0.0	100.0
Costa Rica Central Valley Mestizo (G)	24	0.0	100.0
Costa Rica Central Valley Mestizo (G)	25	0.0	100.0
Costa Rica Central Valley Mestizo (G)	26	0.0	100.0
Costa Rica Central Valley Mestizo (G)	27	0.0	100.0
Costa Rica Central Valley Mestizo (G)	28	0.0	100.0
Costa Rica Central Valley Mestizo (G)	29	0.0	100.0
Costa Rica Central Valley Mestizo (G)	30	0.0	100.0
Costa Rica Central Valley Mestizo (G)	31	0.0	100.0
Costa Rica Central Valley Mestizo (G)	32	0.0	100.0
Costa Rica Central Valley Mestizo (G)	33	0.0	100.0
Costa Rica Central Valley Mestizo (G)	34	0.0	100.0
Costa Rica Central Valley Mestizo (G)	35	0.0	100.0
Costa Rica Central Valley Mestizo (G)	36	0.0	100.0
Costa Rica Central Valley Mestizo (G)	37	0.0	100.0
Costa Rica Central Valley Mestizo (G)	38	0.0	100.0
Costa Rica Central Valley Mestizo (G)	39	0.0	100.0
Costa Rica Central Valley Mestizo (G)	40	0.0	100.0
Costa Rica Central Valley Mestizo (G)	41	0.0	100.0
Costa Rica Central Valley Mestizo (G)	42	0.0	100.0
Costa Rica Central Valley Mestizo (G)	43	0.0	100.0
Costa Rica Central Valley Mestizo (G)	44	0.0	100.0
