class I
population/area	coverage	average_hit	pc90
Czech Republic NMDR	100.0%	17290.35	9928.14
average	100.0%	17290.35	9928.14
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Czech Republic NMDR	0	0.0	100.0
Czech Republic NMDR	1	0.0	100.0
Czech Republic NMDR	2	0.0	100.0
Czech Republic NMDR	3	0.0	100.0
Czech Republic NMDR	4	0.0	100.0
Czech Republic NMDR	5	0.0	100.0
Czech Republic NMDR	6	0.0	100.0
Czech Republic NMDR	7	0.0	100.0
Czech Republic NMDR	8	0.0	100.0
Czech Republic NMDR	9	0.0	100.0
Czech Republic NMDR	10	0.0	100.0
Czech Republic NMDR	11	0.0	100.0
Czech Republic NMDR	12	0.0	100.0
Czech Republic NMDR	13	0.0	100.0
Czech Republic NMDR	14	0.0	100.0
Czech Republic NMDR	15	0.0	100.0
Czech Republic NMDR	16	0.0	100.0
Czech Republic NMDR	17	0.0	100.0
Czech Republic NMDR	18	0.0	100.0
Czech Republic NMDR	19	0.0	100.0
Czech Republic NMDR	20	0.0	100.0
Czech Republic NMDR	21	0.0	100.0
Czech Republic NMDR	22	0.0	100.0
Czech Republic NMDR	23	0.0	100.0
Czech Republic NMDR	24	0.0	100.0
Czech Republic NMDR	25	0.0	100.0
Czech Republic NMDR	26	0.0	100.0
Czech Republic NMDR	27	0.0	100.0
Czech Republic NMDR	28	0.0	100.0
Czech Republic NMDR	29	0.0	100.0
Czech Republic NMDR	30	0.0	100.0
Czech Republic NMDR	31	0.0	100.0
Czech Republic NMDR	32	0.0	100.0
Czech Republic NMDR	33	0.0	100.0
Czech Republic NMDR	34	0.0	100.0
Czech Republic NMDR	35	0.0	100.0
Czech Republic NMDR	36	0.0	100.0
Czech Republic NMDR	37	0.0	100.0
Czech Republic NMDR	38	0.0	100.0
Czech Republic NMDR	39	0.0	100.0
Czech Republic NMDR	40	0.0	100.0
Czech Republic NMDR	41	0.0	100.0
Czech Republic NMDR	42	0.0	100.0
Czech Republic NMDR	43	0.0	100.0
Czech Republic NMDR	44	0.0	100.0
Czech Republic NMDR	45	0.0	100.0
Czech Republic NMDR	46	0.0	100.0
Czech Republic NMDR	47	0.0	100.0
Czech Republic NMDR	48	0.0	100.0
Czech Republic NMDR	49	0.0	100.0
Czech Republic NMDR	50	0.0	100.0
Czech Republic NMDR	51	0.0	100.0
Czech Republic NMDR	52	0.0	100.0
Czech Republic NMDR	53	0.0	100.0
Czech Republic NMDR	54	0.0	100.0
Czech Republic NMDR	55	0.0	100.0
Czech Republic NMDR	56	0.0	100.0
Czech Republic NMDR	57	0.0	100.0
Czech Republic NMDR	58	0.0	100.0
Czech Republic NMDR	59	0.0	100.0
Czech Republic NMDR	60	0.0	100.0
Czech Republic NMDR	61	0.0	100.0
Czech Republic NMDR	62	0.0	100.0
Czech Republic NMDR	63	0.0	100.0
Czech Republic NMDR	64	0.0	100.0
Czech Republic NMDR	65	0.0	100.0
Czech Republic NMDR	66	0.0	100.0
Czech Republic NMDR	67	0.0	100.0
Czech Republic NMDR	68	0.0	100.0
Czech Republic NMDR	69	0.0	100.0
Czech Republic NMDR	70	0.0	100.0
Czech Republic NMDR	71	0.0	100.0
Czech Republic NMDR	72	0.0	100.0
Czech Republic NMDR	73	0.0	100.0
Czech Republic NMDR	74	0.0	100.0
Czech Republic NMDR	75	0.0	100.0
Czech Republic NMDR	76	0.0	100.0
Czech Republic NMDR	77	0.0	100.0
