class I
population/area	coverage	average_hit	pc90
Gaza	99.98%	11759.86	5416.59
average	99.98%	11759.86	5416.59
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Gaza	0	0.02	100.0
Gaza	1	0.0	99.98
Gaza	2	0.0	99.98
Gaza	3	0.0	99.98
Gaza	4	0.0	99.98
Gaza	5	0.0	99.98
Gaza	6	0.0	99.98
Gaza	7	0.0	99.98
Gaza	8	0.0	99.98
Gaza	9	0.0	99.98
Gaza	10	0.0	99.98
Gaza	11	0.0	99.98
Gaza	12	0.0	99.98
Gaza	13	0.0	99.98
Gaza	14	0.0	99.98
Gaza	15	0.0	99.98
Gaza	16	0.0	99.98
Gaza	17	0.0	99.98
Gaza	18	0.0	99.98
Gaza	19	0.0	99.98
Gaza	20	0.0	99.98
Gaza	21	0.0	99.98
Gaza	22	0.0	99.98
Gaza	23	0.0	99.98
Gaza	24	0.0	99.98
Gaza	25	0.0	99.98
Gaza	26	0.0	99.98
Gaza	27	0.0	99.98
Gaza	28	0.0	99.98
Gaza	29	0.0	99.98
Gaza	30	0.0	99.98
Gaza	31	0.0	99.98
Gaza	32	0.0	99.98
Gaza	33	0.0	99.98
Gaza	34	0.0	99.98
Gaza	35	0.0	99.98
Gaza	36	0.0	99.98
Gaza	37	0.0	99.98
Gaza	38	0.0	99.98
Gaza	39	0.0	99.98
Gaza	40	0.0	99.98
Gaza	41	0.0	99.98
Gaza	42	0.0	99.98
Gaza	43	0.0	99.98
Gaza	44	0.0	99.98
Gaza	45	0.0	99.98
Gaza	46	0.0	99.98
Gaza	47	0.0	99.98
Gaza	48	0.0	99.98
Gaza	49	0.0	99.98
Gaza	50	0.0	99.98
Gaza	51	0.0	99.98
Gaza	52	0.0	99.98
Gaza	53	0.0	99.98
Gaza	54	0.0	99.98
Gaza	55	0.0	99.98
Gaza	56	0.0	99.98
Gaza	57	0.0	99.98
Gaza	58	0.0	99.98
Gaza	59	0.0	99.98
Gaza	60	0.0	99.98
Gaza	61	0.0	99.98
Gaza	62	0.0	99.98
Gaza	63	0.0	99.98
Gaza	64	0.0	99.98
Gaza	65	0.0	99.98
Gaza	66	0.0	99.98
Gaza	67	0.0	99.98
Gaza	68	0.0	99.98
Gaza	69	0.0	99.98
Gaza	70	0.0	99.98
Gaza	71	0.0	99.98
Gaza	72	0.0	99.98
Gaza	73	0.0	99.98
Gaza	74	0.0	99.98
Gaza	75	0.0	99.98
Gaza	76	0.0	99.98
Gaza	77	0.0	99.98
Gaza	78	0.0	99.98
Gaza	79	0.0	99.98
Gaza	80	0.0	99.98
Gaza	81	0.0	99.98
Gaza	82	0.0	99.98
Gaza	83	0.0	99.98
Gaza	84	0.0	99.98
Gaza	85	0.0	99.98
Gaza	86	0.0	99.98
Gaza	87	0.0	99.98
Gaza	88	0.0	99.98
Gaza	89	0.0	99.98
Gaza	90	0.0	99.98
Gaza	91	0.0	99.98
Gaza	92	0.0	99.98
Gaza	93	0.0	99.98
Gaza	94	0.0	99.98
Gaza	95	0.0	99.98
Gaza	96	0.0	99.98
Gaza	97	0.0	99.98
Gaza	98	0.0	99.98
Gaza	99	0.0	99.98
Gaza	100	0.0	99.98
Gaza	101	0.0	99.98
Gaza	102	0.0	99.97
Gaza	103	0.0	99.97
Gaza	104	0.0	99.97
Gaza	105	0.0	99.97
Gaza	106	0.0	99.97
Gaza	107	0.0	99.97
Gaza	108	0.0	99.97
Gaza	109	0.0	99.97
Gaza	110	0.0	99.97
Gaza	111	0.01	99.97
Gaza	112	0.0	99.97
Gaza	113	0.0	99.97
Gaza	114	0.0	99.97
Gaza	115	0.0	99.97
Gaza	116	0.0	99.97
Gaza	117	0.0	99.97
Gaza	118	0.0	99.97
Gaza	119	0.0	99.96
Gaza	120	0.0	99.96
Gaza	121	0.0	99.96
Gaza	122	0.0	99.96
Gaza	123	0.0	99.96
Gaza	124	0.0	99.96
Gaza	125	0.0	99.96
Gaza	126	0.0	99.96
Gaza	127	0.0	99.96
Gaza	128	0.0	99.96
Gaza	129	0.0	99.96
Gaza	130	0.0	99.96
Gaza	131	0.0	99.96
Gaza	132	0.0	99.96
Gaza	133	0.0	99.96
Gaza	134	0.0	99.96
Gaza	135	0.0	99.96
Gaza	136	0.0	99.96
Gaza	137	0.0	99.96
Gaza	138	0.0	99.96
Gaza	139	0.0	99.96
Gaza	140	0.0	99.96
Gaza	141	0.0	99.96
Gaza	142	0.0	99.96
Gaza	143	0.0	99.96
Gaza	144	0.0	99.96
Gaza	145	0.0	99.96
Gaza	146	0.0	99.96
Gaza	147	0.0	99.96
Gaza	148	0.0	99.96
Gaza	149	0.0	99.96
Gaza	150	0.0	99.96
Gaza	151	0.0	99.96
Gaza	152	0.0	99.96
Gaza	153	0.0	99.96
Gaza	154	0.0	99.96
Gaza	155	0.0	99.96
Gaza	156	0.0	99.96
Gaza	157	0.0	99.96
Gaza	158	0.0	99.96
Gaza	159	0.0	99.96
Gaza	160	0.0	99.96
Gaza	161	0.0	99.96
Gaza	162	0.0	99.96
Gaza	163	0.0	99.96
Gaza	164	0.0	99.96
Gaza	165	0.0	99.96
Gaza	166	0.0	99.96
Gaza	167	0.0	99.96
Gaza	168	0.0	99.96
Gaza	169	0.0	99.96
Gaza	170	0.0	99.96
Gaza	171	0.0	99.96
Gaza	172	0.0	99.96
Gaza	173	0.0	99.96
Gaza	174	0.0	99.96
Gaza	175	0.0	99.96
Gaza	176	0.0	99.96
Gaza	177	0.0	99.96
Gaza	178	0.0	99.96
Gaza	179	0.0	99.96
Gaza	180	0.0	99.96
Gaza	181	0.0	99.96
Gaza	182	0.0	99.96
Gaza	183	0.0	99.96
Gaza	184	0.0	99.96
Gaza	185	0.0	99.96
Gaza	186	0.0	99.96
Gaza	187	0.01	99.96
Gaza	188	0.0	99.95
Gaza	189	0.0	99.95
Gaza	190	0.0	99.95
Gaza	191	0.0	99.95
