class I
population/area	coverage	average_hit	pc90
Georgia Tibilisi Kurd	100.0%	12884.45	5124.41
average	100.0%	12884.45	5124.41
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Georgia Tibilisi Kurd	0	0.0	100.0
Georgia Tibilisi Kurd	1	0.0	100.0
Georgia Tibilisi Kurd	2	0.0	100.0
Georgia Tibilisi Kurd	3	0.0	100.0
Georgia Tibilisi Kurd	4	0.0	100.0
Georgia Tibilisi Kurd	5	0.0	100.0
Georgia Tibilisi Kurd	6	0.0	100.0
Georgia Tibilisi Kurd	7	0.0	100.0
Georgia Tibilisi Kurd	8	0.0	100.0
Georgia Tibilisi Kurd	9	0.0	100.0
Georgia Tibilisi Kurd	10	0.0	100.0
Georgia Tibilisi Kurd	11	0.0	100.0
Georgia Tibilisi Kurd	12	0.0	100.0
Georgia Tibilisi Kurd	13	0.0	100.0
Georgia Tibilisi Kurd	14	0.0	100.0
Georgia Tibilisi Kurd	15	0.0	100.0
Georgia Tibilisi Kurd	16	0.0	100.0
Georgia Tibilisi Kurd	17	0.0	100.0
Georgia Tibilisi Kurd	18	0.0	100.0
Georgia Tibilisi Kurd	19	0.0	100.0
Georgia Tibilisi Kurd	20	0.0	100.0
Georgia Tibilisi Kurd	21	0.0	100.0
Georgia Tibilisi Kurd	22	0.0	100.0
Georgia Tibilisi Kurd	23	0.0	100.0
Georgia Tibilisi Kurd	24	0.0	100.0
Georgia Tibilisi Kurd	25	0.0	100.0
Georgia Tibilisi Kurd	26	0.0	100.0
Georgia Tibilisi Kurd	27	0.0	99.99
Georgia Tibilisi Kurd	28	0.0	99.99
Georgia Tibilisi Kurd	29	0.0	99.99
Georgia Tibilisi Kurd	30	0.0	99.99
Georgia Tibilisi Kurd	31	0.0	99.99
Georgia Tibilisi Kurd	32	0.0	99.99
Georgia Tibilisi Kurd	33	0.0	99.99
Georgia Tibilisi Kurd	34	0.0	99.99
Georgia Tibilisi Kurd	35	0.0	99.99
Georgia Tibilisi Kurd	36	0.0	99.98
Georgia Tibilisi Kurd	37	0.0	99.98
Georgia Tibilisi Kurd	38	0.0	99.98
Georgia Tibilisi Kurd	39	0.0	99.98
Georgia Tibilisi Kurd	40	0.0	99.98
Georgia Tibilisi Kurd	41	0.0	99.98
Georgia Tibilisi Kurd	42	0.0	99.98
Georgia Tibilisi Kurd	43	0.0	99.98
Georgia Tibilisi Kurd	44	0.0	99.98
Georgia Tibilisi Kurd	45	0.0	99.98
Georgia Tibilisi Kurd	46	0.0	99.98
Georgia Tibilisi Kurd	47	0.0	99.98
Georgia Tibilisi Kurd	48	0.0	99.98
Georgia Tibilisi Kurd	49	0.0	99.98
Georgia Tibilisi Kurd	50	0.0	99.98
Georgia Tibilisi Kurd	51	0.0	99.98
Georgia Tibilisi Kurd	52	0.0	99.98
Georgia Tibilisi Kurd	53	0.0	99.98
Georgia Tibilisi Kurd	54	0.0	99.98
Georgia Tibilisi Kurd	55	0.0	99.97
Georgia Tibilisi Kurd	56	0.0	99.97
Georgia Tibilisi Kurd	57	0.0	99.97
Georgia Tibilisi Kurd	58	0.0	99.97
Georgia Tibilisi Kurd	59	0.0	99.97
Georgia Tibilisi Kurd	60	0.0	99.96
Georgia Tibilisi Kurd	61	0.0	99.96
Georgia Tibilisi Kurd	62	0.0	99.96
Georgia Tibilisi Kurd	63	0.0	99.96
Georgia Tibilisi Kurd	64	0.0	99.96
Georgia Tibilisi Kurd	65	0.0	99.96
Georgia Tibilisi Kurd	66	0.0	99.96
Georgia Tibilisi Kurd	67	0.0	99.96
Georgia Tibilisi Kurd	68	0.0	99.96
Georgia Tibilisi Kurd	69	0.0	99.96
Georgia Tibilisi Kurd	70	0.0	99.95
Georgia Tibilisi Kurd	71	0.0	99.95
Georgia Tibilisi Kurd	72	0.0	99.95
Georgia Tibilisi Kurd	73	0.0	99.95
Georgia Tibilisi Kurd	74	0.0	99.95
Georgia Tibilisi Kurd	75	0.0	99.95
Georgia Tibilisi Kurd	76	0.0	99.95
Georgia Tibilisi Kurd	77	0.0	99.95
Georgia Tibilisi Kurd	78	0.0	99.95
Georgia Tibilisi Kurd	79	0.0	99.95
Georgia Tibilisi Kurd	80	0.0	99.95
Georgia Tibilisi Kurd	81	0.0	99.95
Georgia Tibilisi Kurd	82	0.0	99.95
Georgia Tibilisi Kurd	83	0.0	99.95
Georgia Tibilisi Kurd	84	0.0	99.95
Georgia Tibilisi Kurd	85	0.0	99.95
Georgia Tibilisi Kurd	86	0.0	99.95
Georgia Tibilisi Kurd	87	0.0	99.95
Georgia Tibilisi Kurd	88	0.0	99.94
Georgia Tibilisi Kurd	89	0.0	99.94
Georgia Tibilisi Kurd	90	0.0	99.94
Georgia Tibilisi Kurd	91	0.0	99.94
Georgia Tibilisi Kurd	92	0.0	99.94
Georgia Tibilisi Kurd	93	0.0	99.94
Georgia Tibilisi Kurd	94	0.0	99.94
Georgia Tibilisi Kurd	95	0.0	99.94
Georgia Tibilisi Kurd	96	0.0	99.94
Georgia Tibilisi Kurd	97	0.0	99.94
Georgia Tibilisi Kurd	98	0.0	99.94
Georgia Tibilisi Kurd	99	0.0	99.94
Georgia Tibilisi Kurd	100	0.0	99.94
Georgia Tibilisi Kurd	101	0.0	99.94
Georgia Tibilisi Kurd	102	0.0	99.94
Georgia Tibilisi Kurd	103	0.0	99.94
Georgia Tibilisi Kurd	104	0.0	99.94
Georgia Tibilisi Kurd	105	0.0	99.94
Georgia Tibilisi Kurd	106	0.0	99.94
Georgia Tibilisi Kurd	107	0.0	99.94
Georgia Tibilisi Kurd	108	0.0	99.94
Georgia Tibilisi Kurd	109	0.0	99.94
Georgia Tibilisi Kurd	110	0.0	99.94
Georgia Tibilisi Kurd	111	0.0	99.94
Georgia Tibilisi Kurd	112	0.0	99.94
Georgia Tibilisi Kurd	113	0.0	99.94
Georgia Tibilisi Kurd	114	0.0	99.94
Georgia Tibilisi Kurd	115	0.0	99.94
Georgia Tibilisi Kurd	116	0.0	99.94
Georgia Tibilisi Kurd	117	0.0	99.94
Georgia Tibilisi Kurd	118	0.0	99.94
Georgia Tibilisi Kurd	119	0.0	99.94
Georgia Tibilisi Kurd	120	0.0	99.94
Georgia Tibilisi Kurd	121	0.0	99.94
Georgia Tibilisi Kurd	122	0.0	99.94
