class I
population/area	coverage	average_hit	pc90
Germany DKMS - China minority	100.0%	16313.53	6898.23
average	100.0%	16313.53	6898.23
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Germany DKMS - China minority	0	0.0	100.0
Germany DKMS - China minority	1	0.0	100.0
Germany DKMS - China minority	2	0.0	100.0
Germany DKMS - China minority	3	0.0	100.0
Germany DKMS - China minority	4	0.0	100.0
Germany DKMS - China minority	5	0.0	100.0
Germany DKMS - China minority	6	0.0	100.0
Germany DKMS - China minority	7	0.0	100.0
Germany DKMS - China minority	8	0.0	100.0
Germany DKMS - China minority	9	0.0	100.0
Germany DKMS - China minority	10	0.0	100.0
Germany DKMS - China minority	11	0.0	100.0
Germany DKMS - China minority	12	0.0	100.0
Germany DKMS - China minority	13	0.0	100.0
Germany DKMS - China minority	14	0.0	100.0
Germany DKMS - China minority	15	0.0	100.0
Germany DKMS - China minority	16	0.0	100.0
Germany DKMS - China minority	17	0.0	100.0
Germany DKMS - China minority	18	0.0	100.0
Germany DKMS - China minority	19	0.0	100.0
Germany DKMS - China minority	20	0.0	100.0
Germany DKMS - China minority	21	0.0	100.0
Germany DKMS - China minority	22	0.0	100.0
Germany DKMS - China minority	23	0.0	100.0
Germany DKMS - China minority	24	0.0	100.0
Germany DKMS - China minority	25	0.0	100.0
Germany DKMS - China minority	26	0.0	100.0
Germany DKMS - China minority	27	0.0	100.0
Germany DKMS - China minority	28	0.0	99.99
Germany DKMS - China minority	29	0.0	99.99
Germany DKMS - China minority	30	0.0	99.99
Germany DKMS - China minority	31	0.0	99.99
Germany DKMS - China minority	32	0.0	99.99
Germany DKMS - China minority	33	0.0	99.99
Germany DKMS - China minority	34	0.0	99.99
Germany DKMS - China minority	35	0.0	99.99
Germany DKMS - China minority	36	0.0	99.99
Germany DKMS - China minority	37	0.0	99.99
Germany DKMS - China minority	38	0.0	99.99
Germany DKMS - China minority	39	0.0	99.99
Germany DKMS - China minority	40	0.0	99.99
Germany DKMS - China minority	41	0.0	99.99
Germany DKMS - China minority	42	0.0	99.99
Germany DKMS - China minority	43	0.0	99.99
Germany DKMS - China minority	44	0.0	99.99
Germany DKMS - China minority	45	0.0	99.99
Germany DKMS - China minority	46	0.0	99.99
Germany DKMS - China minority	47	0.0	99.99
Germany DKMS - China minority	48	0.0	99.99
Germany DKMS - China minority	49	0.0	99.99
Germany DKMS - China minority	50	0.0	99.99
Germany DKMS - China minority	51	0.0	99.99
Germany DKMS - China minority	52	0.0	99.99
Germany DKMS - China minority	53	0.0	99.99
Germany DKMS - China minority	54	0.0	99.98
Germany DKMS - China minority	55	0.0	99.98
Germany DKMS - China minority	56	0.0	99.98
Germany DKMS - China minority	57	0.0	99.98
Germany DKMS - China minority	58	0.0	99.98
Germany DKMS - China minority	59	0.0	99.98
Germany DKMS - China minority	60	0.0	99.98
Germany DKMS - China minority	61	0.0	99.98
Germany DKMS - China minority	62	0.0	99.98
Germany DKMS - China minority	63	0.0	99.98
Germany DKMS - China minority	64	0.0	99.98
Germany DKMS - China minority	65	0.0	99.98
Germany DKMS - China minority	66	0.0	99.98
