class I
population/area	coverage	average_hit	pc90
Germany DKMS - United Kingdom minority	100.0%	18355.21	11044.08
average	100.0%	18355.21	11044.08
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Germany DKMS - United Kingdom minority	0	0.0	100.0
Germany DKMS - United Kingdom minority	1	0.0	100.0
Germany DKMS - United Kingdom minority	2	0.0	100.0
Germany DKMS - United Kingdom minority	3	0.0	100.0
Germany DKMS - United Kingdom minority	4	0.0	100.0
Germany DKMS - United Kingdom minority	5	0.0	100.0
Germany DKMS - United Kingdom minority	6	0.0	100.0
Germany DKMS - United Kingdom minority	7	0.0	100.0
Germany DKMS - United Kingdom minority	8	0.0	100.0
Germany DKMS - United Kingdom minority	9	0.0	100.0
Germany DKMS - United Kingdom minority	10	0.0	100.0
Germany DKMS - United Kingdom minority	11	0.0	100.0
Germany DKMS - United Kingdom minority	12	0.0	100.0
Germany DKMS - United Kingdom minority	13	0.0	100.0
Germany DKMS - United Kingdom minority	14	0.0	100.0
Germany DKMS - United Kingdom minority	15	0.0	100.0
Germany DKMS - United Kingdom minority	16	0.0	100.0
Germany DKMS - United Kingdom minority	17	0.0	100.0
Germany DKMS - United Kingdom minority	18	0.0	100.0
Germany DKMS - United Kingdom minority	19	0.0	100.0
Germany DKMS - United Kingdom minority	20	0.0	100.0
Germany DKMS - United Kingdom minority	21	0.0	100.0
Germany DKMS - United Kingdom minority	22	0.0	100.0
Germany DKMS - United Kingdom minority	23	0.0	100.0
Germany DKMS - United Kingdom minority	24	0.0	100.0
Germany DKMS - United Kingdom minority	25	0.0	100.0
Germany DKMS - United Kingdom minority	26	0.0	100.0
Germany DKMS - United Kingdom minority	27	0.0	100.0
Germany DKMS - United Kingdom minority	28	0.0	100.0
Germany DKMS - United Kingdom minority	29	0.0	100.0
Germany DKMS - United Kingdom minority	30	0.0	100.0
Germany DKMS - United Kingdom minority	31	0.0	100.0
Germany DKMS - United Kingdom minority	32	0.0	100.0
Germany DKMS - United Kingdom minority	33	0.0	100.0
Germany DKMS - United Kingdom minority	34	0.0	100.0
Germany DKMS - United Kingdom minority	35	0.0	100.0
Germany DKMS - United Kingdom minority	36	0.0	100.0
Germany DKMS - United Kingdom minority	37	0.0	100.0
Germany DKMS - United Kingdom minority	38	0.0	100.0
Germany DKMS - United Kingdom minority	39	0.0	100.0
Germany DKMS - United Kingdom minority	40	0.0	100.0
Germany DKMS - United Kingdom minority	41	0.0	100.0
Germany DKMS - United Kingdom minority	42	0.0	100.0
Germany DKMS - United Kingdom minority	43	0.0	100.0
Germany DKMS - United Kingdom minority	44	0.0	100.0
Germany DKMS - United Kingdom minority	45	0.0	100.0
Germany DKMS - United Kingdom minority	46	0.0	100.0
Germany DKMS - United Kingdom minority	47	0.0	100.0
Germany DKMS - United Kingdom minority	48	0.0	100.0
Germany DKMS - United Kingdom minority	49	0.0	100.0
Germany DKMS - United Kingdom minority	50	0.0	100.0
Germany DKMS - United Kingdom minority	51	0.0	100.0
Germany DKMS - United Kingdom minority	52	0.0	100.0
Germany DKMS - United Kingdom minority	53	0.0	100.0
Germany DKMS - United Kingdom minority	54	0.0	100.0
Germany DKMS - United Kingdom minority	55	0.0	100.0
Germany DKMS - United Kingdom minority	56	0.0	100.0
Germany DKMS - United Kingdom minority	57	0.0	100.0
Germany DKMS - United Kingdom minority	58	0.0	100.0
Germany DKMS - United Kingdom minority	59	0.0	100.0
Germany DKMS - United Kingdom minority	60	0.0	100.0
Germany DKMS - United Kingdom minority	61	0.0	100.0
