class I
population/area	coverage	average_hit	pc90
Guatemala Kaqchikel NA-DHS_8 (G)	99.96%	13010.55	4924.66
average	99.96%	13010.55	4924.66
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Guatemala Kaqchikel NA-DHS_8 (G)	0	0.04	100.0
Guatemala Kaqchikel NA-DHS_8 (G)	1	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	2	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	3	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	4	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	5	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	6	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	7	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	8	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	9	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	10	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	11	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	12	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	13	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	14	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	15	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	16	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	17	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	18	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	19	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	20	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	21	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	22	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	23	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	24	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	25	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	26	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	27	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	28	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	29	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	30	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	31	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	32	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	33	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	34	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	35	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	36	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	37	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	38	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	39	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	40	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	41	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	42	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	43	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	44	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	45	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	46	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	47	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	48	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	49	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	50	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	51	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	52	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	53	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	54	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	55	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	56	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	57	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	58	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	59	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	60	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	61	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	62	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	63	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	64	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	65	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	66	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	67	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	68	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	69	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	70	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	71	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	72	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	73	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	74	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	75	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	76	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	77	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	78	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	79	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	80	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	81	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	82	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	83	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	84	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	85	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	86	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	87	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	88	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	89	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	90	0.0	99.96
Guatemala Kaqchikel NA-DHS_8 (G)	91	0.0	99.96
