class I
population/area	coverage	average_hit	pc90
India Karnataka Kannada Speaking	99.97%	10865.58	4983.37
average	99.97%	10865.58	4983.37
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
India Karnataka Kannada Speaking	0	0.03	100.0
India Karnataka Kannada Speaking	1	0.0	99.97
India Karnataka Kannada Speaking	2	0.0	99.97
India Karnataka Kannada Speaking	3	0.0	99.97
India Karnataka Kannada Speaking	4	0.0	99.97
India Karnataka Kannada Speaking	5	0.0	99.97
India Karnataka Kannada Speaking	6	0.0	99.97
India Karnataka Kannada Speaking	7	0.0	99.97
India Karnataka Kannada Speaking	8	0.0	99.97
India Karnataka Kannada Speaking	9	0.0	99.97
India Karnataka Kannada Speaking	10	0.0	99.97
India Karnataka Kannada Speaking	11	0.0	99.97
India Karnataka Kannada Speaking	12	0.0	99.97
India Karnataka Kannada Speaking	13	0.0	99.97
India Karnataka Kannada Speaking	14	0.0	99.97
India Karnataka Kannada Speaking	15	0.0	99.97
India Karnataka Kannada Speaking	16	0.0	99.97
India Karnataka Kannada Speaking	17	0.0	99.97
India Karnataka Kannada Speaking	18	0.0	99.97
India Karnataka Kannada Speaking	19	0.0	99.97
India Karnataka Kannada Speaking	20	0.0	99.97
India Karnataka Kannada Speaking	21	0.0	99.97
India Karnataka Kannada Speaking	22	0.0	99.97
India Karnataka Kannada Speaking	23	0.0	99.97
India Karnataka Kannada Speaking	24	0.0	99.97
India Karnataka Kannada Speaking	25	0.0	99.97
India Karnataka Kannada Speaking	26	0.0	99.97
India Karnataka Kannada Speaking	27	0.0	99.97
India Karnataka Kannada Speaking	28	0.0	99.97
India Karnataka Kannada Speaking	29	0.0	99.97
India Karnataka Kannada Speaking	30	0.0	99.97
India Karnataka Kannada Speaking	31	0.0	99.97
India Karnataka Kannada Speaking	32	0.0	99.97
India Karnataka Kannada Speaking	33	0.0	99.97
India Karnataka Kannada Speaking	34	0.0	99.97
India Karnataka Kannada Speaking	35	0.0	99.97
India Karnataka Kannada Speaking	36	0.0	99.97
India Karnataka Kannada Speaking	37	0.0	99.97
India Karnataka Kannada Speaking	38	0.0	99.97
India Karnataka Kannada Speaking	39	0.0	99.97
India Karnataka Kannada Speaking	40	0.0	99.97
India Karnataka Kannada Speaking	41	0.0	99.97
