class I
population/area	coverage	average_hit	pc90
India Kerala Malayalam speaking	100.0%	14607.11	6333.55
average	100.0%	14607.11	6333.55
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
India Kerala Malayalam speaking	0	0.0	100.0
India Kerala Malayalam speaking	1	0.0	100.0
India Kerala Malayalam speaking	2	0.0	100.0
India Kerala Malayalam speaking	3	0.0	100.0
India Kerala Malayalam speaking	4	0.0	100.0
India Kerala Malayalam speaking	5	0.0	100.0
India Kerala Malayalam speaking	6	0.0	100.0
India Kerala Malayalam speaking	7	0.0	100.0
India Kerala Malayalam speaking	8	0.0	100.0
India Kerala Malayalam speaking	9	0.0	100.0
India Kerala Malayalam speaking	10	0.0	100.0
India Kerala Malayalam speaking	11	0.0	100.0
India Kerala Malayalam speaking	12	0.0	100.0
India Kerala Malayalam speaking	13	0.0	100.0
India Kerala Malayalam speaking	14	0.0	100.0
India Kerala Malayalam speaking	15	0.0	100.0
India Kerala Malayalam speaking	16	0.0	100.0
India Kerala Malayalam speaking	17	0.0	100.0
India Kerala Malayalam speaking	18	0.01	100.0
India Kerala Malayalam speaking	19	0.0	99.99
India Kerala Malayalam speaking	20	0.0	99.99
India Kerala Malayalam speaking	21	0.01	99.99
India Kerala Malayalam speaking	22	0.0	99.98
India Kerala Malayalam speaking	23	0.0	99.98
India Kerala Malayalam speaking	24	0.0	99.98
India Kerala Malayalam speaking	25	0.0	99.98
India Kerala Malayalam speaking	26	0.0	99.98
India Kerala Malayalam speaking	27	0.01	99.98
India Kerala Malayalam speaking	28	0.0	99.97
India Kerala Malayalam speaking	29	0.0	99.97
India Kerala Malayalam speaking	30	0.0	99.97
India Kerala Malayalam speaking	31	0.0	99.97
India Kerala Malayalam speaking	32	0.0	99.97
India Kerala Malayalam speaking	33	0.0	99.97
India Kerala Malayalam speaking	34	0.0	99.97
India Kerala Malayalam speaking	35	0.0	99.97
India Kerala Malayalam speaking	36	0.0	99.97
India Kerala Malayalam speaking	37	0.0	99.97
India Kerala Malayalam speaking	38	0.0	99.97
India Kerala Malayalam speaking	39	0.0	99.97
India Kerala Malayalam speaking	40	0.0	99.97
India Kerala Malayalam speaking	41	0.0	99.97
India Kerala Malayalam speaking	42	0.0	99.97
India Kerala Malayalam speaking	43	0.0	99.97
India Kerala Malayalam speaking	44	0.0	99.97
India Kerala Malayalam speaking	45	0.0	99.97
India Kerala Malayalam speaking	46	0.0	99.97
India Kerala Malayalam speaking	47	0.0	99.96
India Kerala Malayalam speaking	48	0.0	99.96
India Kerala Malayalam speaking	49	0.0	99.96
India Kerala Malayalam speaking	50	0.0	99.96
India Kerala Malayalam speaking	51	0.0	99.96
India Kerala Malayalam speaking	52	0.0	99.96
India Kerala Malayalam speaking	53	0.0	99.96
India Kerala Malayalam speaking	54	0.0	99.96
India Kerala Malayalam speaking	55	0.0	99.96
India Kerala Malayalam speaking	56	0.0	99.96
India Kerala Malayalam speaking	57	0.0	99.96
India Kerala Malayalam speaking	58	0.0	99.96
India Kerala Malayalam speaking	59	0.0	99.95
