class I
population/area	coverage	average_hit	pc90
India Tamil Nadu Nadar	100.0%	15674.87	9134.43
average	100.0%	15674.87	9134.43
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
India Tamil Nadu Nadar	0	0.0	100.0
India Tamil Nadu Nadar	1	0.0	100.0
India Tamil Nadu Nadar	2	0.0	100.0
India Tamil Nadu Nadar	3	0.0	100.0
India Tamil Nadu Nadar	4	0.0	100.0
India Tamil Nadu Nadar	5	0.0	100.0
India Tamil Nadu Nadar	6	0.0	100.0
India Tamil Nadu Nadar	7	0.0	100.0
India Tamil Nadu Nadar	8	0.0	100.0
India Tamil Nadu Nadar	9	0.0	100.0
India Tamil Nadu Nadar	10	0.0	100.0
India Tamil Nadu Nadar	11	0.0	100.0
India Tamil Nadu Nadar	12	0.0	100.0
India Tamil Nadu Nadar	13	0.0	100.0
India Tamil Nadu Nadar	14	0.0	100.0
India Tamil Nadu Nadar	15	0.0	100.0
India Tamil Nadu Nadar	16	0.0	100.0
India Tamil Nadu Nadar	17	0.0	100.0
India Tamil Nadu Nadar	18	0.0	100.0
India Tamil Nadu Nadar	19	0.0	100.0
India Tamil Nadu Nadar	20	0.0	100.0
India Tamil Nadu Nadar	21	0.0	100.0
India Tamil Nadu Nadar	22	0.0	100.0
India Tamil Nadu Nadar	23	0.0	100.0
India Tamil Nadu Nadar	24	0.0	100.0
India Tamil Nadu Nadar	25	0.0	100.0
India Tamil Nadu Nadar	26	0.0	100.0
India Tamil Nadu Nadar	27	0.0	100.0
India Tamil Nadu Nadar	28	0.0	100.0
India Tamil Nadu Nadar	29	0.0	100.0
India Tamil Nadu Nadar	30	0.0	100.0
India Tamil Nadu Nadar	31	0.0	100.0
India Tamil Nadu Nadar	32	0.0	100.0
India Tamil Nadu Nadar	33	0.0	100.0
India Tamil Nadu Nadar	34	0.0	100.0
India Tamil Nadu Nadar	35	0.0	100.0
India Tamil Nadu Nadar	36	0.0	100.0
India Tamil Nadu Nadar	37	0.0	100.0
India Tamil Nadu Nadar	38	0.0	100.0
India Tamil Nadu Nadar	39	0.0	100.0
India Tamil Nadu Nadar	40	0.0	100.0
India Tamil Nadu Nadar	41	0.0	100.0
India Tamil Nadu Nadar	42	0.0	100.0
India Tamil Nadu Nadar	43	0.0	100.0
India Tamil Nadu Nadar	44	0.0	100.0
India Tamil Nadu Nadar	45	0.0	100.0
India Tamil Nadu Nadar	46	0.0	100.0
India Tamil Nadu Nadar	47	0.0	100.0
India Tamil Nadu Nadar	48	0.0	100.0
India Tamil Nadu Nadar	49	0.0	100.0
India Tamil Nadu Nadar	50	0.0	100.0
India Tamil Nadu Nadar	51	0.0	100.0
India Tamil Nadu Nadar	52	0.0	100.0
India Tamil Nadu Nadar	53	0.0	100.0
India Tamil Nadu Nadar	54	0.0	100.0
India Tamil Nadu Nadar	55	0.0	100.0
India Tamil Nadu Nadar	56	0.0	100.0
India Tamil Nadu Nadar	57	0.0	100.0
India Tamil Nadu Nadar	58	0.0	100.0
India Tamil Nadu Nadar	59	0.0	100.0
India Tamil Nadu Nadar	60	0.0	100.0
India Tamil Nadu Nadar	61	0.0	100.0
India Tamil Nadu Nadar	62	0.0	100.0
India Tamil Nadu Nadar	63	0.0	100.0
India Tamil Nadu Nadar	64	0.0	100.0
India Tamil Nadu Nadar	65	0.0	100.0
India Tamil Nadu Nadar	66	0.0	100.0
India Tamil Nadu Nadar	67	0.0	100.0
India Tamil Nadu Nadar	68	0.0	100.0
India Tamil Nadu Nadar	69	0.0	100.0
India Tamil Nadu Nadar	70	0.0	100.0
India Tamil Nadu Nadar	71	0.0	100.0
