class I
population/area	coverage	average_hit	pc90
India Tamil Nadu	99.99%	11972.92	5821.88
average	99.99%	11972.92	5821.88
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
India Tamil Nadu	0	0.01	100.0
India Tamil Nadu	1	0.0	99.99
India Tamil Nadu	2	0.0	99.99
India Tamil Nadu	3	0.0	99.99
India Tamil Nadu	4	0.0	99.99
India Tamil Nadu	5	0.0	99.99
India Tamil Nadu	6	0.0	99.99
India Tamil Nadu	7	0.0	99.99
India Tamil Nadu	8	0.0	99.99
India Tamil Nadu	9	0.0	99.99
India Tamil Nadu	10	0.0	99.99
India Tamil Nadu	11	0.0	99.99
India Tamil Nadu	12	0.0	99.99
India Tamil Nadu	13	0.0	99.99
India Tamil Nadu	14	0.0	99.99
India Tamil Nadu	15	0.0	99.99
India Tamil Nadu	16	0.0	99.99
India Tamil Nadu	17	0.0	99.99
India Tamil Nadu	18	0.0	99.99
India Tamil Nadu	19	0.0	99.99
India Tamil Nadu	20	0.0	99.99
India Tamil Nadu	21	0.0	99.99
India Tamil Nadu	22	0.0	99.99
India Tamil Nadu	23	0.0	99.99
India Tamil Nadu	24	0.0	99.99
India Tamil Nadu	25	0.0	99.99
India Tamil Nadu	26	0.0	99.99
India Tamil Nadu	27	0.0	99.99
India Tamil Nadu	28	0.0	99.99
India Tamil Nadu	29	0.0	99.99
India Tamil Nadu	30	0.0	99.99
India Tamil Nadu	31	0.0	99.99
India Tamil Nadu	32	0.0	99.99
India Tamil Nadu	33	0.0	99.99
India Tamil Nadu	34	0.0	99.99
India Tamil Nadu	35	0.0	99.99
India Tamil Nadu	36	0.0	99.99
India Tamil Nadu	37	0.0	99.99
India Tamil Nadu	38	0.0	99.99
India Tamil Nadu	39	0.0	99.99
India Tamil Nadu	40	0.0	99.99
India Tamil Nadu	41	0.0	99.99
India Tamil Nadu	42	0.0	99.99
India Tamil Nadu	43	0.0	99.99
India Tamil Nadu	44	0.0	99.99
India Tamil Nadu	45	0.0	99.99
India Tamil Nadu	46	0.0	99.99
India Tamil Nadu	47	0.0	99.99
India Tamil Nadu	48	0.0	99.99
India Tamil Nadu	49	0.0	99.99
India Tamil Nadu	50	0.0	99.99
India Tamil Nadu	51	0.0	99.99
India Tamil Nadu	52	0.0	99.99
India Tamil Nadu	53	0.0	99.99
India Tamil Nadu	54	0.0	99.99
India Tamil Nadu	55	0.0	99.99
India Tamil Nadu	56	0.0	99.99
India Tamil Nadu	57	0.0	99.99
India Tamil Nadu	58	0.0	99.99
India Tamil Nadu	59	0.0	99.99
India Tamil Nadu	60	0.0	99.99
India Tamil Nadu	61	0.0	99.99
India Tamil Nadu	62	0.0	99.99
India Tamil Nadu	63	0.0	99.99
India Tamil Nadu	64	0.0	99.99
India Tamil Nadu	65	0.0	99.99
India Tamil Nadu	66	0.0	99.99
India Tamil Nadu	67	0.0	99.99
India Tamil Nadu	68	0.0	99.99
India Tamil Nadu	69	0.0	99.99
India Tamil Nadu	70	0.0	99.99
India Tamil Nadu	71	0.0	99.99
India Tamil Nadu	72	0.0	99.99
India Tamil Nadu	73	0.0	99.99
India Tamil Nadu	74	0.0	99.99
India Tamil Nadu	75	0.0	99.99
India Tamil Nadu	76	0.0	99.99
India Tamil Nadu	77	0.0	99.99
India Tamil Nadu	78	0.0	99.99
India Tamil Nadu	79	0.0	99.99
India Tamil Nadu	80	0.0	99.99
India Tamil Nadu	81	0.0	99.99
India Tamil Nadu	82	0.0	99.99
India Tamil Nadu	83	0.0	99.99
India Tamil Nadu	84	0.0	99.99
India Tamil Nadu	85	0.0	99.99
India Tamil Nadu	86	0.0	99.99
India Tamil Nadu	87	0.0	99.99
India Tamil Nadu	88	0.0	99.99
India Tamil Nadu	89	0.0	99.99
India Tamil Nadu	90	0.0	99.99
India Tamil Nadu	91	0.0	99.99
India Tamil Nadu	92	0.0	99.99
India Tamil Nadu	93	0.0	99.99
India Tamil Nadu	94	0.0	99.99
India Tamil Nadu	95	0.0	99.99
India Tamil Nadu	96	0.0	99.99
India Tamil Nadu	97	0.0	99.99
India Tamil Nadu	98	0.0	99.99
India Tamil Nadu	99	0.0	99.99
India Tamil Nadu	100	0.0	99.99
India Tamil Nadu	101	0.0	99.99
India Tamil Nadu	102	0.0	99.99
India Tamil Nadu	103	0.0	99.99
India Tamil Nadu	104	0.0	99.99
India Tamil Nadu	105	0.0	99.99
India Tamil Nadu	106	0.0	99.99
India Tamil Nadu	107	0.0	99.99
India Tamil Nadu	108	0.0	99.99
India Tamil Nadu	109	0.0	99.99
India Tamil Nadu	110	0.0	99.99
India Tamil Nadu	111	0.0	99.99
India Tamil Nadu	112	0.0	99.99
India Tamil Nadu	113	0.0	99.99
India Tamil Nadu	114	0.0	99.99
India Tamil Nadu	115	0.0	99.99
