class I
population/area	coverage	average_hit	pc90
Iran Baloch	99.97%	12939.12	4849.43
average	99.97%	12939.12	4849.43
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Iran Baloch	0	0.03	100.0
Iran Baloch	1	0.0	99.97
Iran Baloch	2	0.0	99.97
Iran Baloch	3	0.0	99.97
Iran Baloch	4	0.0	99.97
Iran Baloch	5	0.0	99.97
Iran Baloch	6	0.0	99.97
Iran Baloch	7	0.0	99.97
Iran Baloch	8	0.0	99.97
Iran Baloch	9	0.0	99.97
Iran Baloch	10	0.0	99.97
Iran Baloch	11	0.0	99.97
Iran Baloch	12	0.0	99.97
Iran Baloch	13	0.0	99.97
Iran Baloch	14	0.0	99.97
Iran Baloch	15	0.0	99.97
Iran Baloch	16	0.0	99.97
Iran Baloch	17	0.0	99.97
Iran Baloch	18	0.0	99.97
Iran Baloch	19	0.0	99.97
Iran Baloch	20	0.0	99.97
Iran Baloch	21	0.0	99.97
Iran Baloch	22	0.0	99.97
Iran Baloch	23	0.0	99.97
Iran Baloch	24	0.0	99.97
Iran Baloch	25	0.0	99.97
Iran Baloch	26	0.0	99.97
Iran Baloch	27	0.0	99.97
Iran Baloch	28	0.0	99.97
Iran Baloch	29	0.0	99.97
Iran Baloch	30	0.0	99.97
Iran Baloch	31	0.0	99.97
Iran Baloch	32	0.0	99.97
Iran Baloch	33	0.0	99.97
Iran Baloch	34	0.0	99.97
Iran Baloch	35	0.0	99.97
Iran Baloch	36	0.0	99.97
Iran Baloch	37	0.0	99.97
Iran Baloch	38	0.0	99.97
Iran Baloch	39	0.0	99.97
Iran Baloch	40	0.0	99.97
Iran Baloch	41	0.0	99.97
Iran Baloch	42	0.0	99.97
Iran Baloch	43	0.0	99.97
Iran Baloch	44	0.0	99.97
Iran Baloch	45	0.0	99.97
Iran Baloch	46	0.0	99.97
Iran Baloch	47	0.0	99.97
Iran Baloch	48	0.0	99.97
Iran Baloch	49	0.0	99.97
Iran Baloch	50	0.0	99.97
Iran Baloch	51	0.0	99.97
Iran Baloch	52	0.0	99.97
Iran Baloch	53	0.0	99.97
Iran Baloch	54	0.0	99.97
Iran Baloch	55	0.0	99.97
Iran Baloch	56	0.0	99.97
Iran Baloch	57	0.0	99.97
Iran Baloch	58	0.0	99.97
Iran Baloch	59	0.0	99.97
Iran Baloch	60	0.0	99.97
Iran Baloch	61	0.0	99.97
Iran Baloch	62	0.0	99.97
Iran Baloch	63	0.0	99.97
Iran Baloch	64	0.0	99.97
Iran Baloch	65	0.0	99.97
Iran Baloch	66	0.0	99.97
