class I
population/area	coverage	average_hit	pc90
Ireland South	100.0%	23263.35	11978.06
average	100.0%	23263.35	11978.06
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Ireland South	0	0.0	100.0
Ireland South	1	0.0	100.0
Ireland South	2	0.0	100.0
Ireland South	3	0.0	100.0
Ireland South	4	0.0	100.0
Ireland South	5	0.0	100.0
Ireland South	6	0.0	100.0
Ireland South	7	0.0	100.0
Ireland South	8	0.0	100.0
Ireland South	9	0.0	100.0
Ireland South	10	0.0	100.0
Ireland South	11	0.0	100.0
Ireland South	12	0.0	100.0
Ireland South	13	0.0	100.0
Ireland South	14	0.0	100.0
Ireland South	15	0.0	100.0
Ireland South	16	0.0	100.0
Ireland South	17	0.0	100.0
Ireland South	18	0.0	100.0
Ireland South	19	0.0	100.0
Ireland South	20	0.0	100.0
Ireland South	21	0.0	100.0
Ireland South	22	0.0	100.0
Ireland South	23	0.0	100.0
Ireland South	24	0.0	100.0
Ireland South	25	0.0	100.0
Ireland South	26	0.0	100.0
Ireland South	27	0.0	100.0
Ireland South	28	0.0	100.0
Ireland South	29	0.0	100.0
Ireland South	30	0.0	100.0
Ireland South	31	0.0	100.0
Ireland South	32	0.0	100.0
Ireland South	33	0.0	100.0
Ireland South	34	0.0	100.0
Ireland South	35	0.0	100.0
Ireland South	36	0.0	100.0
Ireland South	37	0.0	100.0
Ireland South	38	0.0	100.0
Ireland South	39	0.0	100.0
Ireland South	40	0.0	100.0
Ireland South	41	0.0	100.0
Ireland South	42	0.0	100.0
Ireland South	43	0.0	100.0
Ireland South	44	0.0	100.0
Ireland South	45	0.0	100.0
Ireland South	46	0.0	100.0
Ireland South	47	0.0	100.0
Ireland South	48	0.0	100.0
Ireland South	49	0.0	100.0
Ireland South	50	0.0	100.0
Ireland South	51	0.0	100.0
Ireland South	52	0.0	100.0
Ireland South	53	0.0	100.0
Ireland South	54	0.0	100.0
Ireland South	55	0.0	100.0
Ireland South	56	0.0	100.0
Ireland South	57	0.0	100.0
Ireland South	58	0.0	100.0
Ireland South	59	0.0	100.0
Ireland South	60	0.0	100.0
Ireland South	61	0.0	100.0
Ireland South	62	0.0	100.0
Ireland South	63	0.0	100.0
Ireland South	64	0.0	100.0
Ireland South	65	0.0	100.0
Ireland South	66	0.0	100.0
Ireland South	67	0.0	100.0
Ireland South	68	0.0	100.0
Ireland South	69	0.0	100.0
Ireland South	70	0.0	100.0
Ireland South	71	0.0	100.0
Ireland South	72	0.0	100.0
Ireland South	73	0.0	100.0
Ireland South	74	0.0	100.0
Ireland South	75	0.0	100.0
Ireland South	76	0.0	100.0
Ireland South	77	0.0	100.0
Ireland South	78	0.0	100.0
Ireland South	79	0.0	100.0
Ireland South	80	0.0	100.0
Ireland South	81	0.0	100.0
Ireland South	82	0.0	100.0
Ireland South	83	0.0	100.0
Ireland South	84	0.0	100.0
Ireland South	85	0.0	100.0
Ireland South	86	0.0	100.0
Ireland South	87	0.0	100.0
Ireland South	88	0.0	100.0
Ireland South	89	0.0	100.0
Ireland South	90	0.0	100.0
Ireland South	91	0.0	100.0
