class I
population/area	coverage	average_hit	pc90
Israel Arab Druze	99.99%	15204.18	5009.38
average	99.99%	15204.18	5009.38
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Israel Arab Druze	0	0.01	100.0
Israel Arab Druze	1	0.0	99.99
Israel Arab Druze	2	0.0	99.99
Israel Arab Druze	3	0.0	99.99
Israel Arab Druze	4	0.0	99.99
Israel Arab Druze	5	0.01	99.99
Israel Arab Druze	6	0.0	99.98
Israel Arab Druze	7	0.0	99.98
Israel Arab Druze	8	0.0	99.98
Israel Arab Druze	9	0.0	99.97
Israel Arab Druze	10	0.0	99.97
Israel Arab Druze	11	0.0	99.97
Israel Arab Druze	12	0.0	99.97
Israel Arab Druze	13	0.0	99.97
Israel Arab Druze	14	0.0	99.97
Israel Arab Druze	15	0.0	99.97
Israel Arab Druze	16	0.0	99.97
Israel Arab Druze	17	0.0	99.97
Israel Arab Druze	18	0.0	99.97
Israel Arab Druze	19	0.0	99.97
Israel Arab Druze	20	0.0	99.97
Israel Arab Druze	21	0.0	99.97
Israel Arab Druze	22	0.0	99.97
Israel Arab Druze	23	0.0	99.97
Israel Arab Druze	24	0.0	99.97
Israel Arab Druze	25	0.0	99.97
Israel Arab Druze	26	0.0	99.97
Israel Arab Druze	27	0.0	99.96
Israel Arab Druze	28	0.0	99.96
Israel Arab Druze	29	0.0	99.96
Israel Arab Druze	30	0.0	99.96
Israel Arab Druze	31	0.0	99.96
Israel Arab Druze	32	0.0	99.96
Israel Arab Druze	33	0.0	99.96
Israel Arab Druze	34	0.0	99.95
Israel Arab Druze	35	0.0	99.95
Israel Arab Druze	36	0.0	99.95
Israel Arab Druze	37	0.0	99.95
Israel Arab Druze	38	0.0	99.95
Israel Arab Druze	39	0.0	99.95
Israel Arab Druze	40	0.0	99.95
Israel Arab Druze	41	0.0	99.95
Israel Arab Druze	42	0.0	99.95
Israel Arab Druze	43	0.0	99.95
Israel Arab Druze	44	0.0	99.95
Israel Arab Druze	45	0.0	99.95
Israel Arab Druze	46	0.0	99.95
Israel Arab Druze	47	0.0	99.95
Israel Arab Druze	48	0.0	99.95
Israel Arab Druze	49	0.0	99.95
Israel Arab Druze	50	0.0	99.95
Israel Arab Druze	51	0.0	99.95
Israel Arab Druze	52	0.0	99.95
Israel Arab Druze	53	0.0	99.95
Israel Arab Druze	54	0.0	99.95
Israel Arab Druze	55	0.0	99.95
Israel Arab Druze	56	0.0	99.95
Israel Arab Druze	57	0.0	99.95
Israel Arab Druze	58	0.0	99.95
Israel Arab Druze	59	0.0	99.95
Israel Arab Druze	60	0.0	99.95
Israel Arab Druze	61	0.0	99.95
Israel Arab Druze	62	0.0	99.95
Israel Arab Druze	63	0.0	99.95
Israel Arab Druze	64	0.0	99.95
Israel Arab Druze	65	0.0	99.95
Israel Arab Druze	66	0.0	99.95
Israel Arab Druze	67	0.0	99.95
Israel Arab Druze	68	0.0	99.95
Israel Arab Druze	69	0.0	99.95
Israel Arab Druze	70	0.0	99.95
Israel Arab Druze	71	0.0	99.95
Israel Arab Druze	72	0.0	99.95
Israel Arab Druze	73	0.0	99.95
Israel Arab Druze	74	0.0	99.95
Israel Arab Druze	75	0.0	99.95
Israel Arab Druze	76	0.0	99.95
Israel Arab Druze	77	0.0	99.95
Israel Arab Druze	78	0.0	99.95
Israel Arab Druze	79	0.0	99.95
Israel Arab Druze	80	0.0	99.95
Israel Arab Druze	81	0.0	99.95
Israel Arab Druze	82	0.0	99.95
Israel Arab Druze	83	0.0	99.95
Israel Arab Druze	84	0.0	99.95
Israel Arab Druze	85	0.0	99.95
Israel Arab Druze	86	0.0	99.95
Israel Arab Druze	87	0.0	99.95
Israel Arab Druze	88	0.0	99.95
Israel Arab Druze	89	0.0	99.95
Israel Arab Druze	90	0.0	99.95
Israel Arab Druze	91	0.0	99.95
Israel Arab Druze	92	0.0	99.95
Israel Arab Druze	93	0.0	99.95
Israel Arab Druze	94	0.0	99.95
Israel Arab Druze	95	0.0	99.95
Israel Arab Druze	96	0.0	99.95
Israel Arab Druze	97	0.0	99.95
Israel Arab Druze	98	0.0	99.95
Israel Arab Druze	99	0.0	99.95
Israel Arab Druze	100	0.0	99.95
Israel Arab Druze	101	0.0	99.95
Israel Arab Druze	102	0.0	99.95
