class I
population/area	coverage	average_hit	pc90
Israel Ashkenazi and Non Ashkenazi Jews	99.82%	10469.56	3858.37
average	99.82%	10469.56	3858.37
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Israel Ashkenazi and Non Ashkenazi Jews	0	0.18	100.0
Israel Ashkenazi and Non Ashkenazi Jews	1	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	2	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	3	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	4	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	5	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	6	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	7	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	8	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	9	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	10	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	11	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	12	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	13	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	14	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	15	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	16	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	17	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	18	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	19	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	20	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	21	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	22	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	23	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	24	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	25	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	26	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	27	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	28	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	29	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	30	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	31	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	32	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	33	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	34	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	35	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	36	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	37	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	38	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	39	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	40	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	41	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	42	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	43	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	44	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	45	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	46	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	47	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	48	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	49	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	50	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	51	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	52	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	53	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	54	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	55	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	56	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	57	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	58	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	59	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	60	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	61	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	62	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	63	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	64	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	65	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	66	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	67	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	68	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	69	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	70	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	71	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	72	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	73	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	74	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	75	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	76	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	77	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	78	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	79	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	80	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	81	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	82	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	83	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	84	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	85	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	86	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	87	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	88	0.0	99.82
Israel Ashkenazi and Non Ashkenazi Jews	89	0.0	99.82
