class I
population/area	coverage	average_hit	pc90
Japan pop 16	99.99%	12737.84	5883.38
average	99.99%	12737.84	5883.38
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Japan pop 16	0	0.01	100.0
Japan pop 16	1	0.0	99.99
Japan pop 16	2	0.0	99.99
Japan pop 16	3	0.0	99.99
Japan pop 16	4	0.0	99.99
Japan pop 16	5	0.0	99.99
Japan pop 16	6	0.0	99.99
Japan pop 16	7	0.0	99.99
Japan pop 16	8	0.0	99.99
Japan pop 16	9	0.0	99.99
Japan pop 16	10	0.0	99.99
Japan pop 16	11	0.0	99.99
Japan pop 16	12	0.0	99.99
Japan pop 16	13	0.0	99.99
Japan pop 16	14	0.0	99.99
Japan pop 16	15	0.0	99.99
Japan pop 16	16	0.0	99.99
Japan pop 16	17	0.0	99.99
Japan pop 16	18	0.0	99.99
Japan pop 16	19	0.0	99.99
Japan pop 16	20	0.0	99.99
Japan pop 16	21	0.0	99.99
Japan pop 16	22	0.0	99.99
Japan pop 16	23	0.0	99.99
Japan pop 16	24	0.0	99.99
Japan pop 16	25	0.0	99.99
Japan pop 16	26	0.0	99.99
Japan pop 16	27	0.0	99.99
Japan pop 16	28	0.0	99.99
Japan pop 16	29	0.0	99.99
Japan pop 16	30	0.0	99.99
Japan pop 16	31	0.0	99.99
Japan pop 16	32	0.0	99.99
Japan pop 16	33	0.0	99.99
Japan pop 16	34	0.0	99.99
Japan pop 16	35	0.0	99.99
Japan pop 16	36	0.0	99.99
Japan pop 16	37	0.0	99.99
Japan pop 16	38	0.0	99.99
Japan pop 16	39	0.0	99.99
Japan pop 16	40	0.0	99.99
Japan pop 16	41	0.0	99.99
Japan pop 16	42	0.0	99.99
Japan pop 16	43	0.0	99.99
Japan pop 16	44	0.0	99.99
Japan pop 16	45	0.0	99.99
Japan pop 16	46	0.0	99.99
Japan pop 16	47	0.0	99.99
Japan pop 16	48	0.0	99.99
Japan pop 16	49	0.0	99.99
Japan pop 16	50	0.0	99.99
Japan pop 16	51	0.0	99.99
Japan pop 16	52	0.0	99.99
Japan pop 16	53	0.0	99.99
Japan pop 16	54	0.0	99.99
Japan pop 16	55	0.0	99.99
Japan pop 16	56	0.0	99.99
Japan pop 16	57	0.0	99.99
Japan pop 16	58	0.0	99.99
Japan pop 16	59	0.0	99.99
Japan pop 16	60	0.0	99.99
Japan pop 16	61	0.0	99.99
Japan pop 16	62	0.0	99.99
Japan pop 16	63	0.0	99.99
Japan pop 16	64	0.0	99.99
Japan pop 16	65	0.0	99.99
