class I
population/area	coverage	average_hit	pc90
Kenya	99.96%	9341.05	3269.15
average	99.96%	9341.05	3269.15
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Kenya	0	0.04	100.0
Kenya	1	0.0	99.96
Kenya	2	0.0	99.96
Kenya	3	0.0	99.96
Kenya	4	0.0	99.96
Kenya	5	0.0	99.96
Kenya	6	0.0	99.96
Kenya	7	0.0	99.96
Kenya	8	0.0	99.96
Kenya	9	0.0	99.96
Kenya	10	0.0	99.96
Kenya	11	0.0	99.96
Kenya	12	0.0	99.96
Kenya	13	0.0	99.96
Kenya	14	0.0	99.96
Kenya	15	0.0	99.96
Kenya	16	0.0	99.96
Kenya	17	0.0	99.96
Kenya	18	0.0	99.96
Kenya	19	0.0	99.96
Kenya	20	0.0	99.96
Kenya	21	0.0	99.96
Kenya	22	0.0	99.96
Kenya	23	0.0	99.96
Kenya	24	0.0	99.96
Kenya	25	0.0	99.96
Kenya	26	0.0	99.96
Kenya	27	0.0	99.96
Kenya	28	0.0	99.96
Kenya	29	0.0	99.96
Kenya	30	0.0	99.96
Kenya	31	0.0	99.96
Kenya	32	0.0	99.96
Kenya	33	0.0	99.96
Kenya	34	0.0	99.96
Kenya	35	0.0	99.96
Kenya	36	0.0	99.96
Kenya	37	0.0	99.96
Kenya	38	0.0	99.96
Kenya	39	0.0	99.96
Kenya	40	0.0	99.96
Kenya	41	0.0	99.96
Kenya	42	0.0	99.96
Kenya	43	0.0	99.96
Kenya	44	0.0	99.96
Kenya	45	0.0	99.96
Kenya	46	0.0	99.96
Kenya	47	0.0	99.96
Kenya	48	0.0	99.96
Kenya	49	0.0	99.96
Kenya	50	0.0	99.96
Kenya	51	0.0	99.96
Kenya	52	0.0	99.96
Kenya	53	0.0	99.96
Kenya	54	0.0	99.96
Kenya	55	0.0	99.96
Kenya	56	0.0	99.96
Kenya	57	0.0	99.96
Kenya	58	0.0	99.96
Kenya	59	0.0	99.96
Kenya	60	0.0	99.96
Kenya	61	0.0	99.96
Kenya	62	0.0	99.96
Kenya	63	0.0	99.96
Kenya	64	0.0	99.96
Kenya	65	0.0	99.96
Kenya	66	0.0	99.96
Kenya	67	0.0	99.96
Kenya	68	0.0	99.96
Kenya	69	0.0	99.96
Kenya	70	0.0	99.96
Kenya	71	0.0	99.96
Kenya	72	0.0	99.96
Kenya	73	0.0	99.96
Kenya	74	0.0	99.96
Kenya	75	0.0	99.96
Kenya	76	0.0	99.96
Kenya	77	0.0	99.96
Kenya	78	0.0	99.96
Kenya	79	0.0	99.96
Kenya	80	0.0	99.96
Kenya	81	0.0	99.96
Kenya	82	0.0	99.96
Kenya	83	0.0	99.96
Kenya	84	0.0	99.96
Kenya	85	0.0	99.96
Kenya	86	0.0	99.96
Kenya	87	0.0	99.96
Kenya	88	0.0	99.96
Kenya	89	0.0	99.96
Kenya	90	0.0	99.96
Kenya	91	0.0	99.96
Kenya	92	0.0	99.96
Kenya	93	0.0	99.96
Kenya	94	0.0	99.96
Kenya	95	0.0	99.96
Kenya	96	0.0	99.96
Kenya	97	0.0	99.96
Kenya	98	0.0	99.96
Kenya	99	0.0	99.96
Kenya	100	0.0	99.96
Kenya	101	0.01	99.96
Kenya	102	0.0	99.95
Kenya	103	0.0	99.95
Kenya	104	0.02	99.95
Kenya	105	0.0	99.93
Kenya	106	0.0	99.93
Kenya	107	0.0	99.93
Kenya	108	0.0	99.93
Kenya	109	0.0	99.93
Kenya	110	0.0	99.93
Kenya	111	0.0	99.93
Kenya	112	0.0	99.93
Kenya	113	0.0	99.93
Kenya	114	0.0	99.93
Kenya	115	0.04	99.93
Kenya	116	0.0	99.89
Kenya	117	0.0	99.89
Kenya	118	0.01	99.89
Kenya	119	0.0	99.88
Kenya	120	0.0	99.88
Kenya	121	0.0	99.88
Kenya	122	0.0	99.88
Kenya	123	0.0	99.88
Kenya	124	0.0	99.88
Kenya	125	0.0	99.88
Kenya	126	0.01	99.88
Kenya	127	0.0	99.87
Kenya	128	0.0	99.87
Kenya	129	0.0	99.87
Kenya	130	0.0	99.87
Kenya	131	0.0	99.87
Kenya	132	0.0	99.87
Kenya	133	0.0	99.87
Kenya	134	0.03	99.87
Kenya	135	0.0	99.84
Kenya	136	0.0	99.84
Kenya	137	0.0	99.84
Kenya	138	0.0	99.84
Kenya	139	0.0	99.84
Kenya	140	0.0	99.84
Kenya	141	0.0	99.84
Kenya	142	0.0	99.84
Kenya	143	0.0	99.84
Kenya	144	0.0	99.84
Kenya	145	0.0	99.84
Kenya	146	0.0	99.84
Kenya	147	0.0	99.84
Kenya	148	0.0	99.84
Kenya	149	0.0	99.84
Kenya	150	0.0	99.84
Kenya	151	0.0	99.84
Kenya	152	0.0	99.84
Kenya	153	0.0	99.84
Kenya	154	0.0	99.84
