class I
population/area	coverage	average_hit	pc90
Malaysia Peninsular Chinese	100.0%	17391.37	8099.78
average	100.0%	17391.37	8099.78
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Malaysia Peninsular Chinese	0	0.0	100.0
Malaysia Peninsular Chinese	1	0.0	100.0
Malaysia Peninsular Chinese	2	0.0	100.0
Malaysia Peninsular Chinese	3	0.0	100.0
Malaysia Peninsular Chinese	4	0.0	100.0
Malaysia Peninsular Chinese	5	0.0	100.0
Malaysia Peninsular Chinese	6	0.0	100.0
Malaysia Peninsular Chinese	7	0.0	100.0
Malaysia Peninsular Chinese	8	0.0	100.0
Malaysia Peninsular Chinese	9	0.0	100.0
Malaysia Peninsular Chinese	10	0.0	100.0
Malaysia Peninsular Chinese	11	0.0	100.0
Malaysia Peninsular Chinese	12	0.0	100.0
Malaysia Peninsular Chinese	13	0.0	100.0
Malaysia Peninsular Chinese	14	0.0	100.0
Malaysia Peninsular Chinese	15	0.0	100.0
Malaysia Peninsular Chinese	16	0.0	100.0
Malaysia Peninsular Chinese	17	0.0	100.0
Malaysia Peninsular Chinese	18	0.0	100.0
Malaysia Peninsular Chinese	19	0.0	100.0
Malaysia Peninsular Chinese	20	0.0	100.0
Malaysia Peninsular Chinese	21	0.0	100.0
Malaysia Peninsular Chinese	22	0.0	100.0
Malaysia Peninsular Chinese	23	0.0	100.0
Malaysia Peninsular Chinese	24	0.0	100.0
Malaysia Peninsular Chinese	25	0.0	100.0
Malaysia Peninsular Chinese	26	0.0	99.99
Malaysia Peninsular Chinese	27	0.0	99.99
Malaysia Peninsular Chinese	28	0.0	99.99
Malaysia Peninsular Chinese	29	0.0	99.99
Malaysia Peninsular Chinese	30	0.0	99.99
Malaysia Peninsular Chinese	31	0.0	99.99
Malaysia Peninsular Chinese	32	0.0	99.99
Malaysia Peninsular Chinese	33	0.0	99.99
Malaysia Peninsular Chinese	34	0.0	99.99
Malaysia Peninsular Chinese	35	0.0	99.99
Malaysia Peninsular Chinese	36	0.0	99.99
Malaysia Peninsular Chinese	37	0.0	99.99
Malaysia Peninsular Chinese	38	0.0	99.99
Malaysia Peninsular Chinese	39	0.0	99.99
Malaysia Peninsular Chinese	40	0.0	99.99
Malaysia Peninsular Chinese	41	0.0	99.99
Malaysia Peninsular Chinese	42	0.0	99.99
Malaysia Peninsular Chinese	43	0.0	99.99
Malaysia Peninsular Chinese	44	0.0	99.99
Malaysia Peninsular Chinese	45	0.0	99.99
Malaysia Peninsular Chinese	46	0.0	99.99
Malaysia Peninsular Chinese	47	0.0	99.99
Malaysia Peninsular Chinese	48	0.0	99.99
Malaysia Peninsular Chinese	49	0.0	99.99
Malaysia Peninsular Chinese	50	0.0	99.99
Malaysia Peninsular Chinese	51	0.0	99.99
Malaysia Peninsular Chinese	52	0.0	99.99
Malaysia Peninsular Chinese	53	0.0	99.99
Malaysia Peninsular Chinese	54	0.0	99.99
Malaysia Peninsular Chinese	55	0.0	99.99
Malaysia Peninsular Chinese	56	0.0	99.98
Malaysia Peninsular Chinese	57	0.0	99.98
Malaysia Peninsular Chinese	58	0.0	99.98
Malaysia Peninsular Chinese	59	0.0	99.98
Malaysia Peninsular Chinese	60	0.0	99.98
Malaysia Peninsular Chinese	61	0.0	99.98
Malaysia Peninsular Chinese	62	0.0	99.98
Malaysia Peninsular Chinese	63	0.0	99.98
Malaysia Peninsular Chinese	64	0.0	99.98
Malaysia Peninsular Chinese	65	0.0	99.98
Malaysia Peninsular Chinese	66	0.0	99.98
Malaysia Peninsular Chinese	67	0.0	99.98
Malaysia Peninsular Chinese	68	0.0	99.98
Malaysia Peninsular Chinese	69	0.0	99.98
Malaysia Peninsular Chinese	70	0.0	99.98
Malaysia Peninsular Chinese	71	0.0	99.98
Malaysia Peninsular Chinese	72	0.0	99.98
Malaysia Peninsular Chinese	73	0.0	99.98
Malaysia Peninsular Chinese	74	0.0	99.98
Malaysia Peninsular Chinese	75	0.0	99.98
Malaysia Peninsular Chinese	76	0.0	99.98
Malaysia Peninsular Chinese	77	0.0	99.98
Malaysia Peninsular Chinese	78	0.0	99.98
Malaysia Peninsular Chinese	79	0.0	99.98
Malaysia Peninsular Chinese	80	0.0	99.98
Malaysia Peninsular Chinese	81	0.0	99.98
Malaysia Peninsular Chinese	82	0.0	99.98
Malaysia Peninsular Chinese	83	0.0	99.98
Malaysia Peninsular Chinese	84	0.0	99.98
Malaysia Peninsular Chinese	85	0.0	99.98
Malaysia Peninsular Chinese	86	0.0	99.98
Malaysia Peninsular Chinese	87	0.0	99.98
Malaysia Peninsular Chinese	88	0.0	99.98
Malaysia Peninsular Chinese	89	0.0	99.98
Malaysia Peninsular Chinese	90	0.0	99.98
Malaysia Peninsular Chinese	91	0.0	99.98
Malaysia Peninsular Chinese	92	0.0	99.98
Malaysia Peninsular Chinese	93	0.0	99.98
Malaysia Peninsular Chinese	94	0.0	99.98
Malaysia Peninsular Chinese	95	0.0	99.98
Malaysia Peninsular Chinese	96	0.0	99.98
Malaysia Peninsular Chinese	97	0.0	99.98
Malaysia Peninsular Chinese	98	0.0	99.98
Malaysia Peninsular Chinese	99	0.0	99.98
Malaysia Peninsular Chinese	100	0.0	99.98
Malaysia Peninsular Chinese	101	0.0	99.98
Malaysia Peninsular Chinese	102	0.0	99.98
Malaysia Peninsular Chinese	103	0.0	99.98
Malaysia Peninsular Chinese	104	0.0	99.98
Malaysia Peninsular Chinese	105	0.0	99.98
Malaysia Peninsular Chinese	106	0.0	99.98
Malaysia Peninsular Chinese	107	0.0	99.98
Malaysia Peninsular Chinese	108	0.0	99.98
Malaysia Peninsular Chinese	109	0.0	99.98
Malaysia Peninsular Chinese	110	0.0	99.98
Malaysia Peninsular Chinese	111	0.0	99.98
Malaysia Peninsular Chinese	112	0.0	99.98
Malaysia Peninsular Chinese	113	0.0	99.98
Malaysia Peninsular Chinese	114	0.0	99.98
Malaysia Peninsular Chinese	115	0.0	99.98
Malaysia Peninsular Chinese	116	0.0	99.98
Malaysia Peninsular Chinese	117	0.0	99.98
Malaysia Peninsular Chinese	118	0.0	99.98
Malaysia Peninsular Chinese	119	0.0	99.98
Malaysia Peninsular Chinese	120	0.0	99.98
Malaysia Peninsular Chinese	121	0.0	99.98
Malaysia Peninsular Chinese	122	0.0	99.98
Malaysia Peninsular Chinese	123	0.0	99.98
Malaysia Peninsular Chinese	124	0.0	99.98
Malaysia Peninsular Chinese	125	0.0	99.98
Malaysia Peninsular Chinese	126	0.0	99.98
Malaysia Peninsular Chinese	127	0.0	99.97
Malaysia Peninsular Chinese	128	0.0	99.97
Malaysia Peninsular Chinese	129	0.0	99.97
Malaysia Peninsular Chinese	130	0.0	99.97
Malaysia Peninsular Chinese	131	0.0	99.97
Malaysia Peninsular Chinese	132	0.0	99.97
Malaysia Peninsular Chinese	133	0.0	99.97
Malaysia Peninsular Chinese	134	0.0	99.97
Malaysia Peninsular Chinese	135	0.0	99.97
Malaysia Peninsular Chinese	136	0.0	99.97
Malaysia Peninsular Chinese	137	0.0	99.97
Malaysia Peninsular Chinese	138	0.0	99.97
Malaysia Peninsular Chinese	139	0.0	99.97
Malaysia Peninsular Chinese	140	0.0	99.97
Malaysia Peninsular Chinese	141	0.0	99.97
Malaysia Peninsular Chinese	142	0.0	99.97
Malaysia Peninsular Chinese	143	0.0	99.97
Malaysia Peninsular Chinese	144	0.0	99.97
Malaysia Peninsular Chinese	145	0.0	99.97
Malaysia Peninsular Chinese	146	0.0	99.97
Malaysia Peninsular Chinese	147	0.0	99.97
Malaysia Peninsular Chinese	148	0.0	99.97
Malaysia Peninsular Chinese	149	0.0	99.97
Malaysia Peninsular Chinese	150	0.0	99.97
Malaysia Peninsular Chinese	151	0.0	99.97
Malaysia Peninsular Chinese	152	0.0	99.97
Malaysia Peninsular Chinese	153	0.0	99.97
Malaysia Peninsular Chinese	154	0.0	99.96
Malaysia Peninsular Chinese	155	0.0	99.96
Malaysia Peninsular Chinese	156	0.0	99.96
Malaysia Peninsular Chinese	157	0.0	99.96
Malaysia Peninsular Chinese	158	0.0	99.96
Malaysia Peninsular Chinese	159	0.0	99.96
Malaysia Peninsular Chinese	160	0.0	99.96
Malaysia Peninsular Chinese	161	0.0	99.96
Malaysia Peninsular Chinese	162	0.0	99.96
Malaysia Peninsular Chinese	163	0.0	99.96
Malaysia Peninsular Chinese	164	0.0	99.96
Malaysia Peninsular Chinese	165	0.0	99.96
Malaysia Peninsular Chinese	166	0.0	99.96
Malaysia Peninsular Chinese	167	0.0	99.96
Malaysia Peninsular Chinese	168	0.0	99.96
Malaysia Peninsular Chinese	169	0.0	99.96
Malaysia Peninsular Chinese	170	0.0	99.96
Malaysia Peninsular Chinese	171	0.0	99.96
Malaysia Peninsular Chinese	172	0.0	99.96
Malaysia Peninsular Chinese	173	0.0	99.96
Malaysia Peninsular Chinese	174	0.0	99.96
Malaysia Peninsular Chinese	175	0.0	99.96
Malaysia Peninsular Chinese	176	0.0	99.96
Malaysia Peninsular Chinese	177	0.0	99.96
Malaysia Peninsular Chinese	178	0.0	99.96
Malaysia Peninsular Chinese	179	0.0	99.96
Malaysia Peninsular Chinese	180	0.0	99.96
Malaysia Peninsular Chinese	181	0.0	99.95
Malaysia Peninsular Chinese	182	0.0	99.95
Malaysia Peninsular Chinese	183	0.0	99.95
Malaysia Peninsular Chinese	184	0.0	99.95
Malaysia Peninsular Chinese	185	0.0	99.95
Malaysia Peninsular Chinese	186	0.0	99.95
Malaysia Peninsular Chinese	187	0.0	99.95
Malaysia Peninsular Chinese	188	0.0	99.95
Malaysia Peninsular Chinese	189	0.0	99.95
Malaysia Peninsular Chinese	190	0.0	99.95
Malaysia Peninsular Chinese	191	0.0	99.95
Malaysia Peninsular Chinese	192	0.0	99.95
Malaysia Peninsular Chinese	193	0.0	99.95
Malaysia Peninsular Chinese	194	0.0	99.95
Malaysia Peninsular Chinese	195	0.0	99.95
Malaysia Peninsular Chinese	196	0.0	99.95
Malaysia Peninsular Chinese	197	0.0	99.94
Malaysia Peninsular Chinese	198	0.0	99.94
Malaysia Peninsular Chinese	199	0.0	99.94
Malaysia Peninsular Chinese	200	0.0	99.94
Malaysia Peninsular Chinese	201	0.0	99.94
Malaysia Peninsular Chinese	202	0.0	99.94
Malaysia Peninsular Chinese	203	0.0	99.94
Malaysia Peninsular Chinese	204	0.0	99.94
Malaysia Peninsular Chinese	205	0.0	99.94
Malaysia Peninsular Chinese	206	0.0	99.94
Malaysia Peninsular Chinese	207	0.0	99.94
Malaysia Peninsular Chinese	208	0.0	99.94
Malaysia Peninsular Chinese	209	0.0	99.93
Malaysia Peninsular Chinese	210	0.0	99.93
Malaysia Peninsular Chinese	211	0.0	99.93
Malaysia Peninsular Chinese	212	0.0	99.93
Malaysia Peninsular Chinese	213	0.0	99.93
Malaysia Peninsular Chinese	214	0.0	99.93
Malaysia Peninsular Chinese	215	0.0	99.93
Malaysia Peninsular Chinese	216	0.0	99.93
Malaysia Peninsular Chinese	217	0.0	99.93
Malaysia Peninsular Chinese	218	0.0	99.93
Malaysia Peninsular Chinese	219	0.0	99.93
Malaysia Peninsular Chinese	220	0.0	99.93
Malaysia Peninsular Chinese	221	0.0	99.93
Malaysia Peninsular Chinese	222	0.0	99.93
Malaysia Peninsular Chinese	223	0.0	99.93
Malaysia Peninsular Chinese	224	0.0	99.93
Malaysia Peninsular Chinese	225	0.0	99.93
Malaysia Peninsular Chinese	226	0.0	99.93
Malaysia Peninsular Chinese	227	0.0	99.93
Malaysia Peninsular Chinese	228	0.0	99.92
Malaysia Peninsular Chinese	229	0.0	99.92
Malaysia Peninsular Chinese	230	0.0	99.92
Malaysia Peninsular Chinese	231	0.0	99.92
Malaysia Peninsular Chinese	232	0.0	99.92
Malaysia Peninsular Chinese	233	0.0	99.92
Malaysia Peninsular Chinese	234	0.0	99.92
Malaysia Peninsular Chinese	235	0.0	99.92
Malaysia Peninsular Chinese	236	0.0	99.92
Malaysia Peninsular Chinese	237	0.0	99.92
Malaysia Peninsular Chinese	238	0.0	99.92
Malaysia Peninsular Chinese	239	0.0	99.92
Malaysia Peninsular Chinese	240	0.0	99.92
Malaysia Peninsular Chinese	241	0.0	99.92
Malaysia Peninsular Chinese	242	0.0	99.92
Malaysia Peninsular Chinese	243	0.0	99.92
Malaysia Peninsular Chinese	244	0.0	99.92
Malaysia Peninsular Chinese	245	0.0	99.92
Malaysia Peninsular Chinese	246	0.0	99.92
Malaysia Peninsular Chinese	247	0.0	99.92
Malaysia Peninsular Chinese	248	0.0	99.92
Malaysia Peninsular Chinese	249	0.0	99.92
Malaysia Peninsular Chinese	250	0.0	99.92
Malaysia Peninsular Chinese	251	0.0	99.92
Malaysia Peninsular Chinese	252	0.0	99.92
Malaysia Peninsular Chinese	253	0.0	99.92
Malaysia Peninsular Chinese	254	0.0	99.92
Malaysia Peninsular Chinese	255	0.0	99.92
Malaysia Peninsular Chinese	256	0.0	99.92
Malaysia Peninsular Chinese	257	0.0	99.92
Malaysia Peninsular Chinese	258	0.0	99.92
Malaysia Peninsular Chinese	259	0.0	99.92
Malaysia Peninsular Chinese	260	0.0	99.92
