class I
population/area	coverage	average_hit	pc90
Malaysia Peninsular Indian	100.0%	13794.76	6224.73
average	100.0%	13794.76	6224.73
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Malaysia Peninsular Indian	0	0.0	100.0
Malaysia Peninsular Indian	1	0.0	100.0
Malaysia Peninsular Indian	2	0.0	100.0
Malaysia Peninsular Indian	3	0.0	100.0
Malaysia Peninsular Indian	4	0.0	100.0
Malaysia Peninsular Indian	5	0.0	100.0
Malaysia Peninsular Indian	6	0.0	100.0
Malaysia Peninsular Indian	7	0.0	100.0
Malaysia Peninsular Indian	8	0.0	100.0
Malaysia Peninsular Indian	9	0.0	100.0
Malaysia Peninsular Indian	10	0.0	100.0
Malaysia Peninsular Indian	11	0.0	100.0
Malaysia Peninsular Indian	12	0.0	100.0
Malaysia Peninsular Indian	13	0.0	99.99
Malaysia Peninsular Indian	14	0.0	99.99
Malaysia Peninsular Indian	15	0.0	99.99
Malaysia Peninsular Indian	16	0.0	99.99
Malaysia Peninsular Indian	17	0.0	99.99
Malaysia Peninsular Indian	18	0.0	99.99
Malaysia Peninsular Indian	19	0.0	99.99
Malaysia Peninsular Indian	20	0.0	99.99
Malaysia Peninsular Indian	21	0.0	99.99
Malaysia Peninsular Indian	22	0.0	99.99
Malaysia Peninsular Indian	23	0.0	99.99
Malaysia Peninsular Indian	24	0.0	99.99
Malaysia Peninsular Indian	25	0.0	99.99
Malaysia Peninsular Indian	26	0.0	99.99
Malaysia Peninsular Indian	27	0.0	99.99
Malaysia Peninsular Indian	28	0.0	99.99
Malaysia Peninsular Indian	29	0.0	99.99
Malaysia Peninsular Indian	30	0.0	99.99
Malaysia Peninsular Indian	31	0.0	99.99
Malaysia Peninsular Indian	32	0.0	99.99
Malaysia Peninsular Indian	33	0.0	99.99
Malaysia Peninsular Indian	34	0.0	99.99
Malaysia Peninsular Indian	35	0.0	99.99
Malaysia Peninsular Indian	36	0.0	99.99
Malaysia Peninsular Indian	37	0.0	99.99
Malaysia Peninsular Indian	38	0.0	99.98
Malaysia Peninsular Indian	39	0.0	99.98
Malaysia Peninsular Indian	40	0.0	99.98
Malaysia Peninsular Indian	41	0.0	99.98
Malaysia Peninsular Indian	42	0.0	99.98
Malaysia Peninsular Indian	43	0.0	99.98
Malaysia Peninsular Indian	44	0.0	99.98
Malaysia Peninsular Indian	45	0.0	99.98
Malaysia Peninsular Indian	46	0.0	99.98
Malaysia Peninsular Indian	47	0.0	99.98
Malaysia Peninsular Indian	48	0.0	99.98
Malaysia Peninsular Indian	49	0.0	99.98
Malaysia Peninsular Indian	50	0.0	99.98
Malaysia Peninsular Indian	51	0.0	99.98
Malaysia Peninsular Indian	52	0.0	99.98
Malaysia Peninsular Indian	53	0.0	99.98
Malaysia Peninsular Indian	54	0.0	99.98
Malaysia Peninsular Indian	55	0.0	99.98
Malaysia Peninsular Indian	56	0.0	99.98
Malaysia Peninsular Indian	57	0.0	99.98
Malaysia Peninsular Indian	58	0.0	99.98
Malaysia Peninsular Indian	59	0.0	99.98
Malaysia Peninsular Indian	60	0.0	99.98
Malaysia Peninsular Indian	61	0.0	99.98
Malaysia Peninsular Indian	62	0.0	99.97
Malaysia Peninsular Indian	63	0.0	99.97
Malaysia Peninsular Indian	64	0.0	99.97
Malaysia Peninsular Indian	65	0.0	99.97
Malaysia Peninsular Indian	66	0.0	99.97
Malaysia Peninsular Indian	67	0.0	99.97
Malaysia Peninsular Indian	68	0.0	99.97
Malaysia Peninsular Indian	69	0.0	99.97
Malaysia Peninsular Indian	70	0.0	99.97
Malaysia Peninsular Indian	71	0.0	99.97
Malaysia Peninsular Indian	72	0.0	99.97
Malaysia Peninsular Indian	73	0.0	99.97
Malaysia Peninsular Indian	74	0.0	99.97
Malaysia Peninsular Indian	75	0.0	99.97
Malaysia Peninsular Indian	76	0.0	99.97
Malaysia Peninsular Indian	77	0.0	99.97
Malaysia Peninsular Indian	78	0.0	99.97
Malaysia Peninsular Indian	79	0.0	99.97
Malaysia Peninsular Indian	80	0.0	99.97
Malaysia Peninsular Indian	81	0.0	99.97
Malaysia Peninsular Indian	82	0.0	99.97
Malaysia Peninsular Indian	83	0.0	99.97
Malaysia Peninsular Indian	84	0.0	99.97
Malaysia Peninsular Indian	85	0.0	99.97
Malaysia Peninsular Indian	86	0.0	99.97
Malaysia Peninsular Indian	87	0.0	99.97
Malaysia Peninsular Indian	88	0.0	99.97
Malaysia Peninsular Indian	89	0.0	99.97
Malaysia Peninsular Indian	90	0.0	99.97
Malaysia Peninsular Indian	91	0.0	99.97
Malaysia Peninsular Indian	92	0.0	99.97
Malaysia Peninsular Indian	93	0.0	99.97
Malaysia Peninsular Indian	94	0.0	99.97
Malaysia Peninsular Indian	95	0.0	99.97
