class I
population/area	coverage	average_hit	pc90
Mexico Chiapas Lacandon Mayans	100.0%	13647.58	5800.66
average	100.0%	13647.58	5800.66
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Mexico Chiapas Lacandon Mayans	0	0.0	100.0
Mexico Chiapas Lacandon Mayans	1	0.0	100.0
Mexico Chiapas Lacandon Mayans	2	0.0	100.0
Mexico Chiapas Lacandon Mayans	3	0.0	100.0
Mexico Chiapas Lacandon Mayans	4	0.0	100.0
Mexico Chiapas Lacandon Mayans	5	0.0	100.0
Mexico Chiapas Lacandon Mayans	6	0.0	100.0
Mexico Chiapas Lacandon Mayans	7	0.0	100.0
Mexico Chiapas Lacandon Mayans	8	0.0	100.0
Mexico Chiapas Lacandon Mayans	9	0.0	100.0
Mexico Chiapas Lacandon Mayans	10	0.0	100.0
Mexico Chiapas Lacandon Mayans	11	0.0	100.0
Mexico Chiapas Lacandon Mayans	12	0.0	100.0
Mexico Chiapas Lacandon Mayans	13	0.0	100.0
Mexico Chiapas Lacandon Mayans	14	0.0	100.0
Mexico Chiapas Lacandon Mayans	15	0.0	100.0
Mexico Chiapas Lacandon Mayans	16	0.0	100.0
Mexico Chiapas Lacandon Mayans	17	0.0	100.0
Mexico Chiapas Lacandon Mayans	18	0.0	100.0
Mexico Chiapas Lacandon Mayans	19	0.0	100.0
Mexico Chiapas Lacandon Mayans	20	0.0	100.0
Mexico Chiapas Lacandon Mayans	21	0.0	100.0
Mexico Chiapas Lacandon Mayans	22	0.0	100.0
Mexico Chiapas Lacandon Mayans	23	0.0	100.0
Mexico Chiapas Lacandon Mayans	24	0.0	100.0
Mexico Chiapas Lacandon Mayans	25	0.0	100.0
Mexico Chiapas Lacandon Mayans	26	0.0	100.0
Mexico Chiapas Lacandon Mayans	27	0.0	100.0
Mexico Chiapas Lacandon Mayans	28	0.0	100.0
Mexico Chiapas Lacandon Mayans	29	0.0	100.0
Mexico Chiapas Lacandon Mayans	30	0.0	100.0
Mexico Chiapas Lacandon Mayans	31	0.0	100.0
Mexico Chiapas Lacandon Mayans	32	0.0	100.0
Mexico Chiapas Lacandon Mayans	33	0.0	100.0
Mexico Chiapas Lacandon Mayans	34	0.0	100.0
Mexico Chiapas Lacandon Mayans	35	0.0	100.0
Mexico Chiapas Lacandon Mayans	36	0.0	100.0
Mexico Chiapas Lacandon Mayans	37	0.0	100.0
Mexico Chiapas Lacandon Mayans	38	0.0	100.0
Mexico Chiapas Lacandon Mayans	39	0.0	100.0
Mexico Chiapas Lacandon Mayans	40	0.0	100.0
Mexico Chiapas Lacandon Mayans	41	0.0	100.0
Mexico Chiapas Lacandon Mayans	42	0.0	100.0
Mexico Chiapas Lacandon Mayans	43	0.0	100.0
Mexico Chiapas Lacandon Mayans	44	0.0	100.0
Mexico Chiapas Lacandon Mayans	45	0.0	100.0
Mexico Chiapas Lacandon Mayans	46	0.0	100.0
Mexico Chiapas Lacandon Mayans	47	0.0	100.0
Mexico Chiapas Lacandon Mayans	48	0.0	100.0
Mexico Chiapas Lacandon Mayans	49	0.0	100.0
Mexico Chiapas Lacandon Mayans	50	0.0	100.0
Mexico Chiapas Lacandon Mayans	51	0.0	100.0
Mexico Chiapas Lacandon Mayans	52	0.0	100.0
Mexico Chiapas Lacandon Mayans	53	0.0	100.0
Mexico Chiapas Lacandon Mayans	54	0.0	100.0
Mexico Chiapas Lacandon Mayans	55	0.0	100.0
Mexico Chiapas Lacandon Mayans	56	0.0	100.0
Mexico Chiapas Lacandon Mayans	57	0.0	100.0
Mexico Chiapas Lacandon Mayans	58	0.0	100.0
Mexico Chiapas Lacandon Mayans	59	0.0	100.0
Mexico Chiapas Lacandon Mayans	60	0.0	100.0
Mexico Chiapas Lacandon Mayans	61	0.0	100.0
Mexico Chiapas Lacandon Mayans	62	0.0	100.0
Mexico Chiapas Lacandon Mayans	63	0.0	100.0
Mexico Chiapas Lacandon Mayans	64	0.0	100.0
Mexico Chiapas Lacandon Mayans	65	0.0	100.0
Mexico Chiapas Lacandon Mayans	66	0.0	100.0
Mexico Chiapas Lacandon Mayans	67	0.0	100.0
Mexico Chiapas Lacandon Mayans	68	0.0	100.0
Mexico Chiapas Lacandon Mayans	69	0.0	100.0
Mexico Chiapas Lacandon Mayans	70	0.0	100.0
Mexico Chiapas Lacandon Mayans	71	0.0	100.0
Mexico Chiapas Lacandon Mayans	72	0.0	100.0
Mexico Chiapas Lacandon Mayans	73	0.0	100.0
Mexico Chiapas Lacandon Mayans	74	0.0	100.0
Mexico Chiapas Lacandon Mayans	75	0.0	100.0
Mexico Chiapas Lacandon Mayans	76	0.0	100.0
Mexico Chiapas Lacandon Mayans	77	0.0	100.0
Mexico Chiapas Lacandon Mayans	78	0.0	100.0
Mexico Chiapas Lacandon Mayans	79	0.0	100.0
Mexico Chiapas Lacandon Mayans	80	0.0	100.0
Mexico Chiapas Lacandon Mayans	81	0.0	100.0
Mexico Chiapas Lacandon Mayans	82	0.0	100.0
Mexico Chiapas Lacandon Mayans	83	0.0	100.0
Mexico Chiapas Lacandon Mayans	84	0.0	100.0
Mexico Chiapas Lacandon Mayans	85	0.0	100.0
Mexico Chiapas Lacandon Mayans	86	0.0	100.0
Mexico Chiapas Lacandon Mayans	87	0.0	100.0
Mexico Chiapas Lacandon Mayans	88	0.0	100.0
Mexico Chiapas Lacandon Mayans	89	0.0	100.0
Mexico Chiapas Lacandon Mayans	90	0.0	100.0
Mexico Chiapas Lacandon Mayans	91	0.0	100.0
Mexico Chiapas Lacandon Mayans	92	0.0	100.0
Mexico Chiapas Lacandon Mayans	93	0.0	100.0
Mexico Chiapas Lacandon Mayans	94	0.0	100.0
Mexico Chiapas Lacandon Mayans	95	0.0	100.0
Mexico Chiapas Lacandon Mayans	96	0.0	100.0
Mexico Chiapas Lacandon Mayans	97	0.0	100.0
Mexico Chiapas Lacandon Mayans	98	0.0	100.0
Mexico Chiapas Lacandon Mayans	99	0.0	100.0
Mexico Chiapas Lacandon Mayans	100	0.0	100.0
Mexico Chiapas Lacandon Mayans	101	0.0	100.0
Mexico Chiapas Lacandon Mayans	102	0.0	100.0
Mexico Chiapas Lacandon Mayans	103	0.0	100.0
Mexico Chiapas Lacandon Mayans	104	0.0	100.0
Mexico Chiapas Lacandon Mayans	105	0.0	100.0
Mexico Chiapas Lacandon Mayans	106	0.0	100.0
Mexico Chiapas Lacandon Mayans	107	0.0	100.0
Mexico Chiapas Lacandon Mayans	108	0.0	100.0
Mexico Chiapas Lacandon Mayans	109	0.0	100.0
Mexico Chiapas Lacandon Mayans	110	0.0	100.0
Mexico Chiapas Lacandon Mayans	111	0.0	100.0
Mexico Chiapas Lacandon Mayans	112	0.0	100.0
Mexico Chiapas Lacandon Mayans	113	0.0	100.0
Mexico Chiapas Lacandon Mayans	114	0.0	100.0
Mexico Chiapas Lacandon Mayans	115	0.0	100.0
Mexico Chiapas Lacandon Mayans	116	0.0	100.0
Mexico Chiapas Lacandon Mayans	117	0.0	100.0
Mexico Chiapas Lacandon Mayans	118	0.0	100.0
Mexico Chiapas Lacandon Mayans	119	0.0	100.0
Mexico Chiapas Lacandon Mayans	120	0.0	100.0
Mexico Chiapas Lacandon Mayans	121	0.0	100.0
Mexico Chiapas Lacandon Mayans	122	0.0	100.0
Mexico Chiapas Lacandon Mayans	123	0.0	100.0
Mexico Chiapas Lacandon Mayans	124	0.0	100.0
Mexico Chiapas Lacandon Mayans	125	0.0	100.0
Mexico Chiapas Lacandon Mayans	126	0.0	100.0
Mexico Chiapas Lacandon Mayans	127	0.0	100.0
Mexico Chiapas Lacandon Mayans	128	0.0	100.0
Mexico Chiapas Lacandon Mayans	129	0.0	100.0
Mexico Chiapas Lacandon Mayans	130	0.0	100.0
Mexico Chiapas Lacandon Mayans	131	0.0	100.0
Mexico Chiapas Lacandon Mayans	132	0.0	100.0
Mexico Chiapas Lacandon Mayans	133	0.0	100.0
Mexico Chiapas Lacandon Mayans	134	0.0	100.0
Mexico Chiapas Lacandon Mayans	135	0.0	100.0
Mexico Chiapas Lacandon Mayans	136	0.0	100.0
Mexico Chiapas Lacandon Mayans	137	0.0	100.0
Mexico Chiapas Lacandon Mayans	138	0.0	100.0
Mexico Chiapas Lacandon Mayans	139	0.0	100.0
Mexico Chiapas Lacandon Mayans	140	0.0	100.0
Mexico Chiapas Lacandon Mayans	141	0.0	100.0
Mexico Chiapas Lacandon Mayans	142	0.0	100.0
Mexico Chiapas Lacandon Mayans	143	0.0	100.0
Mexico Chiapas Lacandon Mayans	144	0.0	100.0
Mexico Chiapas Lacandon Mayans	145	0.0	100.0
Mexico Chiapas Lacandon Mayans	146	0.0	100.0
Mexico Chiapas Lacandon Mayans	147	0.0	100.0
Mexico Chiapas Lacandon Mayans	148	0.0	100.0
Mexico Chiapas Lacandon Mayans	149	0.0	100.0
Mexico Chiapas Lacandon Mayans	150	0.0	100.0
Mexico Chiapas Lacandon Mayans	151	0.0	100.0
Mexico Chiapas Lacandon Mayans	152	0.0	100.0
Mexico Chiapas Lacandon Mayans	153	0.0	100.0
Mexico Chiapas Lacandon Mayans	154	0.0	100.0
Mexico Chiapas Lacandon Mayans	155	0.0	100.0
Mexico Chiapas Lacandon Mayans	156	0.0	100.0
Mexico Chiapas Lacandon Mayans	157	0.0	100.0
Mexico Chiapas Lacandon Mayans	158	0.0	100.0
Mexico Chiapas Lacandon Mayans	159	0.0	100.0
Mexico Chiapas Lacandon Mayans	160	0.0	100.0
Mexico Chiapas Lacandon Mayans	161	0.0	100.0
Mexico Chiapas Lacandon Mayans	162	0.0	100.0
Mexico Chiapas Lacandon Mayans	163	0.0	100.0
Mexico Chiapas Lacandon Mayans	164	0.0	100.0
Mexico Chiapas Lacandon Mayans	165	0.0	100.0
Mexico Chiapas Lacandon Mayans	166	0.0	100.0
Mexico Chiapas Lacandon Mayans	167	0.0	100.0
Mexico Chiapas Lacandon Mayans	168	0.0	100.0
Mexico Chiapas Lacandon Mayans	169	0.0	99.99
Mexico Chiapas Lacandon Mayans	170	0.0	99.99
Mexico Chiapas Lacandon Mayans	171	0.0	99.99
Mexico Chiapas Lacandon Mayans	172	0.0	99.99
Mexico Chiapas Lacandon Mayans	173	0.0	99.99
Mexico Chiapas Lacandon Mayans	174	0.0	99.99
Mexico Chiapas Lacandon Mayans	175	0.0	99.99
Mexico Chiapas Lacandon Mayans	176	0.0	99.99
Mexico Chiapas Lacandon Mayans	177	0.0	99.99
Mexico Chiapas Lacandon Mayans	178	0.0	99.99
Mexico Chiapas Lacandon Mayans	179	0.0	99.99
Mexico Chiapas Lacandon Mayans	180	0.13	99.99
Mexico Chiapas Lacandon Mayans	181	0.01	99.86
Mexico Chiapas Lacandon Mayans	182	0.0	99.86
