class I
population/area	coverage	average_hit	pc90
Mexico Mixtec NA-DHS_5 (G)	100.0%	11065.86	6049.95
average	100.0%	11065.86	6049.95
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Mexico Mixtec NA-DHS_5 (G)	0	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	1	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	2	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	3	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	4	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	5	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	6	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	7	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	8	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	9	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	10	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	11	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	12	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	13	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	14	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	15	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	16	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	17	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	18	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	19	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	20	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	21	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	22	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	23	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	24	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	25	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	26	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	27	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	28	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	29	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	30	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	31	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	32	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	33	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	34	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	35	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	36	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	37	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	38	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	39	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	40	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	41	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	42	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	43	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	44	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	45	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	46	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	47	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	48	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	49	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	50	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	51	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	52	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	53	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	54	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	55	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	56	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	57	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	58	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	59	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	60	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	61	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	62	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	63	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	64	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	65	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	66	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	67	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	68	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	69	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	70	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	71	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	72	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	73	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	74	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	75	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	76	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	77	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	78	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	79	0.0	100.0
Mexico Mixtec NA-DHS_5 (G)	80	0.0	100.0
