class I
population/area	coverage	average_hit	pc90
Netherlands Leiden	100.0%	18905.65	11696.71
average	100.0%	18905.65	11696.71
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Netherlands Leiden	0	0.0	100.0
Netherlands Leiden	1	0.0	100.0
Netherlands Leiden	2	0.0	100.0
Netherlands Leiden	3	0.0	100.0
Netherlands Leiden	4	0.0	100.0
Netherlands Leiden	5	0.0	100.0
Netherlands Leiden	6	0.0	100.0
Netherlands Leiden	7	0.0	100.0
Netherlands Leiden	8	0.0	100.0
Netherlands Leiden	9	0.0	100.0
Netherlands Leiden	10	0.0	100.0
Netherlands Leiden	11	0.0	100.0
Netherlands Leiden	12	0.0	100.0
Netherlands Leiden	13	0.0	100.0
Netherlands Leiden	14	0.0	100.0
Netherlands Leiden	15	0.0	100.0
Netherlands Leiden	16	0.0	100.0
Netherlands Leiden	17	0.0	100.0
Netherlands Leiden	18	0.0	100.0
Netherlands Leiden	19	0.0	100.0
Netherlands Leiden	20	0.0	100.0
Netherlands Leiden	21	0.0	100.0
Netherlands Leiden	22	0.0	100.0
Netherlands Leiden	23	0.0	100.0
Netherlands Leiden	24	0.0	100.0
Netherlands Leiden	25	0.0	100.0
Netherlands Leiden	26	0.0	100.0
Netherlands Leiden	27	0.0	100.0
Netherlands Leiden	28	0.0	100.0
Netherlands Leiden	29	0.0	100.0
Netherlands Leiden	30	0.0	100.0
Netherlands Leiden	31	0.0	100.0
Netherlands Leiden	32	0.0	100.0
Netherlands Leiden	33	0.0	100.0
Netherlands Leiden	34	0.0	100.0
Netherlands Leiden	35	0.0	100.0
Netherlands Leiden	36	0.0	100.0
Netherlands Leiden	37	0.0	100.0
Netherlands Leiden	38	0.0	100.0
Netherlands Leiden	39	0.0	100.0
Netherlands Leiden	40	0.0	100.0
Netherlands Leiden	41	0.0	100.0
Netherlands Leiden	42	0.0	100.0
Netherlands Leiden	43	0.0	100.0
Netherlands Leiden	44	0.0	100.0
Netherlands Leiden	45	0.0	100.0
Netherlands Leiden	46	0.0	100.0
Netherlands Leiden	47	0.0	100.0
Netherlands Leiden	48	0.0	100.0
Netherlands Leiden	49	0.0	100.0
Netherlands Leiden	50	0.0	100.0
Netherlands Leiden	51	0.0	100.0
Netherlands Leiden	52	0.0	100.0
Netherlands Leiden	53	0.0	100.0
Netherlands Leiden	54	0.0	100.0
Netherlands Leiden	55	0.0	100.0
Netherlands Leiden	56	0.0	100.0
Netherlands Leiden	57	0.0	100.0
Netherlands Leiden	58	0.0	100.0
Netherlands Leiden	59	0.0	100.0
Netherlands Leiden	60	0.0	100.0
Netherlands Leiden	61	0.0	100.0
Netherlands Leiden	62	0.0	100.0
Netherlands Leiden	63	0.0	100.0
Netherlands Leiden	64	0.0	100.0
Netherlands Leiden	65	0.0	100.0
Netherlands Leiden	66	0.0	100.0
Netherlands Leiden	67	0.0	100.0
Netherlands Leiden	68	0.0	100.0
Netherlands Leiden	69	0.0	100.0
Netherlands Leiden	70	0.0	100.0
Netherlands Leiden	71	0.0	100.0
Netherlands Leiden	72	0.0	100.0
Netherlands Leiden	73	0.0	100.0
Netherlands Leiden	74	0.0	100.0
Netherlands Leiden	75	0.0	100.0
Netherlands Leiden	76	0.0	100.0
Netherlands Leiden	77	0.0	100.0
Netherlands Leiden	78	0.0	100.0
Netherlands Leiden	79	0.0	100.0
Netherlands Leiden	80	0.0	100.0
Netherlands Leiden	81	0.0	100.0
Netherlands Leiden	82	0.0	100.0
Netherlands Leiden	83	0.0	100.0
Netherlands Leiden	84	0.0	100.0
Netherlands Leiden	85	0.0	100.0
Netherlands Leiden	86	0.0	100.0
Netherlands Leiden	87	0.0	100.0
Netherlands Leiden	88	0.0	100.0
Netherlands Leiden	89	0.0	100.0
Netherlands Leiden	90	0.0	100.0
Netherlands Leiden	91	0.0	100.0
Netherlands Leiden	92	0.0	100.0
Netherlands Leiden	93	0.0	100.0
Netherlands Leiden	94	0.0	100.0
Netherlands Leiden	95	0.0	100.0
Netherlands Leiden	96	0.0	100.0
Netherlands Leiden	97	0.0	100.0
Netherlands Leiden	98	0.0	100.0
Netherlands Leiden	99	0.0	100.0
Netherlands Leiden	100	0.0	100.0
Netherlands Leiden	101	0.0	100.0
Netherlands Leiden	102	0.0	100.0
Netherlands Leiden	103	0.0	100.0
Netherlands Leiden	104	0.0	100.0
Netherlands Leiden	105	0.0	100.0
Netherlands Leiden	106	0.0	100.0
Netherlands Leiden	107	0.0	100.0
Netherlands Leiden	108	0.0	100.0
Netherlands Leiden	109	0.0	100.0
Netherlands Leiden	110	0.0	100.0
Netherlands Leiden	111	0.0	100.0
Netherlands Leiden	112	0.0	100.0
Netherlands Leiden	113	0.0	100.0
Netherlands Leiden	114	0.0	100.0
Netherlands Leiden	115	0.0	100.0
Netherlands Leiden	116	0.0	100.0
Netherlands Leiden	117	0.0	100.0
Netherlands Leiden	118	0.0	100.0
Netherlands Leiden	119	0.0	100.0
Netherlands Leiden	120	0.0	100.0
Netherlands Leiden	121	0.0	100.0
Netherlands Leiden	122	0.0	100.0
Netherlands Leiden	123	0.0	100.0
Netherlands Leiden	124	0.0	100.0
Netherlands Leiden	125	0.0	100.0
Netherlands Leiden	126	0.0	100.0
Netherlands Leiden	127	0.0	100.0
Netherlands Leiden	128	0.0	100.0
Netherlands Leiden	129	0.0	100.0
Netherlands Leiden	130	0.0	100.0
Netherlands Leiden	131	0.0	100.0
Netherlands Leiden	132	0.0	100.0
Netherlands Leiden	133	0.0	100.0
Netherlands Leiden	134	0.0	100.0
Netherlands Leiden	135	0.0	100.0
Netherlands Leiden	136	0.0	100.0
Netherlands Leiden	137	0.0	100.0
Netherlands Leiden	138	0.0	100.0
Netherlands Leiden	139	0.0	100.0
Netherlands Leiden	140	0.0	100.0
Netherlands Leiden	141	0.0	100.0
Netherlands Leiden	142	0.0	100.0
Netherlands Leiden	143	0.0	100.0
Netherlands Leiden	144	0.0	100.0
Netherlands Leiden	145	0.0	100.0
Netherlands Leiden	146	0.0	100.0
Netherlands Leiden	147	0.0	100.0
Netherlands Leiden	148	0.0	100.0
Netherlands Leiden	149	0.0	100.0
Netherlands Leiden	150	0.0	100.0
Netherlands Leiden	151	0.0	100.0
Netherlands Leiden	152	0.0	100.0
Netherlands Leiden	153	0.0	100.0
Netherlands Leiden	154	0.0	100.0
Netherlands Leiden	155	0.0	100.0
Netherlands Leiden	156	0.0	100.0
Netherlands Leiden	157	0.0	100.0
Netherlands Leiden	158	0.0	100.0
Netherlands Leiden	159	0.0	100.0
Netherlands Leiden	160	0.0	100.0
Netherlands Leiden	161	0.0	100.0
Netherlands Leiden	162	0.0	100.0
Netherlands Leiden	163	0.0	100.0
Netherlands Leiden	164	0.0	100.0
Netherlands Leiden	165	0.0	100.0
Netherlands Leiden	166	0.0	100.0
Netherlands Leiden	167	0.0	100.0
Netherlands Leiden	168	0.0	100.0
Netherlands Leiden	169	0.0	100.0
Netherlands Leiden	170	0.0	100.0
Netherlands Leiden	171	0.0	100.0
Netherlands Leiden	172	0.0	100.0
Netherlands Leiden	173	0.0	100.0
Netherlands Leiden	174	0.0	100.0
Netherlands Leiden	175	0.0	100.0
Netherlands Leiden	176	0.0	100.0
Netherlands Leiden	177	0.0	100.0
Netherlands Leiden	178	0.0	100.0
Netherlands Leiden	179	0.0	100.0
Netherlands Leiden	180	0.0	100.0
Netherlands Leiden	181	0.0	100.0
Netherlands Leiden	182	0.0	100.0
Netherlands Leiden	183	0.0	100.0
Netherlands Leiden	184	0.0	100.0
Netherlands Leiden	185	0.0	100.0
Netherlands Leiden	186	0.0	100.0
Netherlands Leiden	187	0.0	100.0
Netherlands Leiden	188	0.0	100.0
Netherlands Leiden	189	0.0	100.0
Netherlands Leiden	190	0.0	100.0
Netherlands Leiden	191	0.0	100.0
Netherlands Leiden	192	0.0	100.0
Netherlands Leiden	193	0.0	100.0
Netherlands Leiden	194	0.0	100.0
Netherlands Leiden	195	0.0	100.0
Netherlands Leiden	196	0.0	100.0
Netherlands Leiden	197	0.0	100.0
Netherlands Leiden	198	0.0	100.0
Netherlands Leiden	199	0.0	100.0
Netherlands Leiden	200	0.0	100.0
Netherlands Leiden	201	0.0	100.0
Netherlands Leiden	202	0.0	100.0
Netherlands Leiden	203	0.0	100.0
Netherlands Leiden	204	0.0	100.0
Netherlands Leiden	205	0.0	100.0
Netherlands Leiden	206	0.0	100.0
Netherlands Leiden	207	0.0	100.0
Netherlands Leiden	208	0.0	100.0
Netherlands Leiden	209	0.0	100.0
Netherlands Leiden	210	0.0	100.0
Netherlands Leiden	211	0.0	100.0
Netherlands Leiden	212	0.0	100.0
Netherlands Leiden	213	0.0	100.0
Netherlands Leiden	214	0.0	100.0
Netherlands Leiden	215	0.0	100.0
Netherlands Leiden	216	0.0	100.0
Netherlands Leiden	217	0.0	100.0
Netherlands Leiden	218	0.0	100.0
Netherlands Leiden	219	0.0	100.0
Netherlands Leiden	220	0.0	100.0
Netherlands Leiden	221	0.0	100.0
Netherlands Leiden	222	0.0	100.0
Netherlands Leiden	223	0.0	100.0
Netherlands Leiden	224	0.0	100.0
Netherlands Leiden	225	0.0	100.0
Netherlands Leiden	226	0.0	100.0
Netherlands Leiden	227	0.0	100.0
Netherlands Leiden	228	0.0	100.0
Netherlands Leiden	229	0.0	100.0
Netherlands Leiden	230	0.0	100.0
Netherlands Leiden	231	0.0	100.0
Netherlands Leiden	232	0.0	100.0
Netherlands Leiden	233	0.0	100.0
Netherlands Leiden	234	0.0	100.0
Netherlands Leiden	235	0.0	100.0
Netherlands Leiden	236	0.0	100.0
Netherlands Leiden	237	0.0	100.0
Netherlands Leiden	238	0.0	100.0
Netherlands Leiden	239	0.0	100.0
Netherlands Leiden	240	0.0	100.0
Netherlands Leiden	241	0.0	100.0
Netherlands Leiden	242	0.0	100.0
Netherlands Leiden	243	0.0	100.0
Netherlands Leiden	244	0.0	100.0
Netherlands Leiden	245	0.0	100.0
Netherlands Leiden	246	0.0	100.0
Netherlands Leiden	247	0.0	100.0
Netherlands Leiden	248	0.0	100.0
Netherlands Leiden	249	0.0	100.0
Netherlands Leiden	250	0.0	100.0
Netherlands Leiden	251	0.0	100.0
Netherlands Leiden	252	0.0	100.0
Netherlands Leiden	253	0.0	100.0
Netherlands Leiden	254	0.0	100.0
Netherlands Leiden	255	0.0	100.0
Netherlands Leiden	256	0.0	100.0
Netherlands Leiden	257	0.0	100.0
Netherlands Leiden	258	0.0	100.0
Netherlands Leiden	259	0.0	100.0
Netherlands Leiden	260	0.0	100.0
Netherlands Leiden	261	0.0	100.0
Netherlands Leiden	262	0.0	100.0
Netherlands Leiden	263	0.0	100.0
Netherlands Leiden	264	0.0	100.0
Netherlands Leiden	265	0.0	100.0
Netherlands Leiden	266	0.0	100.0
Netherlands Leiden	267	0.0	100.0
Netherlands Leiden	268	0.0	100.0
Netherlands Leiden	269	0.0	100.0
Netherlands Leiden	270	0.0	100.0
Netherlands Leiden	271	0.0	100.0
Netherlands Leiden	272	0.0	100.0
Netherlands Leiden	273	0.0	100.0
Netherlands Leiden	274	0.0	100.0
Netherlands Leiden	275	0.0	100.0
Netherlands Leiden	276	0.0	100.0
Netherlands Leiden	277	0.0	100.0
Netherlands Leiden	278	0.0	100.0
Netherlands Leiden	279	0.0	100.0
Netherlands Leiden	280	0.0	100.0
Netherlands Leiden	281	0.0	100.0
Netherlands Leiden	282	0.0	100.0
Netherlands Leiden	283	0.0	100.0
Netherlands Leiden	284	0.0	100.0
Netherlands Leiden	285	0.0	100.0
Netherlands Leiden	286	0.0	100.0
Netherlands Leiden	287	0.0	100.0
Netherlands Leiden	288	0.0	100.0
Netherlands Leiden	289	0.0	100.0
Netherlands Leiden	290	0.0	100.0
Netherlands Leiden	291	0.0	100.0
Netherlands Leiden	292	0.0	100.0
Netherlands Leiden	293	0.0	100.0
Netherlands Leiden	294	0.0	100.0
Netherlands Leiden	295	0.0	100.0
Netherlands Leiden	296	0.0	100.0
Netherlands Leiden	297	0.0	100.0
Netherlands Leiden	298	0.0	100.0
Netherlands Leiden	299	0.0	100.0
Netherlands Leiden	300	0.0	100.0
Netherlands Leiden	301	0.0	100.0
Netherlands Leiden	302	0.0	100.0
Netherlands Leiden	303	0.0	100.0
Netherlands Leiden	304	0.0	100.0
Netherlands Leiden	305	0.0	100.0
Netherlands Leiden	306	0.0	100.0
Netherlands Leiden	307	0.0	100.0
Netherlands Leiden	308	0.0	100.0
Netherlands Leiden	309	0.0	100.0
Netherlands Leiden	310	0.0	100.0
Netherlands Leiden	311	0.0	100.0
Netherlands Leiden	312	0.0	100.0
Netherlands Leiden	313	0.0	100.0
Netherlands Leiden	314	0.0	100.0
Netherlands Leiden	315	0.0	100.0
Netherlands Leiden	316	0.0	100.0
Netherlands Leiden	317	0.0	100.0
Netherlands Leiden	318	0.0	100.0
Netherlands Leiden	319	0.0	100.0
Netherlands Leiden	320	0.0	100.0
Netherlands Leiden	321	0.0	100.0
Netherlands Leiden	322	0.0	100.0
Netherlands Leiden	323	0.0	100.0
Netherlands Leiden	324	0.0	100.0
Netherlands Leiden	325	0.0	100.0
Netherlands Leiden	326	0.0	100.0
Netherlands Leiden	327	0.0	100.0
Netherlands Leiden	328	0.0	100.0
Netherlands Leiden	329	0.0	100.0
Netherlands Leiden	330	0.0	100.0
Netherlands Leiden	331	0.0	100.0
Netherlands Leiden	332	0.0	100.0
Netherlands Leiden	333	0.0	100.0
Netherlands Leiden	334	0.0	100.0
Netherlands Leiden	335	0.0	100.0
Netherlands Leiden	336	0.0	100.0
Netherlands Leiden	337	0.0	100.0
Netherlands Leiden	338	0.0	100.0
Netherlands Leiden	339	0.0	100.0
Netherlands Leiden	340	0.0	100.0
Netherlands Leiden	341	0.0	100.0
Netherlands Leiden	342	0.0	100.0
Netherlands Leiden	343	0.0	100.0
Netherlands Leiden	344	0.0	100.0
Netherlands Leiden	345	0.0	100.0
Netherlands Leiden	346	0.0	100.0
Netherlands Leiden	347	0.0	100.0
Netherlands Leiden	348	0.0	100.0
Netherlands Leiden	349	0.0	100.0
Netherlands Leiden	350	0.0	100.0
Netherlands Leiden	351	0.0	100.0
Netherlands Leiden	352	0.0	100.0
Netherlands Leiden	353	0.0	100.0
Netherlands Leiden	354	0.0	100.0
Netherlands Leiden	355	0.0	100.0
Netherlands Leiden	356	0.0	100.0
Netherlands Leiden	357	0.0	100.0
Netherlands Leiden	358	0.0	100.0
Netherlands Leiden	359	0.0	100.0
Netherlands Leiden	360	0.0	100.0
Netherlands Leiden	361	0.0	100.0
Netherlands Leiden	362	0.0	100.0
Netherlands Leiden	363	0.0	100.0
Netherlands Leiden	364	0.0	100.0
Netherlands Leiden	365	0.0	100.0
Netherlands Leiden	366	0.0	100.0
Netherlands Leiden	367	0.0	100.0
Netherlands Leiden	368	0.0	100.0
Netherlands Leiden	369	0.0	100.0
Netherlands Leiden	370	0.0	100.0
Netherlands Leiden	371	0.0	100.0
Netherlands Leiden	372	0.0	100.0
Netherlands Leiden	373	0.0	100.0
Netherlands Leiden	374	0.0	100.0
Netherlands Leiden	375	0.0	100.0
Netherlands Leiden	376	0.0	100.0
Netherlands Leiden	377	0.0	100.0
Netherlands Leiden	378	0.0	100.0
Netherlands Leiden	379	0.0	100.0
Netherlands Leiden	380	0.0	100.0
Netherlands Leiden	381	0.0	100.0
Netherlands Leiden	382	0.0	100.0
Netherlands Leiden	383	0.0	100.0
Netherlands Leiden	384	0.0	100.0
Netherlands Leiden	385	0.0	100.0
Netherlands Leiden	386	0.0	100.0
Netherlands Leiden	387	0.0	100.0
Netherlands Leiden	388	0.0	100.0
Netherlands Leiden	389	0.0	100.0
Netherlands Leiden	390	0.0	100.0
Netherlands Leiden	391	0.0	100.0
Netherlands Leiden	392	0.0	100.0
Netherlands Leiden	393	0.0	100.0
Netherlands Leiden	394	0.0	100.0
Netherlands Leiden	395	0.0	100.0
Netherlands Leiden	396	0.0	100.0
Netherlands Leiden	397	0.0	100.0
Netherlands Leiden	398	0.0	100.0
Netherlands Leiden	399	0.0	100.0
Netherlands Leiden	400	0.0	100.0
Netherlands Leiden	401	0.0	100.0
Netherlands Leiden	402	0.0	100.0
Netherlands Leiden	403	0.0	100.0
Netherlands Leiden	404	0.0	100.0
Netherlands Leiden	405	0.0	100.0
Netherlands Leiden	406	0.0	100.0
Netherlands Leiden	407	0.0	100.0
Netherlands Leiden	408	0.0	100.0
Netherlands Leiden	409	0.0	100.0
Netherlands Leiden	410	0.0	100.0
Netherlands Leiden	411	0.0	100.0
Netherlands Leiden	412	0.0	100.0
Netherlands Leiden	413	0.0	100.0
Netherlands Leiden	414	0.0	100.0
Netherlands Leiden	415	0.0	100.0
Netherlands Leiden	416	0.0	100.0
Netherlands Leiden	417	0.0	100.0
Netherlands Leiden	418	0.0	100.0
Netherlands Leiden	419	0.0	100.0
Netherlands Leiden	420	0.0	100.0
Netherlands Leiden	421	0.0	100.0
Netherlands Leiden	422	0.0	100.0
Netherlands Leiden	423	0.0	100.0
Netherlands Leiden	424	0.0	100.0
Netherlands Leiden	425	0.0	100.0
Netherlands Leiden	426	0.0	100.0
Netherlands Leiden	427	0.0	100.0
Netherlands Leiden	428	0.0	100.0
Netherlands Leiden	429	0.0	100.0
Netherlands Leiden	430	0.0	100.0
Netherlands Leiden	431	0.0	100.0
Netherlands Leiden	432	0.0	100.0
Netherlands Leiden	433	0.0	100.0
Netherlands Leiden	434	0.0	100.0
Netherlands Leiden	435	0.0	100.0
Netherlands Leiden	436	0.0	100.0
Netherlands Leiden	437	0.0	100.0
Netherlands Leiden	438	0.0	100.0
Netherlands Leiden	439	0.0	100.0
Netherlands Leiden	440	0.0	100.0
Netherlands Leiden	441	0.0	100.0
Netherlands Leiden	442	0.0	100.0
Netherlands Leiden	443	0.0	100.0
Netherlands Leiden	444	0.0	100.0
Netherlands Leiden	445	0.0	100.0
Netherlands Leiden	446	0.0	100.0
Netherlands Leiden	447	0.0	100.0
Netherlands Leiden	448	0.0	100.0
Netherlands Leiden	449	0.0	100.0
Netherlands Leiden	450	0.0	100.0
Netherlands Leiden	451	0.0	100.0
Netherlands Leiden	452	0.0	100.0
Netherlands Leiden	453	0.0	100.0
Netherlands Leiden	454	0.0	100.0
Netherlands Leiden	455	0.0	100.0
