class I
population/area	coverage	average_hit	pc90
New Zealand Maori with Full Ancestry	100.0%	12834.82	6056.89
average	100.0%	12834.82	6056.89
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
New Zealand Maori with Full Ancestry	0	0.0	100.0
New Zealand Maori with Full Ancestry	1	0.0	100.0
New Zealand Maori with Full Ancestry	2	0.0	100.0
New Zealand Maori with Full Ancestry	3	0.0	100.0
New Zealand Maori with Full Ancestry	4	0.0	100.0
New Zealand Maori with Full Ancestry	5	0.0	100.0
New Zealand Maori with Full Ancestry	6	0.0	100.0
New Zealand Maori with Full Ancestry	7	0.0	100.0
New Zealand Maori with Full Ancestry	8	0.0	100.0
New Zealand Maori with Full Ancestry	9	0.01	100.0
New Zealand Maori with Full Ancestry	10	0.0	99.99
New Zealand Maori with Full Ancestry	11	0.0	99.99
New Zealand Maori with Full Ancestry	12	0.0	99.99
New Zealand Maori with Full Ancestry	13	0.0	99.99
New Zealand Maori with Full Ancestry	14	0.0	99.99
New Zealand Maori with Full Ancestry	15	0.0	99.99
New Zealand Maori with Full Ancestry	16	0.0	99.99
New Zealand Maori with Full Ancestry	17	0.0	99.99
New Zealand Maori with Full Ancestry	18	0.0	99.99
New Zealand Maori with Full Ancestry	19	0.0	99.99
New Zealand Maori with Full Ancestry	20	0.0	99.99
New Zealand Maori with Full Ancestry	21	0.0	99.99
New Zealand Maori with Full Ancestry	22	0.0	99.99
New Zealand Maori with Full Ancestry	23	0.0	99.99
New Zealand Maori with Full Ancestry	24	0.0	99.99
New Zealand Maori with Full Ancestry	25	0.0	99.99
New Zealand Maori with Full Ancestry	26	0.0	99.99
New Zealand Maori with Full Ancestry	27	0.0	99.99
New Zealand Maori with Full Ancestry	28	0.0	99.99
New Zealand Maori with Full Ancestry	29	0.0	99.99
New Zealand Maori with Full Ancestry	30	0.0	99.99
New Zealand Maori with Full Ancestry	31	0.0	99.99
New Zealand Maori with Full Ancestry	32	0.0	99.99
New Zealand Maori with Full Ancestry	33	0.0	99.99
New Zealand Maori with Full Ancestry	34	0.0	99.99
New Zealand Maori with Full Ancestry	35	0.0	99.99
New Zealand Maori with Full Ancestry	36	0.0	99.99
New Zealand Maori with Full Ancestry	37	0.03	99.99
New Zealand Maori with Full Ancestry	38	0.0	99.96
New Zealand Maori with Full Ancestry	39	0.0	99.96
New Zealand Maori with Full Ancestry	40	0.0	99.96
New Zealand Maori with Full Ancestry	41	0.0	99.96
New Zealand Maori with Full Ancestry	42	0.0	99.96
New Zealand Maori with Full Ancestry	43	0.0	99.96
New Zealand Maori with Full Ancestry	44	0.0	99.96
New Zealand Maori with Full Ancestry	45	0.0	99.96
New Zealand Maori with Full Ancestry	46	0.0	99.96
New Zealand Maori with Full Ancestry	47	0.0	99.96
New Zealand Maori with Full Ancestry	48	0.0	99.96
New Zealand Maori with Full Ancestry	49	0.0	99.96
New Zealand Maori with Full Ancestry	50	0.0	99.96
New Zealand Maori with Full Ancestry	51	0.0	99.96
New Zealand Maori with Full Ancestry	52	0.0	99.96
New Zealand Maori with Full Ancestry	53	0.0	99.96
New Zealand Maori with Full Ancestry	54	0.0	99.96
New Zealand Maori with Full Ancestry	55	0.0	99.96
New Zealand Maori with Full Ancestry	56	0.0	99.95
New Zealand Maori with Full Ancestry	57	0.0	99.95
New Zealand Maori with Full Ancestry	58	0.0	99.95
New Zealand Maori with Full Ancestry	59	0.0	99.95
New Zealand Maori with Full Ancestry	60	0.0	99.95
New Zealand Maori with Full Ancestry	61	0.0	99.95
New Zealand Maori with Full Ancestry	62	0.0	99.95
New Zealand Maori with Full Ancestry	63	0.0	99.95
New Zealand Maori with Full Ancestry	64	0.0	99.95
New Zealand Maori with Full Ancestry	65	0.0	99.95
New Zealand Maori with Full Ancestry	66	0.0	99.95
New Zealand Maori with Full Ancestry	67	0.0	99.95
New Zealand Maori with Full Ancestry	68	0.0	99.95
New Zealand Maori with Full Ancestry	69	0.0	99.95
New Zealand Maori with Full Ancestry	70	0.0	99.95
New Zealand Maori with Full Ancestry	71	0.01	99.95
New Zealand Maori with Full Ancestry	72	0.0	99.95
New Zealand Maori with Full Ancestry	73	0.0	99.95
New Zealand Maori with Full Ancestry	74	0.0	99.95
New Zealand Maori with Full Ancestry	75	0.0	99.95
New Zealand Maori with Full Ancestry	76	0.0	99.95
New Zealand Maori with Full Ancestry	77	0.0	99.95
New Zealand Maori with Full Ancestry	78	0.0	99.95
New Zealand Maori with Full Ancestry	79	0.0	99.95
New Zealand Maori with Full Ancestry	80	0.01	99.95
New Zealand Maori with Full Ancestry	81	0.0	99.94
New Zealand Maori with Full Ancestry	82	0.0	99.94
New Zealand Maori with Full Ancestry	83	0.0	99.94
New Zealand Maori with Full Ancestry	84	0.0	99.93
New Zealand Maori with Full Ancestry	85	0.0	99.93
New Zealand Maori with Full Ancestry	86	0.0	99.93
New Zealand Maori with Full Ancestry	87	0.0	99.93
New Zealand Maori with Full Ancestry	88	0.0	99.93
New Zealand Maori with Full Ancestry	89	0.0	99.93
New Zealand Maori with Full Ancestry	90	0.0	99.93
New Zealand Maori with Full Ancestry	91	0.0	99.93
New Zealand Maori with Full Ancestry	92	0.0	99.93
New Zealand Maori with Full Ancestry	93	0.0	99.93
New Zealand Maori with Full Ancestry	94	0.0	99.93
New Zealand Maori with Full Ancestry	95	0.0	99.93
New Zealand Maori with Full Ancestry	96	0.0	99.93
New Zealand Maori with Full Ancestry	97	0.0	99.93
New Zealand Maori with Full Ancestry	98	0.0	99.93
New Zealand Maori with Full Ancestry	99	0.0	99.93
New Zealand Maori with Full Ancestry	100	0.0	99.93
New Zealand Maori with Full Ancestry	101	0.0	99.93
New Zealand Maori with Full Ancestry	102	0.0	99.93
New Zealand Maori with Full Ancestry	103	0.0	99.93
New Zealand Maori with Full Ancestry	104	0.0	99.93
New Zealand Maori with Full Ancestry	105	0.0	99.93
New Zealand Maori with Full Ancestry	106	0.0	99.93
New Zealand Maori with Full Ancestry	107	0.0	99.93
New Zealand Maori with Full Ancestry	108	0.0	99.93
New Zealand Maori with Full Ancestry	109	0.0	99.93
New Zealand Maori with Full Ancestry	110	0.0	99.93
New Zealand Maori with Full Ancestry	111	0.0	99.93
New Zealand Maori with Full Ancestry	112	0.0	99.93
New Zealand Maori with Full Ancestry	113	0.0	99.93
New Zealand Maori with Full Ancestry	114	0.0	99.93
New Zealand Maori with Full Ancestry	115	0.0	99.93
New Zealand Maori with Full Ancestry	116	0.0	99.93
New Zealand Maori with Full Ancestry	117	0.0	99.93
New Zealand Maori with Full Ancestry	118	0.0	99.93
New Zealand Maori with Full Ancestry	119	0.0	99.93
New Zealand Maori with Full Ancestry	120	0.0	99.93
New Zealand Maori with Full Ancestry	121	0.0	99.93
New Zealand Maori with Full Ancestry	122	0.0	99.93
New Zealand Maori with Full Ancestry	123	0.0	99.93
New Zealand Maori with Full Ancestry	124	0.0	99.93
New Zealand Maori with Full Ancestry	125	0.0	99.93
New Zealand Maori with Full Ancestry	126	0.0	99.93
New Zealand Maori with Full Ancestry	127	0.0	99.93
New Zealand Maori with Full Ancestry	128	0.0	99.93
New Zealand Maori with Full Ancestry	129	0.0	99.93
New Zealand Maori with Full Ancestry	130	0.0	99.93
New Zealand Maori with Full Ancestry	131	0.0	99.93
New Zealand Maori with Full Ancestry	132	0.0	99.93
New Zealand Maori with Full Ancestry	133	0.0	99.93
New Zealand Maori with Full Ancestry	134	0.0	99.93
New Zealand Maori with Full Ancestry	135	0.0	99.93
New Zealand Maori with Full Ancestry	136	0.0	99.93
New Zealand Maori with Full Ancestry	137	0.0	99.93
New Zealand Maori with Full Ancestry	138	0.0	99.93
New Zealand Maori with Full Ancestry	139	0.0	99.93
New Zealand Maori with Full Ancestry	140	0.0	99.93
New Zealand Maori with Full Ancestry	141	0.0	99.93
New Zealand Maori with Full Ancestry	142	0.0	99.93
New Zealand Maori with Full Ancestry	143	0.0	99.93
New Zealand Maori with Full Ancestry	144	0.0	99.93
New Zealand Maori with Full Ancestry	145	0.0	99.93
New Zealand Maori with Full Ancestry	146	0.0	99.93
New Zealand Maori with Full Ancestry	147	0.0	99.93
New Zealand Maori with Full Ancestry	148	0.0	99.93
New Zealand Maori with Full Ancestry	149	0.0	99.93
New Zealand Maori with Full Ancestry	150	0.0	99.93
New Zealand Maori with Full Ancestry	151	0.0	99.93
New Zealand Maori with Full Ancestry	152	0.0	99.93
New Zealand Maori with Full Ancestry	153	0.0	99.93
New Zealand Maori with Full Ancestry	154	0.0	99.93
New Zealand Maori with Full Ancestry	155	0.0	99.93
New Zealand Maori with Full Ancestry	156	0.0	99.93
New Zealand Maori with Full Ancestry	157	0.0	99.93
New Zealand Maori with Full Ancestry	158	0.0	99.93
New Zealand Maori with Full Ancestry	159	0.0	99.93
New Zealand Maori with Full Ancestry	160	0.0	99.93
New Zealand Maori with Full Ancestry	161	0.0	99.93
New Zealand Maori with Full Ancestry	162	0.0	99.93
New Zealand Maori with Full Ancestry	163	0.0	99.93
New Zealand Maori with Full Ancestry	164	0.0	99.93
New Zealand Maori with Full Ancestry	165	0.0	99.93
New Zealand Maori with Full Ancestry	166	0.0	99.93
New Zealand Maori with Full Ancestry	167	0.0	99.93
New Zealand Maori with Full Ancestry	168	0.0	99.93
New Zealand Maori with Full Ancestry	169	0.0	99.93
New Zealand Maori with Full Ancestry	170	0.0	99.93
New Zealand Maori with Full Ancestry	171	0.0	99.93
New Zealand Maori with Full Ancestry	172	0.0	99.93
New Zealand Maori with Full Ancestry	173	0.0	99.93
New Zealand Maori with Full Ancestry	174	0.0	99.93
New Zealand Maori with Full Ancestry	175	0.0	99.93
New Zealand Maori with Full Ancestry	176	0.0	99.93
New Zealand Maori with Full Ancestry	177	0.0	99.93
New Zealand Maori with Full Ancestry	178	0.0	99.93
New Zealand Maori with Full Ancestry	179	0.0	99.93
New Zealand Maori with Full Ancestry	180	0.0	99.93
New Zealand Maori with Full Ancestry	181	0.01	99.93
New Zealand Maori with Full Ancestry	182	0.0	99.92
New Zealand Maori with Full Ancestry	183	0.0	99.92
New Zealand Maori with Full Ancestry	184	0.0	99.92
New Zealand Maori with Full Ancestry	185	0.0	99.91
New Zealand Maori with Full Ancestry	186	0.0	99.91
New Zealand Maori with Full Ancestry	187	0.0	99.91
New Zealand Maori with Full Ancestry	188	0.0	99.91
New Zealand Maori with Full Ancestry	189	0.0	99.91
New Zealand Maori with Full Ancestry	190	0.0	99.91
New Zealand Maori with Full Ancestry	191	0.0	99.91
New Zealand Maori with Full Ancestry	192	0.0	99.91
New Zealand Maori with Full Ancestry	193	0.0	99.91
New Zealand Maori with Full Ancestry	194	0.0	99.91
New Zealand Maori with Full Ancestry	195	0.0	99.91
New Zealand Maori with Full Ancestry	196	0.0	99.91
New Zealand Maori with Full Ancestry	197	0.0	99.91
New Zealand Maori with Full Ancestry	198	0.0	99.91
New Zealand Maori with Full Ancestry	199	0.0	99.91
New Zealand Maori with Full Ancestry	200	0.0	99.91
