class I
population/area	coverage	average_hit	pc90
New Zealand Polynesians with Admixed History	99.99%	15134.2	6092.84
average	99.99%	15134.2	6092.84
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
New Zealand Polynesians with Admixed History	0	0.01	100.0
New Zealand Polynesians with Admixed History	1	0.0	99.99
New Zealand Polynesians with Admixed History	2	0.0	99.99
New Zealand Polynesians with Admixed History	3	0.0	99.99
New Zealand Polynesians with Admixed History	4	0.0	99.99
New Zealand Polynesians with Admixed History	5	0.0	99.99
New Zealand Polynesians with Admixed History	6	0.0	99.99
New Zealand Polynesians with Admixed History	7	0.0	99.99
New Zealand Polynesians with Admixed History	8	0.0	99.99
New Zealand Polynesians with Admixed History	9	0.05	99.99
New Zealand Polynesians with Admixed History	10	0.0	99.94
New Zealand Polynesians with Admixed History	11	0.0	99.94
New Zealand Polynesians with Admixed History	12	0.01	99.94
New Zealand Polynesians with Admixed History	13	0.0	99.93
New Zealand Polynesians with Admixed History	14	0.0	99.93
New Zealand Polynesians with Admixed History	15	0.0	99.93
New Zealand Polynesians with Admixed History	16	0.0	99.93
New Zealand Polynesians with Admixed History	17	0.0	99.93
New Zealand Polynesians with Admixed History	18	0.0	99.93
New Zealand Polynesians with Admixed History	19	0.0	99.93
New Zealand Polynesians with Admixed History	20	0.0	99.93
New Zealand Polynesians with Admixed History	21	0.0	99.93
New Zealand Polynesians with Admixed History	22	0.0	99.93
New Zealand Polynesians with Admixed History	23	0.0	99.93
New Zealand Polynesians with Admixed History	24	0.0	99.93
New Zealand Polynesians with Admixed History	25	0.0	99.93
New Zealand Polynesians with Admixed History	26	0.0	99.93
New Zealand Polynesians with Admixed History	27	0.0	99.93
New Zealand Polynesians with Admixed History	28	0.01	99.93
New Zealand Polynesians with Admixed History	29	0.0	99.93
New Zealand Polynesians with Admixed History	30	0.0	99.93
New Zealand Polynesians with Admixed History	31	0.0	99.93
New Zealand Polynesians with Admixed History	32	0.0	99.93
New Zealand Polynesians with Admixed History	33	0.0	99.93
New Zealand Polynesians with Admixed History	34	0.0	99.93
New Zealand Polynesians with Admixed History	35	0.0	99.93
New Zealand Polynesians with Admixed History	36	0.0	99.93
New Zealand Polynesians with Admixed History	37	0.06	99.93
New Zealand Polynesians with Admixed History	38	0.0	99.87
New Zealand Polynesians with Admixed History	39	0.0	99.87
New Zealand Polynesians with Admixed History	40	0.0	99.87
New Zealand Polynesians with Admixed History	41	0.0	99.86
New Zealand Polynesians with Admixed History	42	0.0	99.86
New Zealand Polynesians with Admixed History	43	0.01	99.86
New Zealand Polynesians with Admixed History	44	0.0	99.86
New Zealand Polynesians with Admixed History	45	0.0	99.86
New Zealand Polynesians with Admixed History	46	0.0	99.86
New Zealand Polynesians with Admixed History	47	0.0	99.85
New Zealand Polynesians with Admixed History	48	0.0	99.85
New Zealand Polynesians with Admixed History	49	0.0	99.85
New Zealand Polynesians with Admixed History	50	0.0	99.85
New Zealand Polynesians with Admixed History	51	0.0	99.85
New Zealand Polynesians with Admixed History	52	0.01	99.85
New Zealand Polynesians with Admixed History	53	0.0	99.84
New Zealand Polynesians with Admixed History	54	0.0	99.84
New Zealand Polynesians with Admixed History	55	0.0	99.84
New Zealand Polynesians with Admixed History	56	0.0	99.84
New Zealand Polynesians with Admixed History	57	0.0	99.84
New Zealand Polynesians with Admixed History	58	0.0	99.84
New Zealand Polynesians with Admixed History	59	0.0	99.84
New Zealand Polynesians with Admixed History	60	0.0	99.84
New Zealand Polynesians with Admixed History	61	0.0	99.84
New Zealand Polynesians with Admixed History	62	0.0	99.84
New Zealand Polynesians with Admixed History	63	0.0	99.84
New Zealand Polynesians with Admixed History	64	0.0	99.84
New Zealand Polynesians with Admixed History	65	0.0	99.84
New Zealand Polynesians with Admixed History	66	0.0	99.84
New Zealand Polynesians with Admixed History	67	0.0	99.84
New Zealand Polynesians with Admixed History	68	0.0	99.84
New Zealand Polynesians with Admixed History	69	0.0	99.84
New Zealand Polynesians with Admixed History	70	0.0	99.84
New Zealand Polynesians with Admixed History	71	0.01	99.84
New Zealand Polynesians with Admixed History	72	0.0	99.83
New Zealand Polynesians with Admixed History	73	0.0	99.83
New Zealand Polynesians with Admixed History	74	0.0	99.83
New Zealand Polynesians with Admixed History	75	0.0	99.83
New Zealand Polynesians with Admixed History	76	0.0	99.83
New Zealand Polynesians with Admixed History	77	0.0	99.83
New Zealand Polynesians with Admixed History	78	0.0	99.83
New Zealand Polynesians with Admixed History	79	0.0	99.83
New Zealand Polynesians with Admixed History	80	0.02	99.83
New Zealand Polynesians with Admixed History	81	0.0	99.81
New Zealand Polynesians with Admixed History	82	0.0	99.81
New Zealand Polynesians with Admixed History	83	0.0	99.81
New Zealand Polynesians with Admixed History	84	0.0	99.81
New Zealand Polynesians with Admixed History	85	0.0	99.81
New Zealand Polynesians with Admixed History	86	0.0	99.81
New Zealand Polynesians with Admixed History	87	0.0	99.81
New Zealand Polynesians with Admixed History	88	0.0	99.81
New Zealand Polynesians with Admixed History	89	0.0	99.81
New Zealand Polynesians with Admixed History	90	0.0	99.81
New Zealand Polynesians with Admixed History	91	0.0	99.81
New Zealand Polynesians with Admixed History	92	0.0	99.81
New Zealand Polynesians with Admixed History	93	0.0	99.81
New Zealand Polynesians with Admixed History	94	0.0	99.81
New Zealand Polynesians with Admixed History	95	0.0	99.81
New Zealand Polynesians with Admixed History	96	0.0	99.81
New Zealand Polynesians with Admixed History	97	0.0	99.81
New Zealand Polynesians with Admixed History	98	0.0	99.81
New Zealand Polynesians with Admixed History	99	0.0	99.81
New Zealand Polynesians with Admixed History	100	0.0	99.81
New Zealand Polynesians with Admixed History	101	0.0	99.81
New Zealand Polynesians with Admixed History	102	0.0	99.81
New Zealand Polynesians with Admixed History	103	0.0	99.81
New Zealand Polynesians with Admixed History	104	0.0	99.81
New Zealand Polynesians with Admixed History	105	0.0	99.81
New Zealand Polynesians with Admixed History	106	0.0	99.81
New Zealand Polynesians with Admixed History	107	0.0	99.81
New Zealand Polynesians with Admixed History	108	0.0	99.81
New Zealand Polynesians with Admixed History	109	0.0	99.81
New Zealand Polynesians with Admixed History	110	0.0	99.81
New Zealand Polynesians with Admixed History	111	0.0	99.81
New Zealand Polynesians with Admixed History	112	0.0	99.81
New Zealand Polynesians with Admixed History	113	0.0	99.81
New Zealand Polynesians with Admixed History	114	0.0	99.81
New Zealand Polynesians with Admixed History	115	0.0	99.81
New Zealand Polynesians with Admixed History	116	0.0	99.81
New Zealand Polynesians with Admixed History	117	0.0	99.81
New Zealand Polynesians with Admixed History	118	0.0	99.81
New Zealand Polynesians with Admixed History	119	0.0	99.81
New Zealand Polynesians with Admixed History	120	0.0	99.81
