class I
population/area	coverage	average_hit	pc90
Nicaragua Managua	100.0%	17259.21	6869.6
average	100.0%	17259.21	6869.6
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Nicaragua Managua	0	0.0	100.0
Nicaragua Managua	1	0.0	100.0
Nicaragua Managua	2	0.0	100.0
Nicaragua Managua	3	0.0	100.0
Nicaragua Managua	4	0.0	99.99
Nicaragua Managua	5	0.0	99.99
Nicaragua Managua	6	0.0	99.99
Nicaragua Managua	7	0.0	99.99
Nicaragua Managua	8	0.0	99.99
Nicaragua Managua	9	0.0	99.99
Nicaragua Managua	10	0.0	99.99
Nicaragua Managua	11	0.0	99.99
Nicaragua Managua	12	0.0	99.99
Nicaragua Managua	13	0.0	99.99
Nicaragua Managua	14	0.0	99.99
Nicaragua Managua	15	0.0	99.99
Nicaragua Managua	16	0.0	99.99
Nicaragua Managua	17	0.0	99.99
Nicaragua Managua	18	0.0	99.99
Nicaragua Managua	19	0.0	99.99
Nicaragua Managua	20	0.0	99.99
Nicaragua Managua	21	0.0	99.99
Nicaragua Managua	22	0.0	99.99
Nicaragua Managua	23	0.0	99.99
Nicaragua Managua	24	0.0	99.99
Nicaragua Managua	25	0.0	99.99
Nicaragua Managua	26	0.0	99.99
Nicaragua Managua	27	0.0	99.99
Nicaragua Managua	28	0.0	99.99
Nicaragua Managua	29	0.0	99.99
Nicaragua Managua	30	0.0	99.98
Nicaragua Managua	31	0.0	99.98
Nicaragua Managua	32	0.0	99.98
Nicaragua Managua	33	0.0	99.98
Nicaragua Managua	34	0.0	99.98
Nicaragua Managua	35	0.0	99.98
Nicaragua Managua	36	0.0	99.98
Nicaragua Managua	37	0.0	99.98
Nicaragua Managua	38	0.0	99.98
Nicaragua Managua	39	0.0	99.98
Nicaragua Managua	40	0.0	99.98
Nicaragua Managua	41	0.0	99.98
Nicaragua Managua	42	0.0	99.98
Nicaragua Managua	43	0.0	99.98
Nicaragua Managua	44	0.0	99.98
Nicaragua Managua	45	0.0	99.98
Nicaragua Managua	46	0.0	99.98
Nicaragua Managua	47	0.0	99.98
Nicaragua Managua	48	0.0	99.98
Nicaragua Managua	49	0.0	99.98
Nicaragua Managua	50	0.0	99.98
Nicaragua Managua	51	0.0	99.98
Nicaragua Managua	52	0.0	99.98
Nicaragua Managua	53	0.0	99.98
Nicaragua Managua	54	0.0	99.98
Nicaragua Managua	55	0.0	99.98
Nicaragua Managua	56	0.0	99.98
Nicaragua Managua	57	0.0	99.98
Nicaragua Managua	58	0.0	99.98
Nicaragua Managua	59	0.0	99.98
Nicaragua Managua	60	0.0	99.98
Nicaragua Managua	61	0.0	99.98
Nicaragua Managua	62	0.0	99.98
Nicaragua Managua	63	0.0	99.98
Nicaragua Managua	64	0.0	99.98
Nicaragua Managua	65	0.0	99.98
Nicaragua Managua	66	0.0	99.98
Nicaragua Managua	67	0.0	99.98
Nicaragua Managua	68	0.0	99.98
Nicaragua Managua	69	0.0	99.98
Nicaragua Managua	70	0.0	99.98
Nicaragua Managua	71	0.0	99.98
Nicaragua Managua	72	0.0	99.98
Nicaragua Managua	73	0.0	99.98
Nicaragua Managua	74	0.0	99.98
Nicaragua Managua	75	0.0	99.98
Nicaragua Managua	76	0.0	99.98
Nicaragua Managua	77	0.0	99.98
Nicaragua Managua	78	0.0	99.98
Nicaragua Managua	79	0.0	99.98
Nicaragua Managua	80	0.0	99.98
Nicaragua Managua	81	0.0	99.98
Nicaragua Managua	82	0.0	99.98
Nicaragua Managua	83	0.0	99.98
Nicaragua Managua	84	0.0	99.98
Nicaragua Managua	85	0.0	99.98
Nicaragua Managua	86	0.0	99.98
Nicaragua Managua	87	0.0	99.98
Nicaragua Managua	88	0.0	99.98
Nicaragua Managua	89	0.0	99.98
Nicaragua Managua	90	0.0	99.98
Nicaragua Managua	91	0.0	99.98
Nicaragua Managua	92	0.0	99.98
Nicaragua Managua	93	0.0	99.98
Nicaragua Managua	94	0.0	99.98
Nicaragua Managua	95	0.0	99.98
