class I
population/area	coverage	average_hit	pc90
Panama	100.0%	16433.84	7023.3
average	100.0%	16433.84	7023.3
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Panama	0	0.0	100.0
Panama	1	0.0	100.0
Panama	2	0.0	100.0
Panama	3	0.0	100.0
Panama	4	0.0	100.0
Panama	5	0.0	100.0
Panama	6	0.0	100.0
Panama	7	0.0	100.0
Panama	8	0.0	100.0
Panama	9	0.0	100.0
Panama	10	0.0	100.0
Panama	11	0.0	100.0
Panama	12	0.0	100.0
Panama	13	0.0	100.0
Panama	14	0.0	100.0
Panama	15	0.0	100.0
Panama	16	0.0	100.0
Panama	17	0.0	100.0
Panama	18	0.0	100.0
Panama	19	0.0	99.99
Panama	20	0.0	99.99
Panama	21	0.0	99.99
Panama	22	0.0	99.99
Panama	23	0.0	99.99
Panama	24	0.0	99.99
Panama	25	0.0	99.99
Panama	26	0.0	99.99
Panama	27	0.0	99.99
Panama	28	0.0	99.99
Panama	29	0.0	99.99
Panama	30	0.0	99.99
Panama	31	0.0	99.99
Panama	32	0.0	99.99
Panama	33	0.0	99.99
Panama	34	0.0	99.99
Panama	35	0.0	99.99
Panama	36	0.0	99.99
Panama	37	0.0	99.99
Panama	38	0.0	99.99
Panama	39	0.0	99.99
Panama	40	0.0	99.99
Panama	41	0.0	99.99
Panama	42	0.0	99.99
Panama	43	0.0	99.99
Panama	44	0.0	99.99
Panama	45	0.0	99.99
Panama	46	0.0	99.99
Panama	47	0.0	99.99
Panama	48	0.0	99.99
Panama	49	0.0	99.99
Panama	50	0.0	99.99
Panama	51	0.0	99.99
Panama	52	0.0	99.99
Panama	53	0.0	99.99
Panama	54	0.0	99.99
Panama	55	0.0	99.99
Panama	56	0.0	99.99
Panama	57	0.0	99.99
Panama	58	0.0	99.99
Panama	59	0.0	99.99
Panama	60	0.0	99.99
Panama	61	0.0	99.99
Panama	62	0.0	99.99
Panama	63	0.0	99.99
