class I
population/area	coverage	average_hit	pc90
Papua New Guinea Eastern Highlands Goroka Asaro	99.13%	5419.53	3494.02
average	99.13%	5419.53	3494.02
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Papua New Guinea Eastern Highlands Goroka Asaro	0	0.87	100.0
Papua New Guinea Eastern Highlands Goroka Asaro	1	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	2	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	3	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	4	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	5	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	6	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	7	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	8	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	9	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	10	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	11	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	12	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	13	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	14	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	15	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	16	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	17	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	18	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	19	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	20	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	21	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	22	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	23	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	24	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	25	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	26	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	27	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	28	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	29	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	30	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	31	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	32	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	33	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	34	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	35	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	36	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	37	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	38	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	39	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	40	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	41	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	42	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	43	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	44	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	45	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	46	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	47	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	48	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	49	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	50	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	51	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	52	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	53	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	54	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	55	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	56	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	57	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	58	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	59	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	60	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	61	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	62	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	63	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	64	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	65	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	66	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	67	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	68	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	69	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	70	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	71	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	72	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	73	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	74	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	75	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	76	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	77	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	78	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	79	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	80	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	81	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	82	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	83	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	84	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	85	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	86	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	87	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	88	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	89	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	90	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	91	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	92	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	93	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	94	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	95	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	96	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	97	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	98	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	99	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	100	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	101	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	102	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	103	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	104	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	105	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	106	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	107	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	108	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	109	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	110	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	111	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	112	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	113	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	114	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	115	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	116	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	117	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	118	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	119	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	120	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	121	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	122	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	123	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	124	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	125	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	126	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	127	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	128	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	129	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	130	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	131	0.0	99.13
Papua New Guinea Eastern Highlands Goroka Asaro	132	0.0	99.13
