class I
population/area	coverage	average_hit	pc90
Papua New Guinea Wosera Abelam	100.0%	10060.24	5580.41
average	100.0%	10060.24	5580.41
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Papua New Guinea Wosera Abelam	0	0.0	100.0
Papua New Guinea Wosera Abelam	1	0.0	100.0
Papua New Guinea Wosera Abelam	2	0.0	100.0
Papua New Guinea Wosera Abelam	3	0.0	100.0
Papua New Guinea Wosera Abelam	4	0.0	100.0
Papua New Guinea Wosera Abelam	5	0.0	100.0
Papua New Guinea Wosera Abelam	6	0.0	100.0
Papua New Guinea Wosera Abelam	7	0.0	100.0
Papua New Guinea Wosera Abelam	8	0.0	100.0
Papua New Guinea Wosera Abelam	9	0.0	100.0
Papua New Guinea Wosera Abelam	10	0.0	100.0
Papua New Guinea Wosera Abelam	11	0.0	100.0
Papua New Guinea Wosera Abelam	12	0.0	100.0
Papua New Guinea Wosera Abelam	13	0.0	99.99
Papua New Guinea Wosera Abelam	14	0.0	99.99
Papua New Guinea Wosera Abelam	15	0.0	99.99
Papua New Guinea Wosera Abelam	16	0.0	99.99
Papua New Guinea Wosera Abelam	17	0.0	99.99
Papua New Guinea Wosera Abelam	18	0.0	99.99
Papua New Guinea Wosera Abelam	19	0.0	99.99
Papua New Guinea Wosera Abelam	20	0.0	99.99
Papua New Guinea Wosera Abelam	21	0.0	99.99
Papua New Guinea Wosera Abelam	22	0.0	99.99
Papua New Guinea Wosera Abelam	23	0.0	99.99
Papua New Guinea Wosera Abelam	24	0.0	99.99
Papua New Guinea Wosera Abelam	25	0.0	99.99
Papua New Guinea Wosera Abelam	26	0.0	99.99
Papua New Guinea Wosera Abelam	27	0.0	99.99
Papua New Guinea Wosera Abelam	28	0.0	99.99
Papua New Guinea Wosera Abelam	29	0.0	99.99
Papua New Guinea Wosera Abelam	30	0.0	99.99
Papua New Guinea Wosera Abelam	31	0.0	99.99
Papua New Guinea Wosera Abelam	32	0.0	99.99
Papua New Guinea Wosera Abelam	33	0.0	99.99
Papua New Guinea Wosera Abelam	34	0.0	99.99
Papua New Guinea Wosera Abelam	35	0.0	99.99
Papua New Guinea Wosera Abelam	36	0.0	99.99
Papua New Guinea Wosera Abelam	37	0.0	99.99
Papua New Guinea Wosera Abelam	38	0.0	99.98
Papua New Guinea Wosera Abelam	39	0.0	99.98
Papua New Guinea Wosera Abelam	40	0.0	99.98
Papua New Guinea Wosera Abelam	41	0.0	99.98
Papua New Guinea Wosera Abelam	42	0.0	99.98
Papua New Guinea Wosera Abelam	43	0.0	99.98
Papua New Guinea Wosera Abelam	44	0.0	99.98
Papua New Guinea Wosera Abelam	45	0.0	99.98
Papua New Guinea Wosera Abelam	46	0.0	99.98
Papua New Guinea Wosera Abelam	47	0.0	99.98
Papua New Guinea Wosera Abelam	48	0.0	99.98
Papua New Guinea Wosera Abelam	49	0.0	99.98
Papua New Guinea Wosera Abelam	50	0.0	99.98
Papua New Guinea Wosera Abelam	51	0.0	99.98
Papua New Guinea Wosera Abelam	52	0.0	99.98
Papua New Guinea Wosera Abelam	53	0.0	99.98
Papua New Guinea Wosera Abelam	54	0.0	99.98
Papua New Guinea Wosera Abelam	55	0.0	99.98
Papua New Guinea Wosera Abelam	56	0.0	99.98
Papua New Guinea Wosera Abelam	57	0.0	99.98
Papua New Guinea Wosera Abelam	58	0.0	99.98
Papua New Guinea Wosera Abelam	59	0.0	99.98
Papua New Guinea Wosera Abelam	60	0.0	99.98
Papua New Guinea Wosera Abelam	61	0.0	99.98
Papua New Guinea Wosera Abelam	62	0.0	99.98
Papua New Guinea Wosera Abelam	63	0.0	99.98
Papua New Guinea Wosera Abelam	64	0.0	99.98
Papua New Guinea Wosera Abelam	65	0.0	99.98
Papua New Guinea Wosera Abelam	66	0.0	99.98
Papua New Guinea Wosera Abelam	67	0.0	99.98
Papua New Guinea Wosera Abelam	68	0.0	99.98
Papua New Guinea Wosera Abelam	69	0.0	99.98
Papua New Guinea Wosera Abelam	70	0.0	99.98
Papua New Guinea Wosera Abelam	71	0.0	99.98
Papua New Guinea Wosera Abelam	72	0.0	99.98
Papua New Guinea Wosera Abelam	73	0.0	99.98
Papua New Guinea Wosera Abelam	74	0.0	99.98
Papua New Guinea Wosera Abelam	75	0.0	99.98
Papua New Guinea Wosera Abelam	76	0.0	99.98
Papua New Guinea Wosera Abelam	77	0.0	99.98
Papua New Guinea Wosera Abelam	78	0.0	99.98
Papua New Guinea Wosera Abelam	79	0.0	99.98
Papua New Guinea Wosera Abelam	80	0.0	99.98
Papua New Guinea Wosera Abelam	81	0.0	99.98
Papua New Guinea Wosera Abelam	82	0.0	99.98
Papua New Guinea Wosera Abelam	83	0.0	99.98
Papua New Guinea Wosera Abelam	84	0.0	99.98
Papua New Guinea Wosera Abelam	85	0.0	99.98
Papua New Guinea Wosera Abelam	86	0.0	99.98
Papua New Guinea Wosera Abelam	87	0.0	99.98
Papua New Guinea Wosera Abelam	88	0.0	99.98
Papua New Guinea Wosera Abelam	89	0.0	99.98
Papua New Guinea Wosera Abelam	90	0.0	99.98
Papua New Guinea Wosera Abelam	91	0.0	99.98
Papua New Guinea Wosera Abelam	92	0.0	99.98
Papua New Guinea Wosera Abelam	93	0.0	99.98
Papua New Guinea Wosera Abelam	94	0.0	99.98
Papua New Guinea Wosera Abelam	95	0.0	99.98
Papua New Guinea Wosera Abelam	96	0.0	99.98
Papua New Guinea Wosera Abelam	97	0.0	99.98
Papua New Guinea Wosera Abelam	98	0.0	99.98
Papua New Guinea Wosera Abelam	99	0.0	99.98
Papua New Guinea Wosera Abelam	100	0.0	99.98
Papua New Guinea Wosera Abelam	101	0.0	99.98
Papua New Guinea Wosera Abelam	102	0.0	99.98
Papua New Guinea Wosera Abelam	103	0.0	99.98
Papua New Guinea Wosera Abelam	104	0.0	99.98
Papua New Guinea Wosera Abelam	105	0.0	99.98
Papua New Guinea Wosera Abelam	106	0.0	99.98
Papua New Guinea Wosera Abelam	107	0.0	99.98
Papua New Guinea Wosera Abelam	108	0.0	99.98
Papua New Guinea Wosera Abelam	109	0.0	99.98
Papua New Guinea Wosera Abelam	110	0.0	99.98
Papua New Guinea Wosera Abelam	111	0.0	99.98
Papua New Guinea Wosera Abelam	112	0.0	99.98
Papua New Guinea Wosera Abelam	113	0.0	99.98
Papua New Guinea Wosera Abelam	114	0.0	99.98
Papua New Guinea Wosera Abelam	115	0.0	99.98
Papua New Guinea Wosera Abelam	116	0.0	99.98
Papua New Guinea Wosera Abelam	117	0.0	99.98
Papua New Guinea Wosera Abelam	118	0.0	99.98
Papua New Guinea Wosera Abelam	119	0.0	99.98
Papua New Guinea Wosera Abelam	120	0.0	99.98
Papua New Guinea Wosera Abelam	121	0.0	99.98
Papua New Guinea Wosera Abelam	122	0.0	99.98
Papua New Guinea Wosera Abelam	123	0.0	99.98
Papua New Guinea Wosera Abelam	124	0.0	99.98
Papua New Guinea Wosera Abelam	125	0.0	99.98
Papua New Guinea Wosera Abelam	126	0.0	99.98
Papua New Guinea Wosera Abelam	127	0.0	99.98
Papua New Guinea Wosera Abelam	128	0.0	99.98
Papua New Guinea Wosera Abelam	129	0.0	99.98
Papua New Guinea Wosera Abelam	130	0.0	99.98
Papua New Guinea Wosera Abelam	131	0.0	99.98
Papua New Guinea Wosera Abelam	132	0.0	99.98
Papua New Guinea Wosera Abelam	133	0.0	99.98
Papua New Guinea Wosera Abelam	134	0.0	99.98
Papua New Guinea Wosera Abelam	135	0.0	99.98
Papua New Guinea Wosera Abelam	136	0.0	99.98
Papua New Guinea Wosera Abelam	137	0.0	99.98
Papua New Guinea Wosera Abelam	138	0.0	99.98
Papua New Guinea Wosera Abelam	139	0.0	99.98
Papua New Guinea Wosera Abelam	140	0.0	99.98
Papua New Guinea Wosera Abelam	141	0.0	99.98
Papua New Guinea Wosera Abelam	142	0.0	99.98
Papua New Guinea Wosera Abelam	143	0.0	99.98
Papua New Guinea Wosera Abelam	144	0.0	99.98
Papua New Guinea Wosera Abelam	145	0.0	99.98
Papua New Guinea Wosera Abelam	146	0.0	99.98
Papua New Guinea Wosera Abelam	147	0.0	99.98
