class I
population/area	coverage	average_hit	pc90
Philippines Ivatan	100.0%	17604.2	5360.37
average	100.0%	17604.2	5360.37
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Philippines Ivatan	0	0.0	100.0
Philippines Ivatan	1	0.0	100.0
Philippines Ivatan	2	0.0	100.0
Philippines Ivatan	3	0.0	100.0
Philippines Ivatan	4	0.0	100.0
Philippines Ivatan	5	0.0	100.0
Philippines Ivatan	6	0.0	100.0
Philippines Ivatan	7	0.0	100.0
Philippines Ivatan	8	0.0	100.0
Philippines Ivatan	9	0.0	100.0
Philippines Ivatan	10	0.0	99.99
Philippines Ivatan	11	0.0	99.99
Philippines Ivatan	12	0.0	99.99
Philippines Ivatan	13	0.0	99.99
Philippines Ivatan	14	0.0	99.99
Philippines Ivatan	15	0.0	99.99
Philippines Ivatan	16	0.0	99.99
Philippines Ivatan	17	0.0	99.99
Philippines Ivatan	18	0.0	99.99
Philippines Ivatan	19	0.0	99.99
Philippines Ivatan	20	0.0	99.99
Philippines Ivatan	21	0.0	99.99
Philippines Ivatan	22	0.0	99.99
Philippines Ivatan	23	0.0	99.99
Philippines Ivatan	24	0.0	99.99
Philippines Ivatan	25	0.0	99.99
Philippines Ivatan	26	0.0	99.99
Philippines Ivatan	27	0.0	99.99
Philippines Ivatan	28	0.0	99.99
Philippines Ivatan	29	0.0	99.99
Philippines Ivatan	30	0.0	99.99
Philippines Ivatan	31	0.0	99.99
Philippines Ivatan	32	0.0	99.99
Philippines Ivatan	33	0.0	99.99
Philippines Ivatan	34	0.0	99.99
Philippines Ivatan	35	0.0	99.99
Philippines Ivatan	36	0.0	99.99
Philippines Ivatan	37	0.0	99.99
Philippines Ivatan	38	0.0	99.99
Philippines Ivatan	39	0.0	99.99
Philippines Ivatan	40	0.0	99.99
Philippines Ivatan	41	0.0	99.99
Philippines Ivatan	42	0.0	99.99
Philippines Ivatan	43	0.06	99.99
Philippines Ivatan	44	0.0	99.93
Philippines Ivatan	45	0.0	99.93
Philippines Ivatan	46	0.0	99.93
Philippines Ivatan	47	0.0	99.93
Philippines Ivatan	48	0.0	99.93
Philippines Ivatan	49	0.0	99.93
Philippines Ivatan	50	0.0	99.93
Philippines Ivatan	51	0.0	99.93
Philippines Ivatan	52	0.0	99.93
Philippines Ivatan	53	0.0	99.93
Philippines Ivatan	54	0.0	99.93
Philippines Ivatan	55	0.0	99.93
Philippines Ivatan	56	0.0	99.93
Philippines Ivatan	57	0.03	99.93
Philippines Ivatan	58	0.0	99.9
Philippines Ivatan	59	0.0	99.9
Philippines Ivatan	60	0.0	99.9
Philippines Ivatan	61	0.0	99.9
Philippines Ivatan	62	0.0	99.9
Philippines Ivatan	63	0.0	99.9
Philippines Ivatan	64	0.0	99.9
Philippines Ivatan	65	0.0	99.9
Philippines Ivatan	66	0.0	99.9
Philippines Ivatan	67	0.0	99.9
Philippines Ivatan	68	0.0	99.9
Philippines Ivatan	69	0.0	99.9
Philippines Ivatan	70	0.0	99.9
Philippines Ivatan	71	0.01	99.9
Philippines Ivatan	72	0.0	99.89
Philippines Ivatan	73	0.0	99.89
Philippines Ivatan	74	0.0	99.89
Philippines Ivatan	75	0.0	99.89
Philippines Ivatan	76	0.0	99.89
Philippines Ivatan	77	0.0	99.89
Philippines Ivatan	78	0.0	99.89
Philippines Ivatan	79	0.0	99.89
Philippines Ivatan	80	0.0	99.89
Philippines Ivatan	81	0.0	99.88
Philippines Ivatan	82	0.0	99.88
Philippines Ivatan	83	0.0	99.88
Philippines Ivatan	84	0.0	99.88
Philippines Ivatan	85	0.01	99.88
Philippines Ivatan	86	0.0	99.88
Philippines Ivatan	87	0.0	99.88
Philippines Ivatan	88	0.0	99.88
Philippines Ivatan	89	0.0	99.88
Philippines Ivatan	90	0.0	99.88
Philippines Ivatan	91	0.0	99.88
Philippines Ivatan	92	0.0	99.88
Philippines Ivatan	93	0.0	99.88
Philippines Ivatan	94	0.0	99.88
Philippines Ivatan	95	0.0	99.88
Philippines Ivatan	96	0.0	99.88
Philippines Ivatan	97	0.0	99.88
Philippines Ivatan	98	0.0	99.88
Philippines Ivatan	99	0.0	99.88
Philippines Ivatan	100	0.0	99.88
Philippines Ivatan	101	0.0	99.88
