class I
population/area	coverage	average_hit	pc90
Russia Belgorod region	100.0%	16913.26	9009.3
average	100.0%	16913.26	9009.3
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Russia Belgorod region	0	0.0	100.0
Russia Belgorod region	1	0.0	100.0
Russia Belgorod region	2	0.0	100.0
Russia Belgorod region	3	0.0	100.0
Russia Belgorod region	4	0.0	100.0
Russia Belgorod region	5	0.0	100.0
Russia Belgorod region	6	0.0	100.0
Russia Belgorod region	7	0.0	100.0
Russia Belgorod region	8	0.0	100.0
Russia Belgorod region	9	0.0	100.0
Russia Belgorod region	10	0.0	100.0
Russia Belgorod region	11	0.0	100.0
Russia Belgorod region	12	0.0	100.0
Russia Belgorod region	13	0.0	100.0
Russia Belgorod region	14	0.0	100.0
Russia Belgorod region	15	0.0	100.0
Russia Belgorod region	16	0.0	100.0
Russia Belgorod region	17	0.0	100.0
Russia Belgorod region	18	0.0	100.0
Russia Belgorod region	19	0.0	100.0
Russia Belgorod region	20	0.0	100.0
Russia Belgorod region	21	0.0	100.0
Russia Belgorod region	22	0.0	100.0
Russia Belgorod region	23	0.0	100.0
Russia Belgorod region	24	0.0	100.0
Russia Belgorod region	25	0.0	100.0
Russia Belgorod region	26	0.0	100.0
Russia Belgorod region	27	0.0	100.0
Russia Belgorod region	28	0.0	100.0
Russia Belgorod region	29	0.0	100.0
Russia Belgorod region	30	0.0	100.0
Russia Belgorod region	31	0.0	100.0
Russia Belgorod region	32	0.0	100.0
Russia Belgorod region	33	0.0	100.0
Russia Belgorod region	34	0.0	100.0
Russia Belgorod region	35	0.0	100.0
Russia Belgorod region	36	0.0	100.0
Russia Belgorod region	37	0.0	100.0
Russia Belgorod region	38	0.0	100.0
Russia Belgorod region	39	0.0	100.0
Russia Belgorod region	40	0.0	100.0
Russia Belgorod region	41	0.0	100.0
Russia Belgorod region	42	0.0	100.0
Russia Belgorod region	43	0.0	100.0
Russia Belgorod region	44	0.0	100.0
Russia Belgorod region	45	0.0	100.0
Russia Belgorod region	46	0.0	100.0
Russia Belgorod region	47	0.0	100.0
Russia Belgorod region	48	0.0	100.0
Russia Belgorod region	49	0.0	100.0
Russia Belgorod region	50	0.0	100.0
Russia Belgorod region	51	0.0	100.0
Russia Belgorod region	52	0.0	100.0
