class I
population/area	coverage	average_hit	pc90
Singapore Javaneses	99.4%	9523.79	3629.85
average	99.4%	9523.79	3629.85
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Singapore Javaneses	0	0.6	100.0
Singapore Javaneses	1	0.0	99.4
Singapore Javaneses	2	0.0	99.4
Singapore Javaneses	3	0.0	99.4
Singapore Javaneses	4	0.0	99.4
Singapore Javaneses	5	0.0	99.4
Singapore Javaneses	6	0.0	99.4
Singapore Javaneses	7	0.0	99.4
Singapore Javaneses	8	0.0	99.4
Singapore Javaneses	9	0.0	99.4
Singapore Javaneses	10	0.0	99.4
Singapore Javaneses	11	0.0	99.4
Singapore Javaneses	12	0.0	99.4
Singapore Javaneses	13	0.0	99.4
Singapore Javaneses	14	0.0	99.4
Singapore Javaneses	15	0.0	99.4
Singapore Javaneses	16	0.0	99.4
Singapore Javaneses	17	0.0	99.4
Singapore Javaneses	18	0.0	99.4
Singapore Javaneses	19	0.0	99.4
Singapore Javaneses	20	0.0	99.4
Singapore Javaneses	21	0.0	99.4
Singapore Javaneses	22	0.0	99.4
Singapore Javaneses	23	0.0	99.4
Singapore Javaneses	24	0.0	99.4
Singapore Javaneses	25	0.0	99.4
Singapore Javaneses	26	0.0	99.4
Singapore Javaneses	27	0.0	99.4
Singapore Javaneses	28	0.0	99.4
Singapore Javaneses	29	0.0	99.4
Singapore Javaneses	30	0.0	99.4
Singapore Javaneses	31	0.0	99.4
Singapore Javaneses	32	0.0	99.4
Singapore Javaneses	33	0.0	99.4
Singapore Javaneses	34	0.0	99.4
Singapore Javaneses	35	0.0	99.4
Singapore Javaneses	36	0.0	99.4
Singapore Javaneses	37	0.0	99.4
Singapore Javaneses	38	0.0	99.4
Singapore Javaneses	39	0.0	99.4
Singapore Javaneses	40	0.0	99.4
Singapore Javaneses	41	0.0	99.4
Singapore Javaneses	42	0.0	99.4
Singapore Javaneses	43	0.0	99.4
Singapore Javaneses	44	0.0	99.4
Singapore Javaneses	45	0.0	99.4
Singapore Javaneses	46	0.0	99.4
Singapore Javaneses	47	0.0	99.4
Singapore Javaneses	48	0.0	99.4
Singapore Javaneses	49	0.0	99.4
Singapore Javaneses	50	0.0	99.4
Singapore Javaneses	51	0.0	99.4
Singapore Javaneses	52	0.0	99.4
Singapore Javaneses	53	0.0	99.4
Singapore Javaneses	54	0.0	99.4
Singapore Javaneses	55	0.0	99.4
Singapore Javaneses	56	0.0	99.4
Singapore Javaneses	57	0.0	99.4
Singapore Javaneses	58	0.0	99.4
Singapore Javaneses	59	0.0	99.4
Singapore Javaneses	60	0.0	99.4
Singapore Javaneses	61	0.0	99.4
Singapore Javaneses	62	0.0	99.4
Singapore Javaneses	63	0.0	99.4
Singapore Javaneses	64	0.0	99.4
Singapore Javaneses	65	0.0	99.4
Singapore Javaneses	66	0.0	99.4
Singapore Javaneses	67	0.0	99.4
Singapore Javaneses	68	0.0	99.4
Singapore Javaneses	69	0.0	99.4
Singapore Javaneses	70	0.0	99.4
Singapore Javaneses	71	0.0	99.4
