class I
population/area	coverage	average_hit	pc90
Singapore Thai	99.99%	11287.59	3262.34
average	99.99%	11287.59	3262.34
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Singapore Thai	0	0.01	100.0
Singapore Thai	1	0.0	99.99
Singapore Thai	2	0.0	99.99
Singapore Thai	3	0.0	99.99
Singapore Thai	4	0.0	99.99
Singapore Thai	5	0.0	99.99
Singapore Thai	6	0.0	99.99
Singapore Thai	7	0.0	99.99
Singapore Thai	8	0.0	99.99
Singapore Thai	9	0.01	99.99
Singapore Thai	10	0.0	99.98
Singapore Thai	11	0.0	99.97
Singapore Thai	12	0.0	99.97
Singapore Thai	13	0.0	99.97
Singapore Thai	14	0.0	99.97
Singapore Thai	15	0.0	99.97
Singapore Thai	16	0.0	99.96
Singapore Thai	17	0.0	99.96
Singapore Thai	18	0.03	99.96
Singapore Thai	19	0.0	99.93
Singapore Thai	20	0.0	99.93
Singapore Thai	21	0.01	99.93
Singapore Thai	22	0.0	99.92
Singapore Thai	23	0.01	99.92
Singapore Thai	24	0.0	99.91
Singapore Thai	25	0.0	99.91
Singapore Thai	26	0.0	99.91
Singapore Thai	27	0.05	99.91
Singapore Thai	28	0.01	99.86
Singapore Thai	29	0.0	99.85
Singapore Thai	30	0.01	99.85
Singapore Thai	31	0.0	99.84
Singapore Thai	32	0.0	99.84
Singapore Thai	33	0.01	99.83
Singapore Thai	34	0.01	99.82
Singapore Thai	35	0.0	99.82
Singapore Thai	36	0.0	99.82
Singapore Thai	37	0.0	99.82
Singapore Thai	38	0.0	99.81
Singapore Thai	39	0.0	99.81
Singapore Thai	40	0.0	99.81
Singapore Thai	41	0.01	99.81
Singapore Thai	42	0.0	99.8
Singapore Thai	43	0.01	99.8
Singapore Thai	44	0.0	99.79
Singapore Thai	45	0.0	99.79
Singapore Thai	46	0.01	99.79
Singapore Thai	47	0.0	99.78
Singapore Thai	48	0.0	99.78
Singapore Thai	49	0.0	99.78
Singapore Thai	50	0.0	99.77
Singapore Thai	51	0.0	99.77
Singapore Thai	52	0.0	99.77
Singapore Thai	53	0.0	99.77
Singapore Thai	54	0.0	99.76
Singapore Thai	55	0.01	99.76
Singapore Thai	56	0.0	99.76
Singapore Thai	57	0.0	99.76
Singapore Thai	58	0.0	99.75
Singapore Thai	59	0.0	99.75
Singapore Thai	60	0.01	99.75
Singapore Thai	61	0.02	99.74
Singapore Thai	62	0.0	99.72
Singapore Thai	63	0.0	99.72
Singapore Thai	64	0.0	99.72
Singapore Thai	65	0.0	99.72
Singapore Thai	66	0.0	99.71
Singapore Thai	67	0.0	99.71
Singapore Thai	68	0.0	99.71
Singapore Thai	69	0.0	99.71
Singapore Thai	70	0.01	99.71
Singapore Thai	71	0.0	99.7
Singapore Thai	72	0.0	99.69
Singapore Thai	73	0.0	99.69
Singapore Thai	74	0.0	99.69
Singapore Thai	75	0.0	99.69
Singapore Thai	76	0.0	99.69
Singapore Thai	77	0.0	99.68
Singapore Thai	78	0.0	99.68
Singapore Thai	79	0.0	99.68
Singapore Thai	80	0.0	99.68
Singapore Thai	81	0.0	99.68
Singapore Thai	82	0.0	99.68
Singapore Thai	83	0.0	99.68
Singapore Thai	84	0.0	99.68
Singapore Thai	85	0.0	99.68
Singapore Thai	86	0.0	99.67
Singapore Thai	87	0.0	99.67
Singapore Thai	88	0.0	99.67
Singapore Thai	89	0.0	99.67
Singapore Thai	90	0.0	99.67
Singapore Thai	91	0.0	99.67
Singapore Thai	92	0.0	99.67
Singapore Thai	93	0.0	99.67
Singapore Thai	94	0.0	99.67
Singapore Thai	95	0.0	99.66
Singapore Thai	96	0.0	99.66
Singapore Thai	97	0.0	99.66
Singapore Thai	98	0.0	99.66
Singapore Thai	99	0.0	99.66
Singapore Thai	100	0.0	99.66
Singapore Thai	101	0.0	99.66
Singapore Thai	102	0.0	99.66
Singapore Thai	103	0.0	99.66
Singapore Thai	104	0.0	99.65
Singapore Thai	105	0.0	99.65
Singapore Thai	106	0.01	99.65
Singapore Thai	107	0.0	99.64
Singapore Thai	108	0.0	99.64
Singapore Thai	109	0.0	99.64
Singapore Thai	110	0.0	99.64
Singapore Thai	111	0.0	99.64
Singapore Thai	112	0.0	99.64
Singapore Thai	113	0.01	99.64
Singapore Thai	114	0.0	99.63
Singapore Thai	115	0.01	99.63
Singapore Thai	116	0.0	99.62
Singapore Thai	117	0.0	99.61
Singapore Thai	118	0.0	99.61
Singapore Thai	119	0.0	99.61
Singapore Thai	120	0.0	99.61
Singapore Thai	121	0.0	99.61
Singapore Thai	122	0.01	99.61
Singapore Thai	123	0.0	99.6
Singapore Thai	124	0.0	99.6
Singapore Thai	125	0.0	99.6
Singapore Thai	126	0.02	99.6
Singapore Thai	127	0.01	99.57
Singapore Thai	128	0.0	99.57
Singapore Thai	129	0.01	99.57
Singapore Thai	130	0.0	99.56
Singapore Thai	131	0.0	99.56
Singapore Thai	132	0.0	99.56
Singapore Thai	133	0.0	99.55
Singapore Thai	134	0.0	99.55
Singapore Thai	135	0.04	99.55
Singapore Thai	136	0.01	99.5
Singapore Thai	137	0.0	99.5
Singapore Thai	138	0.01	99.49
Singapore Thai	139	0.0	99.49
Singapore Thai	140	0.01	99.48
Singapore Thai	141	0.01	99.48
Singapore Thai	142	0.01	99.47
Singapore Thai	143	0.0	99.47
Singapore Thai	144	0.02	99.46
Singapore Thai	145	0.0	99.45
Singapore Thai	146	0.0	99.44
Singapore Thai	147	0.0	99.44
Singapore Thai	148	0.0	99.43
Singapore Thai	149	0.01	99.43
Singapore Thai	150	0.0	99.42
Singapore Thai	151	0.0	99.41
Singapore Thai	152	0.0	99.41
Singapore Thai	153	0.03	99.41
Singapore Thai	154	0.01	99.38
Singapore Thai	155	0.0	99.36
Singapore Thai	156	0.01	99.36
Singapore Thai	157	0.0	99.35
Singapore Thai	158	0.0	99.35
Singapore Thai	159	0.01	99.34
Singapore Thai	160	0.0	99.34
Singapore Thai	161	0.0	99.33
Singapore Thai	162	0.0	99.33
Singapore Thai	163	0.01	99.33
Singapore Thai	164	0.0	99.32
Singapore Thai	165	0.0	99.32
Singapore Thai	166	0.0	99.32
Singapore Thai	167	0.0	99.32
Singapore Thai	168	0.01	99.32
Singapore Thai	169	0.02	99.31
Singapore Thai	170	0.0	99.29
Singapore Thai	171	0.0	99.29
Singapore Thai	172	0.01	99.29
Singapore Thai	173	0.0	99.28
Singapore Thai	174	0.0	99.28
Singapore Thai	175	0.0	99.28
Singapore Thai	176	0.0	99.27
Singapore Thai	177	0.0	99.27
Singapore Thai	178	0.01	99.27
Singapore Thai	179	0.0	99.26
Singapore Thai	180	0.02	99.25
Singapore Thai	181	0.01	99.24
Singapore Thai	182	0.0	99.23
Singapore Thai	183	0.01	99.23
Singapore Thai	184	0.0	99.22
Singapore Thai	185	0.0	99.22
Singapore Thai	186	0.01	99.21
Singapore Thai	187	0.02	99.21
Singapore Thai	188	0.01	99.19
Singapore Thai	189	0.01	99.19
Singapore Thai	190	0.01	99.18
Singapore Thai	191	0.0	99.17
Singapore Thai	192	0.0	99.17
Singapore Thai	193	0.0	99.16
Singapore Thai	194	0.01	99.16
Singapore Thai	195	0.0	99.15
Singapore Thai	196	0.01	99.15
Singapore Thai	197	0.01	99.14
Singapore Thai	198	0.06	99.12
Singapore Thai	199	0.02	99.07
Singapore Thai	200	0.0	99.05
Singapore Thai	201	0.01	99.05
Singapore Thai	202	0.01	99.04
Singapore Thai	203	0.01	99.03
Singapore Thai	204	0.01	99.02
Singapore Thai	205	0.01	99.01
Singapore Thai	206	0.02	99.01
