class I
population/area	coverage	average_hit	pc90
South African Black	100.0%	10889.72	3243.35
average	100.0%	10889.72	3243.35
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
South African Black	0	0.0	100.0
South African Black	1	0.0	100.0
South African Black	2	0.0	99.99
South African Black	3	0.0	99.99
South African Black	4	0.0	99.99
South African Black	5	0.0	99.99
South African Black	6	0.0	99.99
South African Black	7	0.0	99.99
South African Black	8	0.0	99.99
South African Black	9	0.0	99.99
South African Black	10	0.0	99.98
South African Black	11	0.0	99.98
South African Black	12	0.0	99.98
South African Black	13	0.0	99.98
South African Black	14	0.0	99.98
South African Black	15	0.0	99.98
South African Black	16	0.0	99.98
South African Black	17	0.0	99.98
South African Black	18	0.0	99.98
South African Black	19	0.0	99.98
South African Black	20	0.0	99.98
South African Black	21	0.01	99.98
South African Black	22	0.0	99.96
South African Black	23	0.0	99.96
South African Black	24	0.0	99.96
South African Black	25	0.0	99.96
South African Black	26	0.01	99.95
South African Black	27	0.0	99.94
South African Black	28	0.0	99.94
South African Black	29	0.0	99.94
South African Black	30	0.01	99.94
South African Black	31	0.0	99.93
South African Black	32	0.0	99.93
South African Black	33	0.0	99.93
South African Black	34	0.0	99.93
South African Black	35	0.01	99.92
South African Black	36	0.0	99.92
South African Black	37	0.0	99.92
South African Black	38	0.0	99.92
South African Black	39	0.01	99.91
South African Black	40	0.0	99.91
South African Black	41	0.0	99.91
South African Black	42	0.0	99.9
South African Black	43	0.0	99.9
South African Black	44	0.0	99.9
South African Black	45	0.0	99.89
South African Black	46	0.0	99.89
South African Black	47	0.01	99.89
South African Black	48	0.0	99.88
South African Black	49	0.0	99.88
South African Black	50	0.0	99.88
South African Black	51	0.0	99.88
South African Black	52	0.0	99.88
South African Black	53	0.0	99.88
South African Black	54	0.0	99.87
South African Black	55	0.02	99.87
South African Black	56	0.01	99.85
South African Black	57	0.0	99.84
South African Black	58	0.0	99.84
South African Black	59	0.0	99.84
South African Black	60	0.01	99.84
South African Black	61	0.0	99.83
South African Black	62	0.0	99.83
South African Black	63	0.0	99.83
South African Black	64	0.01	99.82
South African Black	65	0.0	99.81
South African Black	66	0.0	99.81
South African Black	67	0.0	99.81
South African Black	68	0.0	99.81
South African Black	69	0.0	99.8
South African Black	70	0.0	99.8
South African Black	71	0.0	99.8
South African Black	72	0.0	99.8
South African Black	73	0.01	99.8
South African Black	74	0.0	99.79
South African Black	75	0.0	99.79
South African Black	76	0.01	99.79
South African Black	77	0.0	99.77
South African Black	78	0.0	99.77
South African Black	79	0.0	99.77
South African Black	80	0.0	99.77
South African Black	81	0.01	99.77
South African Black	82	0.0	99.76
South African Black	83	0.0	99.75
South African Black	84	0.0	99.75
South African Black	85	0.01	99.75
South African Black	86	0.0	99.75
South African Black	87	0.0	99.75
South African Black	88	0.0	99.75
South African Black	89	0.0	99.75
South African Black	90	0.01	99.74
South African Black	91	0.0	99.74
South African Black	92	0.0	99.74
South African Black	93	0.0	99.74
South African Black	94	0.0	99.74
South African Black	95	0.0	99.73
South African Black	96	0.0	99.73
South African Black	97	0.0	99.73
South African Black	98	0.0	99.73
South African Black	99	0.0	99.72
South African Black	100	0.0	99.72
South African Black	101	0.0	99.72
South African Black	102	0.0	99.72
South African Black	103	0.0	99.72
South African Black	104	0.0	99.72
South African Black	105	0.0	99.72
South African Black	106	0.0	99.72
