class I
population/area	coverage	average_hit	pc90
Taiwan Atayal	100.0%	13786.8	6750.4
average	100.0%	13786.8	6750.4
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Taiwan Atayal	0	0.0	100.0
Taiwan Atayal	1	0.0	100.0
Taiwan Atayal	2	0.0	100.0
Taiwan Atayal	3	0.0	100.0
Taiwan Atayal	4	0.0	100.0
Taiwan Atayal	5	0.0	100.0
Taiwan Atayal	6	0.0	100.0
Taiwan Atayal	7	0.0	100.0
Taiwan Atayal	8	0.0	100.0
Taiwan Atayal	9	0.0	100.0
Taiwan Atayal	10	0.0	100.0
Taiwan Atayal	11	0.0	100.0
Taiwan Atayal	12	0.0	100.0
Taiwan Atayal	13	0.0	100.0
Taiwan Atayal	14	0.0	100.0
Taiwan Atayal	15	0.0	100.0
Taiwan Atayal	16	0.0	100.0
Taiwan Atayal	17	0.0	100.0
Taiwan Atayal	18	0.0	100.0
Taiwan Atayal	19	0.0	100.0
Taiwan Atayal	20	0.0	100.0
Taiwan Atayal	21	0.0	100.0
Taiwan Atayal	22	0.0	100.0
Taiwan Atayal	23	0.0	100.0
Taiwan Atayal	24	0.0	100.0
Taiwan Atayal	25	0.0	100.0
Taiwan Atayal	26	0.0	100.0
Taiwan Atayal	27	0.0	100.0
Taiwan Atayal	28	0.0	100.0
Taiwan Atayal	29	0.0	100.0
Taiwan Atayal	30	0.0	100.0
Taiwan Atayal	31	0.0	100.0
Taiwan Atayal	32	0.0	100.0
Taiwan Atayal	33	0.0	100.0
Taiwan Atayal	34	0.0	100.0
Taiwan Atayal	35	0.0	100.0
Taiwan Atayal	36	0.0	100.0
Taiwan Atayal	37	0.0	100.0
Taiwan Atayal	38	0.0	100.0
Taiwan Atayal	39	0.0	100.0
Taiwan Atayal	40	0.0	100.0
Taiwan Atayal	41	0.0	100.0
Taiwan Atayal	42	0.0	100.0
Taiwan Atayal	43	0.0	100.0
Taiwan Atayal	44	0.0	100.0
Taiwan Atayal	45	0.0	100.0
Taiwan Atayal	46	0.0	100.0
Taiwan Atayal	47	0.0	100.0
Taiwan Atayal	48	0.0	100.0
Taiwan Atayal	49	0.0	100.0
Taiwan Atayal	50	0.0	100.0
Taiwan Atayal	51	0.0	100.0
Taiwan Atayal	52	0.0	100.0
Taiwan Atayal	53	0.0	100.0
Taiwan Atayal	54	0.0	100.0
Taiwan Atayal	55	0.0	100.0
Taiwan Atayal	56	0.0	100.0
Taiwan Atayal	57	0.0	100.0
Taiwan Atayal	58	0.0	100.0
Taiwan Atayal	59	0.0	100.0
Taiwan Atayal	60	0.0	100.0
Taiwan Atayal	61	0.0	100.0
Taiwan Atayal	62	0.0	100.0
Taiwan Atayal	63	0.0	100.0
Taiwan Atayal	64	0.0	100.0
Taiwan Atayal	65	0.0	100.0
Taiwan Atayal	66	0.0	100.0
Taiwan Atayal	67	0.0	100.0
Taiwan Atayal	68	0.0	100.0
Taiwan Atayal	69	0.0	100.0
Taiwan Atayal	70	0.0	100.0
Taiwan Atayal	71	0.0	100.0
Taiwan Atayal	72	0.0	100.0
Taiwan Atayal	73	0.0	100.0
Taiwan Atayal	74	0.0	100.0
Taiwan Atayal	75	0.0	100.0
Taiwan Atayal	76	0.0	100.0
Taiwan Atayal	77	0.0	100.0
Taiwan Atayal	78	0.0	100.0
Taiwan Atayal	79	0.0	100.0
Taiwan Atayal	80	0.0	100.0
Taiwan Atayal	81	0.0	100.0
Taiwan Atayal	82	0.0	100.0
Taiwan Atayal	83	0.0	100.0
Taiwan Atayal	84	0.0	100.0
Taiwan Atayal	85	0.0	100.0
Taiwan Atayal	86	0.0	100.0
Taiwan Atayal	87	0.0	100.0
Taiwan Atayal	88	0.0	100.0
Taiwan Atayal	89	0.0	100.0
Taiwan Atayal	90	0.0	100.0
Taiwan Atayal	91	0.0	100.0
Taiwan Atayal	92	0.0	100.0
Taiwan Atayal	93	0.0	100.0
Taiwan Atayal	94	0.0	100.0
Taiwan Atayal	95	0.0	100.0
Taiwan Atayal	96	0.0	100.0
Taiwan Atayal	97	0.0	100.0
Taiwan Atayal	98	0.0	100.0
Taiwan Atayal	99	0.0	100.0
Taiwan Atayal	100	0.0	100.0
Taiwan Atayal	101	0.0	100.0
Taiwan Atayal	102	0.0	100.0
Taiwan Atayal	103	0.0	100.0
Taiwan Atayal	104	0.0	100.0
Taiwan Atayal	105	0.0	100.0
Taiwan Atayal	106	0.0	100.0
Taiwan Atayal	107	0.0	100.0
Taiwan Atayal	108	0.0	100.0
Taiwan Atayal	109	0.0	100.0
Taiwan Atayal	110	0.0	100.0
Taiwan Atayal	111	0.0	100.0
Taiwan Atayal	112	0.0	100.0
Taiwan Atayal	113	0.0	100.0
Taiwan Atayal	114	0.0	100.0
Taiwan Atayal	115	0.0	100.0
Taiwan Atayal	116	0.0	100.0
Taiwan Atayal	117	0.0	100.0
Taiwan Atayal	118	0.0	100.0
Taiwan Atayal	119	0.0	100.0
Taiwan Atayal	120	0.0	100.0
Taiwan Atayal	121	0.0	100.0
Taiwan Atayal	122	0.0	100.0
Taiwan Atayal	123	0.0	100.0
Taiwan Atayal	124	0.0	100.0
Taiwan Atayal	125	0.0	100.0
Taiwan Atayal	126	0.0	100.0
Taiwan Atayal	127	0.0	100.0
Taiwan Atayal	128	0.0	100.0
Taiwan Atayal	129	0.0	100.0
Taiwan Atayal	130	0.0	100.0
Taiwan Atayal	131	0.0	100.0
Taiwan Atayal	132	0.0	100.0
Taiwan Atayal	133	0.0	100.0
Taiwan Atayal	134	0.0	100.0
Taiwan Atayal	135	0.0	100.0
Taiwan Atayal	136	0.0	100.0
Taiwan Atayal	137	0.0	100.0
Taiwan Atayal	138	0.0	100.0
Taiwan Atayal	139	0.0	100.0
Taiwan Atayal	140	0.0	100.0
Taiwan Atayal	141	0.0	100.0
Taiwan Atayal	142	0.0	100.0
Taiwan Atayal	143	0.0	100.0
Taiwan Atayal	144	0.0	100.0
Taiwan Atayal	145	0.0	100.0
Taiwan Atayal	146	0.0	100.0
Taiwan Atayal	147	0.0	100.0
Taiwan Atayal	148	0.0	100.0
Taiwan Atayal	149	0.0	100.0
Taiwan Atayal	150	0.0	100.0
Taiwan Atayal	151	0.0	100.0
Taiwan Atayal	152	0.0	100.0
Taiwan Atayal	153	0.0	100.0
Taiwan Atayal	154	0.0	100.0
Taiwan Atayal	155	0.0	100.0
Taiwan Atayal	156	0.0	100.0
Taiwan Atayal	157	0.0	100.0
Taiwan Atayal	158	0.0	100.0
Taiwan Atayal	159	0.0	100.0
Taiwan Atayal	160	0.0	100.0
Taiwan Atayal	161	0.0	100.0
Taiwan Atayal	162	0.0	100.0
Taiwan Atayal	163	0.0	100.0
Taiwan Atayal	164	0.0	100.0
Taiwan Atayal	165	0.0	100.0
Taiwan Atayal	166	0.0	100.0
Taiwan Atayal	167	0.0	100.0
Taiwan Atayal	168	0.0	100.0
Taiwan Atayal	169	0.0	100.0
Taiwan Atayal	170	0.0	100.0
Taiwan Atayal	171	0.0	100.0
Taiwan Atayal	172	0.0	100.0
Taiwan Atayal	173	0.0	100.0
Taiwan Atayal	174	0.0	100.0
Taiwan Atayal	175	0.0	100.0
Taiwan Atayal	176	0.0	100.0
Taiwan Atayal	177	0.0	100.0
Taiwan Atayal	178	0.0	100.0
Taiwan Atayal	179	0.0	100.0
Taiwan Atayal	180	0.0	100.0
