class I
population/area	coverage	average_hit	pc90
Taiwan Han Chinese	99.97%	12639.12	6578.58
average	99.97%	12639.12	6578.58
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Taiwan Han Chinese	0	0.03	100.0
Taiwan Han Chinese	1	0.0	99.97
Taiwan Han Chinese	2	0.0	99.97
Taiwan Han Chinese	3	0.0	99.97
Taiwan Han Chinese	4	0.0	99.97
Taiwan Han Chinese	5	0.0	99.97
Taiwan Han Chinese	6	0.0	99.97
Taiwan Han Chinese	7	0.0	99.97
Taiwan Han Chinese	8	0.0	99.97
Taiwan Han Chinese	9	0.0	99.97
Taiwan Han Chinese	10	0.0	99.97
Taiwan Han Chinese	11	0.0	99.97
Taiwan Han Chinese	12	0.0	99.97
Taiwan Han Chinese	13	0.0	99.97
Taiwan Han Chinese	14	0.0	99.97
Taiwan Han Chinese	15	0.0	99.97
Taiwan Han Chinese	16	0.0	99.97
Taiwan Han Chinese	17	0.0	99.97
Taiwan Han Chinese	18	0.0	99.97
Taiwan Han Chinese	19	0.0	99.97
Taiwan Han Chinese	20	0.0	99.97
Taiwan Han Chinese	21	0.0	99.97
Taiwan Han Chinese	22	0.0	99.97
Taiwan Han Chinese	23	0.0	99.97
Taiwan Han Chinese	24	0.0	99.97
Taiwan Han Chinese	25	0.0	99.97
Taiwan Han Chinese	26	0.0	99.97
Taiwan Han Chinese	27	0.0	99.97
Taiwan Han Chinese	28	0.0	99.97
Taiwan Han Chinese	29	0.0	99.97
Taiwan Han Chinese	30	0.0	99.97
Taiwan Han Chinese	31	0.0	99.97
Taiwan Han Chinese	32	0.0	99.97
Taiwan Han Chinese	33	0.0	99.97
Taiwan Han Chinese	34	0.0	99.97
Taiwan Han Chinese	35	0.0	99.97
Taiwan Han Chinese	36	0.0	99.97
Taiwan Han Chinese	37	0.0	99.97
Taiwan Han Chinese	38	0.0	99.97
Taiwan Han Chinese	39	0.0	99.97
Taiwan Han Chinese	40	0.0	99.97
Taiwan Han Chinese	41	0.0	99.97
Taiwan Han Chinese	42	0.0	99.97
Taiwan Han Chinese	43	0.0	99.97
Taiwan Han Chinese	44	0.0	99.97
Taiwan Han Chinese	45	0.0	99.97
Taiwan Han Chinese	46	0.0	99.97
Taiwan Han Chinese	47	0.0	99.97
Taiwan Han Chinese	48	0.0	99.97
Taiwan Han Chinese	49	0.0	99.97
Taiwan Han Chinese	50	0.0	99.97
Taiwan Han Chinese	51	0.0	99.97
Taiwan Han Chinese	52	0.0	99.97
Taiwan Han Chinese	53	0.0	99.97
Taiwan Han Chinese	54	0.0	99.97
Taiwan Han Chinese	55	0.0	99.97
Taiwan Han Chinese	56	0.0	99.97
Taiwan Han Chinese	57	0.0	99.97
Taiwan Han Chinese	58	0.0	99.97
