class I
population/area	coverage	average_hit	pc90
Taiwan Saisiat	100.0%	14931.3	6826.88
average	100.0%	14931.3	6826.88
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Taiwan Saisiat	0	0.0	100.0
Taiwan Saisiat	1	0.0	100.0
Taiwan Saisiat	2	0.0	100.0
Taiwan Saisiat	3	0.0	100.0
Taiwan Saisiat	4	0.0	100.0
Taiwan Saisiat	5	0.0	100.0
Taiwan Saisiat	6	0.0	100.0
Taiwan Saisiat	7	0.0	100.0
Taiwan Saisiat	8	0.0	100.0
Taiwan Saisiat	9	0.0	100.0
Taiwan Saisiat	10	0.0	100.0
Taiwan Saisiat	11	0.0	100.0
Taiwan Saisiat	12	0.0	100.0
Taiwan Saisiat	13	0.0	100.0
Taiwan Saisiat	14	0.0	100.0
Taiwan Saisiat	15	0.0	100.0
Taiwan Saisiat	16	0.0	100.0
Taiwan Saisiat	17	0.0	100.0
Taiwan Saisiat	18	0.0	100.0
Taiwan Saisiat	19	0.0	100.0
Taiwan Saisiat	20	0.0	100.0
Taiwan Saisiat	21	0.0	100.0
Taiwan Saisiat	22	0.0	100.0
Taiwan Saisiat	23	0.0	100.0
Taiwan Saisiat	24	0.0	100.0
Taiwan Saisiat	25	0.0	100.0
Taiwan Saisiat	26	0.0	100.0
Taiwan Saisiat	27	0.0	100.0
Taiwan Saisiat	28	0.0	100.0
Taiwan Saisiat	29	0.0	100.0
Taiwan Saisiat	30	0.0	100.0
Taiwan Saisiat	31	0.0	100.0
Taiwan Saisiat	32	0.0	100.0
Taiwan Saisiat	33	0.0	100.0
Taiwan Saisiat	34	0.0	100.0
Taiwan Saisiat	35	0.0	100.0
Taiwan Saisiat	36	0.0	100.0
Taiwan Saisiat	37	0.0	100.0
Taiwan Saisiat	38	0.0	100.0
Taiwan Saisiat	39	0.0	100.0
Taiwan Saisiat	40	0.0	100.0
Taiwan Saisiat	41	0.0	100.0
Taiwan Saisiat	42	0.0	100.0
Taiwan Saisiat	43	0.0	100.0
Taiwan Saisiat	44	0.0	100.0
Taiwan Saisiat	45	0.0	100.0
Taiwan Saisiat	46	0.0	100.0
Taiwan Saisiat	47	0.0	100.0
Taiwan Saisiat	48	0.0	100.0
Taiwan Saisiat	49	0.0	100.0
Taiwan Saisiat	50	0.0	100.0
Taiwan Saisiat	51	0.0	100.0
Taiwan Saisiat	52	0.0	100.0
Taiwan Saisiat	53	0.0	100.0
Taiwan Saisiat	54	0.0	100.0
Taiwan Saisiat	55	0.0	100.0
Taiwan Saisiat	56	0.0	100.0
Taiwan Saisiat	57	0.0	100.0
Taiwan Saisiat	58	0.0	100.0
Taiwan Saisiat	59	0.0	100.0
Taiwan Saisiat	60	0.0	100.0
Taiwan Saisiat	61	0.0	100.0
Taiwan Saisiat	62	0.0	100.0
Taiwan Saisiat	63	0.0	100.0
Taiwan Saisiat	64	0.0	100.0
Taiwan Saisiat	65	0.0	100.0
Taiwan Saisiat	66	0.0	100.0
Taiwan Saisiat	67	0.0	100.0
Taiwan Saisiat	68	0.0	100.0
Taiwan Saisiat	69	0.0	100.0
Taiwan Saisiat	70	0.0	100.0
Taiwan Saisiat	71	0.0	100.0
Taiwan Saisiat	72	0.0	100.0
