class I
population/area	coverage	average_hit	pc90
Taiwan Siraya	99.99%	9964.71	4651.13
average	99.99%	9964.71	4651.13
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Taiwan Siraya	0	0.01	100.0
Taiwan Siraya	1	0.0	99.99
Taiwan Siraya	2	0.0	99.99
Taiwan Siraya	3	0.0	99.99
Taiwan Siraya	4	0.0	99.99
Taiwan Siraya	5	0.0	99.99
Taiwan Siraya	6	0.0	99.99
Taiwan Siraya	7	0.0	99.99
Taiwan Siraya	8	0.0	99.99
Taiwan Siraya	9	0.0	99.99
Taiwan Siraya	10	0.0	99.99
Taiwan Siraya	11	0.0	99.99
Taiwan Siraya	12	0.0	99.99
Taiwan Siraya	13	0.0	99.99
Taiwan Siraya	14	0.0	99.99
Taiwan Siraya	15	0.0	99.99
Taiwan Siraya	16	0.0	99.99
Taiwan Siraya	17	0.0	99.99
Taiwan Siraya	18	0.0	99.99
Taiwan Siraya	19	0.0	99.99
Taiwan Siraya	20	0.0	99.99
Taiwan Siraya	21	0.0	99.99
Taiwan Siraya	22	0.0	99.99
Taiwan Siraya	23	0.0	99.99
Taiwan Siraya	24	0.0	99.99
Taiwan Siraya	25	0.0	99.99
Taiwan Siraya	26	0.0	99.99
Taiwan Siraya	27	0.0	99.99
Taiwan Siraya	28	0.0	99.99
Taiwan Siraya	29	0.0	99.99
Taiwan Siraya	30	0.0	99.99
Taiwan Siraya	31	0.0	99.99
Taiwan Siraya	32	0.0	99.99
Taiwan Siraya	33	0.0	99.99
Taiwan Siraya	34	0.0	99.99
Taiwan Siraya	35	0.0	99.99
Taiwan Siraya	36	0.0	99.99
Taiwan Siraya	37	0.0	99.99
Taiwan Siraya	38	0.0	99.99
Taiwan Siraya	39	0.0	99.99
Taiwan Siraya	40	0.0	99.99
Taiwan Siraya	41	0.0	99.99
Taiwan Siraya	42	0.0	99.99
Taiwan Siraya	43	0.0	99.99
Taiwan Siraya	44	0.0	99.99
Taiwan Siraya	45	0.0	99.99
Taiwan Siraya	46	0.0	99.99
Taiwan Siraya	47	0.0	99.99
Taiwan Siraya	48	0.0	99.99
Taiwan Siraya	49	0.0	99.99
Taiwan Siraya	50	0.0	99.99
Taiwan Siraya	51	0.0	99.99
Taiwan Siraya	52	0.0	99.99
Taiwan Siraya	53	0.0	99.99
Taiwan Siraya	54	0.0	99.99
Taiwan Siraya	55	0.0	99.99
Taiwan Siraya	56	0.0	99.99
Taiwan Siraya	57	0.0	99.99
Taiwan Siraya	58	0.0	99.99
Taiwan Siraya	59	0.0	99.99
Taiwan Siraya	60	0.0	99.99
Taiwan Siraya	61	0.0	99.99
Taiwan Siraya	62	0.0	99.99
Taiwan Siraya	63	0.0	99.99
Taiwan Siraya	64	0.0	99.99
Taiwan Siraya	65	0.0	99.99
Taiwan Siraya	66	0.0	99.99
Taiwan Siraya	67	0.0	99.99
Taiwan Siraya	68	0.0	99.99
Taiwan Siraya	69	0.0	99.99
Taiwan Siraya	70	0.0	99.99
Taiwan Siraya	71	0.0	99.99
Taiwan Siraya	72	0.0	99.99
Taiwan Siraya	73	0.0	99.99
Taiwan Siraya	74	0.0	99.99
Taiwan Siraya	75	0.0	99.99
Taiwan Siraya	76	0.0	99.99
Taiwan Siraya	77	0.0	99.99
Taiwan Siraya	78	0.0	99.99
Taiwan Siraya	79	0.0	99.99
Taiwan Siraya	80	0.0	99.99
Taiwan Siraya	81	0.0	99.99
Taiwan Siraya	82	0.0	99.99
Taiwan Siraya	83	0.0	99.99
Taiwan Siraya	84	0.0	99.99
Taiwan Siraya	85	0.0	99.99
Taiwan Siraya	86	0.0	99.99
Taiwan Siraya	87	0.0	99.99
Taiwan Siraya	88	0.0	99.99
Taiwan Siraya	89	0.0	99.99
Taiwan Siraya	90	0.0	99.99
Taiwan Siraya	91	0.0	99.99
Taiwan Siraya	92	0.0	99.99
Taiwan Siraya	93	0.0	99.99
Taiwan Siraya	94	0.0	99.99
Taiwan Siraya	95	0.0	99.99
Taiwan Siraya	96	0.0	99.99
Taiwan Siraya	97	0.0	99.99
Taiwan Siraya	98	0.0	99.99
Taiwan Siraya	99	0.0	99.99
Taiwan Siraya	100	0.0	99.99
Taiwan Siraya	101	0.0	99.99
Taiwan Siraya	102	0.0	99.99
Taiwan Siraya	103	0.0	99.99
Taiwan Siraya	104	0.0	99.99
Taiwan Siraya	105	0.0	99.99
Taiwan Siraya	106	0.0	99.99
Taiwan Siraya	107	0.0	99.99
Taiwan Siraya	108	0.0	99.99
Taiwan Siraya	109	0.0	99.99
Taiwan Siraya	110	0.0	99.99
Taiwan Siraya	111	0.0	99.99
Taiwan Siraya	112	0.0	99.99
Taiwan Siraya	113	0.0	99.99
Taiwan Siraya	114	0.04	99.99
Taiwan Siraya	115	0.0	99.95
Taiwan Siraya	116	0.0	99.95
Taiwan Siraya	117	0.0	99.95
Taiwan Siraya	118	0.0	99.95
Taiwan Siraya	119	0.0	99.95
Taiwan Siraya	120	0.0	99.95
Taiwan Siraya	121	0.0	99.95
Taiwan Siraya	122	0.0	99.95
Taiwan Siraya	123	0.0	99.95
Taiwan Siraya	124	0.0	99.95
Taiwan Siraya	125	0.0	99.95
Taiwan Siraya	126	0.0	99.95
