class I
population/area	coverage	average_hit	pc90
Taiwan Taroko	100.0%	18242.26	7885.49
average	100.0%	18242.26	7885.49
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Taiwan Taroko	0	0.0	100.0
Taiwan Taroko	1	0.0	100.0
Taiwan Taroko	2	0.0	100.0
Taiwan Taroko	3	0.0	100.0
Taiwan Taroko	4	0.0	100.0
Taiwan Taroko	5	0.0	100.0
Taiwan Taroko	6	0.0	100.0
Taiwan Taroko	7	0.0	100.0
Taiwan Taroko	8	0.0	100.0
Taiwan Taroko	9	0.0	100.0
Taiwan Taroko	10	0.0	100.0
Taiwan Taroko	11	0.0	100.0
Taiwan Taroko	12	0.0	100.0
Taiwan Taroko	13	0.0	100.0
Taiwan Taroko	14	0.0	100.0
Taiwan Taroko	15	0.0	100.0
Taiwan Taroko	16	0.0	100.0
Taiwan Taroko	17	0.0	100.0
Taiwan Taroko	18	0.0	100.0
Taiwan Taroko	19	0.0	100.0
Taiwan Taroko	20	0.0	100.0
Taiwan Taroko	21	0.0	100.0
Taiwan Taroko	22	0.0	100.0
Taiwan Taroko	23	0.0	100.0
Taiwan Taroko	24	0.0	100.0
Taiwan Taroko	25	0.0	100.0
Taiwan Taroko	26	0.0	100.0
Taiwan Taroko	27	0.0	100.0
Taiwan Taroko	28	0.0	100.0
Taiwan Taroko	29	0.0	100.0
Taiwan Taroko	30	0.0	100.0
Taiwan Taroko	31	0.0	100.0
Taiwan Taroko	32	0.0	100.0
Taiwan Taroko	33	0.0	100.0
Taiwan Taroko	34	0.0	100.0
Taiwan Taroko	35	0.0	100.0
Taiwan Taroko	36	0.0	100.0
Taiwan Taroko	37	0.0	100.0
Taiwan Taroko	38	0.0	100.0
Taiwan Taroko	39	0.0	100.0
Taiwan Taroko	40	0.0	100.0
Taiwan Taroko	41	0.0	100.0
Taiwan Taroko	42	0.0	100.0
Taiwan Taroko	43	0.0	100.0
Taiwan Taroko	44	0.0	100.0
