class I
population/area	coverage	average_hit	pc90
Taiwan Tsou	100.0%	10627.47	5489.79
average	100.0%	10627.47	5489.79
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Taiwan Tsou	0	0.0	100.0
Taiwan Tsou	1	0.0	100.0
Taiwan Tsou	2	0.0	100.0
Taiwan Tsou	3	0.0	100.0
Taiwan Tsou	4	0.0	100.0
Taiwan Tsou	5	0.0	100.0
Taiwan Tsou	6	0.0	100.0
Taiwan Tsou	7	0.0	100.0
Taiwan Tsou	8	0.0	100.0
Taiwan Tsou	9	0.0	100.0
Taiwan Tsou	10	0.0	100.0
Taiwan Tsou	11	0.0	100.0
Taiwan Tsou	12	0.0	100.0
Taiwan Tsou	13	0.0	100.0
Taiwan Tsou	14	0.0	100.0
Taiwan Tsou	15	0.0	100.0
Taiwan Tsou	16	0.0	100.0
Taiwan Tsou	17	0.0	100.0
Taiwan Tsou	18	0.0	100.0
Taiwan Tsou	19	0.0	100.0
Taiwan Tsou	20	0.0	100.0
Taiwan Tsou	21	0.0	100.0
Taiwan Tsou	22	0.0	100.0
Taiwan Tsou	23	0.0	100.0
Taiwan Tsou	24	0.0	100.0
Taiwan Tsou	25	0.0	100.0
Taiwan Tsou	26	0.0	100.0
Taiwan Tsou	27	0.0	100.0
Taiwan Tsou	28	0.0	100.0
Taiwan Tsou	29	0.0	100.0
Taiwan Tsou	30	0.0	100.0
Taiwan Tsou	31	0.0	100.0
Taiwan Tsou	32	0.0	100.0
Taiwan Tsou	33	0.0	100.0
Taiwan Tsou	34	0.0	100.0
Taiwan Tsou	35	0.0	100.0
Taiwan Tsou	36	0.0	100.0
Taiwan Tsou	37	0.0	100.0
Taiwan Tsou	38	0.0	100.0
Taiwan Tsou	39	0.0	100.0
Taiwan Tsou	40	0.0	100.0
Taiwan Tsou	41	0.0	100.0
Taiwan Tsou	42	0.0	100.0
Taiwan Tsou	43	0.0	100.0
Taiwan Tsou	44	0.0	100.0
Taiwan Tsou	45	0.0	100.0
Taiwan Tsou	46	0.0	100.0
Taiwan Tsou	47	0.0	100.0
Taiwan Tsou	48	0.0	100.0
Taiwan Tsou	49	0.0	100.0
Taiwan Tsou	50	0.0	100.0
Taiwan Tsou	51	0.0	100.0
Taiwan Tsou	52	0.0	100.0
Taiwan Tsou	53	0.0	100.0
Taiwan Tsou	54	0.0	100.0
Taiwan Tsou	55	0.0	100.0
Taiwan Tsou	56	0.0	100.0
Taiwan Tsou	57	0.0	100.0
Taiwan Tsou	58	0.0	100.0
Taiwan Tsou	59	0.0	100.0
Taiwan Tsou	60	0.0	100.0
Taiwan Tsou	61	0.0	100.0
Taiwan Tsou	62	0.0	100.0
Taiwan Tsou	63	0.0	100.0
Taiwan Tsou	64	0.0	100.0
Taiwan Tsou	65	0.0	100.0
Taiwan Tsou	66	0.0	100.0
Taiwan Tsou	67	0.0	100.0
Taiwan Tsou	68	0.0	100.0
Taiwan Tsou	69	0.0	100.0
Taiwan Tsou	70	0.0	100.0
Taiwan Tsou	71	0.0	100.0
Taiwan Tsou	72	0.0	100.0
Taiwan Tsou	73	0.0	100.0
Taiwan Tsou	74	0.0	100.0
Taiwan Tsou	75	0.0	100.0
Taiwan Tsou	76	0.0	100.0
Taiwan Tsou	77	0.0	100.0
Taiwan Tsou	78	0.0	100.0
Taiwan Tsou	79	0.0	100.0
Taiwan Tsou	80	0.0	100.0
Taiwan Tsou	81	0.0	100.0
Taiwan Tsou	82	0.0	100.0
Taiwan Tsou	83	0.0	100.0
Taiwan Tsou	84	0.0	100.0
Taiwan Tsou	85	0.0	100.0
