class I
population/area	coverage	average_hit	pc90
Tanzania Maasai	99.93%	10546.14	3804.33
average	99.93%	10546.14	3804.33
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Tanzania Maasai	0	0.07	100.0
Tanzania Maasai	1	0.0	99.93
Tanzania Maasai	2	0.0	99.93
Tanzania Maasai	3	0.0	99.93
Tanzania Maasai	4	0.0	99.93
Tanzania Maasai	5	0.0	99.93
Tanzania Maasai	6	0.0	99.93
Tanzania Maasai	7	0.0	99.93
Tanzania Maasai	8	0.0	99.93
Tanzania Maasai	9	0.0	99.93
Tanzania Maasai	10	0.0	99.93
Tanzania Maasai	11	0.0	99.93
Tanzania Maasai	12	0.0	99.93
Tanzania Maasai	13	0.0	99.93
Tanzania Maasai	14	0.0	99.93
Tanzania Maasai	15	0.0	99.93
Tanzania Maasai	16	0.0	99.93
Tanzania Maasai	17	0.0	99.93
Tanzania Maasai	18	0.0	99.93
Tanzania Maasai	19	0.0	99.93
Tanzania Maasai	20	0.0	99.93
Tanzania Maasai	21	0.0	99.93
Tanzania Maasai	22	0.0	99.93
Tanzania Maasai	23	0.0	99.93
Tanzania Maasai	24	0.0	99.93
Tanzania Maasai	25	0.0	99.93
Tanzania Maasai	26	0.0	99.93
Tanzania Maasai	27	0.0	99.93
Tanzania Maasai	28	0.0	99.93
Tanzania Maasai	29	0.0	99.93
Tanzania Maasai	30	0.0	99.93
Tanzania Maasai	31	0.0	99.93
Tanzania Maasai	32	0.0	99.93
Tanzania Maasai	33	0.0	99.93
Tanzania Maasai	34	0.0	99.93
Tanzania Maasai	35	0.0	99.93
Tanzania Maasai	36	0.0	99.93
Tanzania Maasai	37	0.0	99.93
Tanzania Maasai	38	0.0	99.93
Tanzania Maasai	39	0.0	99.93
Tanzania Maasai	40	0.0	99.93
Tanzania Maasai	41	0.0	99.93
Tanzania Maasai	42	0.0	99.93
Tanzania Maasai	43	0.0	99.93
Tanzania Maasai	44	0.0	99.93
Tanzania Maasai	45	0.0	99.93
Tanzania Maasai	46	0.0	99.93
Tanzania Maasai	47	0.0	99.93
Tanzania Maasai	48	0.0	99.93
Tanzania Maasai	49	0.0	99.93
Tanzania Maasai	50	0.0	99.93
Tanzania Maasai	51	0.0	99.93
Tanzania Maasai	52	0.0	99.93
Tanzania Maasai	53	0.0	99.93
Tanzania Maasai	54	0.0	99.93
Tanzania Maasai	55	0.0	99.93
Tanzania Maasai	56	0.0	99.93
Tanzania Maasai	57	0.0	99.93
Tanzania Maasai	58	0.0	99.93
Tanzania Maasai	59	0.0	99.93
Tanzania Maasai	60	0.0	99.93
Tanzania Maasai	61	0.0	99.93
Tanzania Maasai	62	0.0	99.93
Tanzania Maasai	63	0.0	99.93
Tanzania Maasai	64	0.0	99.93
Tanzania Maasai	65	0.0	99.93
Tanzania Maasai	66	0.0	99.93
Tanzania Maasai	67	0.0	99.93
Tanzania Maasai	68	0.0	99.93
Tanzania Maasai	69	0.0	99.93
Tanzania Maasai	70	0.0	99.93
Tanzania Maasai	71	0.0	99.93
Tanzania Maasai	72	0.0	99.93
Tanzania Maasai	73	0.0	99.93
Tanzania Maasai	74	0.0	99.93
Tanzania Maasai	75	0.0	99.93
Tanzania Maasai	76	0.0	99.93
Tanzania Maasai	77	0.0	99.93
Tanzania Maasai	78	0.0	99.93
Tanzania Maasai	79	0.0	99.93
Tanzania Maasai	80	0.0	99.93
Tanzania Maasai	81	0.0	99.93
Tanzania Maasai	82	0.0	99.93
Tanzania Maasai	83	0.0	99.93
Tanzania Maasai	84	0.0	99.93
Tanzania Maasai	85	0.0	99.93
Tanzania Maasai	86	0.0	99.93
Tanzania Maasai	87	0.0	99.93
Tanzania Maasai	88	0.0	99.93
Tanzania Maasai	89	0.0	99.93
Tanzania Maasai	90	0.0	99.93
Tanzania Maasai	91	0.0	99.93
Tanzania Maasai	92	0.0	99.93
Tanzania Maasai	93	0.0	99.93
Tanzania Maasai	94	0.0	99.93
Tanzania Maasai	95	0.0	99.93
Tanzania Maasai	96	0.0	99.93
Tanzania Maasai	97	0.0	99.93
Tanzania Maasai	98	0.0	99.93
Tanzania Maasai	99	0.0	99.93
Tanzania Maasai	100	0.0	99.93
Tanzania Maasai	101	0.02	99.93
Tanzania Maasai	102	0.0	99.92
Tanzania Maasai	103	0.0	99.92
Tanzania Maasai	104	0.02	99.92
Tanzania Maasai	105	0.0	99.9
Tanzania Maasai	106	0.0	99.9
Tanzania Maasai	107	0.0	99.9
Tanzania Maasai	108	0.0	99.9
Tanzania Maasai	109	0.0	99.9
Tanzania Maasai	110	0.0	99.9
Tanzania Maasai	111	0.0	99.9
Tanzania Maasai	112	0.0	99.9
Tanzania Maasai	113	0.0	99.9
Tanzania Maasai	114	0.0	99.9
Tanzania Maasai	115	0.03	99.9
Tanzania Maasai	116	0.0	99.86
Tanzania Maasai	117	0.0	99.86
Tanzania Maasai	118	0.01	99.86
Tanzania Maasai	119	0.0	99.86
Tanzania Maasai	120	0.0	99.86
Tanzania Maasai	121	0.0	99.86
Tanzania Maasai	122	0.0	99.86
Tanzania Maasai	123	0.0	99.86
Tanzania Maasai	124	0.0	99.86
Tanzania Maasai	125	0.0	99.86
Tanzania Maasai	126	0.02	99.86
Tanzania Maasai	127	0.0	99.84
Tanzania Maasai	128	0.0	99.84
Tanzania Maasai	129	0.0	99.84
Tanzania Maasai	130	0.0	99.84
Tanzania Maasai	131	0.0	99.84
Tanzania Maasai	132	0.0	99.84
Tanzania Maasai	133	0.0	99.84
Tanzania Maasai	134	0.02	99.84
Tanzania Maasai	135	0.0	99.82
Tanzania Maasai	136	0.0	99.82
Tanzania Maasai	137	0.0	99.82
Tanzania Maasai	138	0.0	99.82
Tanzania Maasai	139	0.0	99.82
Tanzania Maasai	140	0.0	99.82
Tanzania Maasai	141	0.0	99.82
Tanzania Maasai	142	0.0	99.82
Tanzania Maasai	143	0.0	99.82
Tanzania Maasai	144	0.0	99.82
Tanzania Maasai	145	0.0	99.82
Tanzania Maasai	146	0.0	99.82
Tanzania Maasai	147	0.0	99.82
Tanzania Maasai	148	0.0	99.82
Tanzania Maasai	149	0.0	99.82
Tanzania Maasai	150	0.0	99.82
Tanzania Maasai	151	0.0	99.82
Tanzania Maasai	152	0.0	99.82
Tanzania Maasai	153	0.0	99.82
Tanzania Maasai	154	0.0	99.82
Tanzania Maasai	155	0.0	99.82
Tanzania Maasai	156	0.0	99.82
Tanzania Maasai	157	0.0	99.82
Tanzania Maasai	158	0.0	99.82
Tanzania Maasai	159	0.0	99.82
Tanzania Maasai	160	0.0	99.82
Tanzania Maasai	161	0.0	99.82
Tanzania Maasai	162	0.0	99.82
Tanzania Maasai	163	0.0	99.82
Tanzania Maasai	164	0.0	99.82
Tanzania Maasai	165	0.0	99.82
Tanzania Maasai	166	0.0	99.82
Tanzania Maasai	167	0.0	99.81
Tanzania Maasai	168	0.05	99.81
Tanzania Maasai	169	0.0	99.77
Tanzania Maasai	170	0.0	99.77
Tanzania Maasai	171	0.0	99.77
Tanzania Maasai	172	0.0	99.77
Tanzania Maasai	173	0.0	99.77
Tanzania Maasai	174	0.0	99.77
Tanzania Maasai	175	0.0	99.77
Tanzania Maasai	176	0.0	99.77
Tanzania Maasai	177	0.0	99.77
Tanzania Maasai	178	0.0	99.77
Tanzania Maasai	179	0.0	99.77
Tanzania Maasai	180	0.0	99.77
Tanzania Maasai	181	0.0	99.77
Tanzania Maasai	182	0.0	99.77
Tanzania Maasai	183	0.0	99.77
Tanzania Maasai	184	0.0	99.77
Tanzania Maasai	185	0.0	99.77
Tanzania Maasai	186	0.0	99.77
Tanzania Maasai	187	0.01	99.77
Tanzania Maasai	188	0.0	99.76
Tanzania Maasai	189	0.0	99.76
Tanzania Maasai	190	0.0	99.76
Tanzania Maasai	191	0.0	99.76
Tanzania Maasai	192	0.0	99.76
Tanzania Maasai	193	0.0	99.76
Tanzania Maasai	194	0.0	99.76
Tanzania Maasai	195	0.0	99.76
Tanzania Maasai	196	0.0	99.76
Tanzania Maasai	197	0.0	99.76
Tanzania Maasai	198	0.0	99.76
Tanzania Maasai	199	0.0	99.76
Tanzania Maasai	200	0.0	99.76
Tanzania Maasai	201	0.0	99.76
Tanzania Maasai	202	0.0	99.76
Tanzania Maasai	203	0.0	99.76
Tanzania Maasai	204	0.0	99.76
Tanzania Maasai	205	0.0	99.76
Tanzania Maasai	206	0.0	99.76
Tanzania Maasai	207	0.0	99.76
Tanzania Maasai	208	0.0	99.76
Tanzania Maasai	209	0.0	99.76
Tanzania Maasai	210	0.0	99.76
Tanzania Maasai	211	0.0	99.76
Tanzania Maasai	212	0.0	99.76
Tanzania Maasai	213	0.0	99.76
Tanzania Maasai	214	0.0	99.76
Tanzania Maasai	215	0.0	99.76
Tanzania Maasai	216	0.01	99.76
