class I
population/area	coverage	average_hit	pc90
USA African American Bethesda	99.99%	11745.13	5351.27
average	99.99%	11745.13	5351.27
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA African American Bethesda	0	0.01	100.0
USA African American Bethesda	1	0.0	99.99
USA African American Bethesda	2	0.0	99.99
USA African American Bethesda	3	0.0	99.99
USA African American Bethesda	4	0.0	99.99
USA African American Bethesda	5	0.0	99.99
USA African American Bethesda	6	0.0	99.99
USA African American Bethesda	7	0.0	99.99
USA African American Bethesda	8	0.0	99.99
USA African American Bethesda	9	0.0	99.99
USA African American Bethesda	10	0.0	99.99
USA African American Bethesda	11	0.0	99.99
USA African American Bethesda	12	0.0	99.99
USA African American Bethesda	13	0.0	99.99
USA African American Bethesda	14	0.0	99.99
USA African American Bethesda	15	0.0	99.99
USA African American Bethesda	16	0.0	99.99
USA African American Bethesda	17	0.0	99.99
USA African American Bethesda	18	0.0	99.99
USA African American Bethesda	19	0.0	99.99
USA African American Bethesda	20	0.0	99.99
USA African American Bethesda	21	0.0	99.99
USA African American Bethesda	22	0.0	99.99
USA African American Bethesda	23	0.0	99.99
USA African American Bethesda	24	0.0	99.99
USA African American Bethesda	25	0.0	99.99
USA African American Bethesda	26	0.0	99.99
USA African American Bethesda	27	0.0	99.99
USA African American Bethesda	28	0.0	99.99
USA African American Bethesda	29	0.0	99.99
USA African American Bethesda	30	0.0	99.99
USA African American Bethesda	31	0.0	99.99
USA African American Bethesda	32	0.0	99.99
USA African American Bethesda	33	0.0	99.99
USA African American Bethesda	34	0.0	99.99
USA African American Bethesda	35	0.0	99.99
USA African American Bethesda	36	0.0	99.99
USA African American Bethesda	37	0.0	99.99
USA African American Bethesda	38	0.0	99.99
USA African American Bethesda	39	0.0	99.99
USA African American Bethesda	40	0.0	99.99
USA African American Bethesda	41	0.0	99.99
USA African American Bethesda	42	0.0	99.99
USA African American Bethesda	43	0.0	99.99
USA African American Bethesda	44	0.0	99.99
USA African American Bethesda	45	0.0	99.99
USA African American Bethesda	46	0.0	99.99
USA African American Bethesda	47	0.0	99.99
USA African American Bethesda	48	0.0	99.99
USA African American Bethesda	49	0.0	99.99
USA African American Bethesda	50	0.0	99.99
USA African American Bethesda	51	0.0	99.99
USA African American Bethesda	52	0.0	99.99
USA African American Bethesda	53	0.0	99.99
USA African American Bethesda	54	0.0	99.99
USA African American Bethesda	55	0.0	99.99
USA African American Bethesda	56	0.0	99.99
USA African American Bethesda	57	0.0	99.99
USA African American Bethesda	58	0.0	99.99
USA African American Bethesda	59	0.0	99.99
USA African American Bethesda	60	0.0	99.99
USA African American Bethesda	61	0.0	99.99
USA African American Bethesda	62	0.0	99.99
USA African American Bethesda	63	0.0	99.99
USA African American Bethesda	64	0.0	99.99
USA African American Bethesda	65	0.0	99.99
USA African American Bethesda	66	0.0	99.99
USA African American Bethesda	67	0.0	99.99
USA African American Bethesda	68	0.0	99.99
USA African American Bethesda	69	0.0	99.99
USA African American Bethesda	70	0.0	99.99
USA African American Bethesda	71	0.0	99.99
USA African American Bethesda	72	0.0	99.99
USA African American Bethesda	73	0.0	99.99
USA African American Bethesda	74	0.0	99.99
USA African American Bethesda	75	0.0	99.99
