class I
population/area	coverage	average_hit	pc90
USA African American	100.0%	15421.07	5738.52
average	100.0%	15421.07	5738.52
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA African American	0	0.0	100.0
USA African American	1	0.0	100.0
USA African American	2	0.0	100.0
USA African American	3	0.0	100.0
USA African American	4	0.0	100.0
USA African American	5	0.0	100.0
USA African American	6	0.0	100.0
USA African American	7	0.0	100.0
USA African American	8	0.0	100.0
USA African American	9	0.0	100.0
USA African American	10	0.0	100.0
USA African American	11	0.0	100.0
USA African American	12	0.0	100.0
USA African American	13	0.0	100.0
USA African American	14	0.0	100.0
USA African American	15	0.0	100.0
USA African American	16	0.0	100.0
USA African American	17	0.0	100.0
USA African American	18	0.0	100.0
USA African American	19	0.0	100.0
USA African American	20	0.0	100.0
USA African American	21	0.0	100.0
USA African American	22	0.0	100.0
USA African American	23	0.0	100.0
USA African American	24	0.0	100.0
USA African American	25	0.0	100.0
USA African American	26	0.0	100.0
USA African American	27	0.0	99.99
USA African American	28	0.0	99.99
USA African American	29	0.0	99.99
USA African American	30	0.0	99.99
USA African American	31	0.0	99.99
USA African American	32	0.0	99.99
USA African American	33	0.0	99.99
USA African American	34	0.0	99.99
USA African American	35	0.0	99.99
USA African American	36	0.0	99.99
USA African American	37	0.0	99.99
USA African American	38	0.0	99.99
USA African American	39	0.0	99.99
USA African American	40	0.0	99.99
USA African American	41	0.0	99.99
USA African American	42	0.0	99.99
USA African American	43	0.0	99.99
USA African American	44	0.0	99.99
USA African American	45	0.0	99.99
USA African American	46	0.0	99.99
USA African American	47	0.0	99.99
USA African American	48	0.0	99.99
USA African American	49	0.0	99.99
USA African American	50	0.0	99.99
USA African American	51	0.0	99.99
USA African American	52	0.0	99.99
USA African American	53	0.0	99.99
USA African American	54	0.0	99.99
USA African American	55	0.0	99.99
USA African American	56	0.0	99.99
USA African American	57	0.0	99.99
USA African American	58	0.0	99.99
USA African American	59	0.0	99.99
USA African American	60	0.0	99.99
USA African American	61	0.0	99.99
USA African American	62	0.0	99.98
USA African American	63	0.0	99.98
USA African American	64	0.0	99.98
USA African American	65	0.0	99.98
USA African American	66	0.0	99.98
USA African American	67	0.0	99.98
USA African American	68	0.0	99.98
USA African American	69	0.0	99.98
USA African American	70	0.0	99.98
USA African American	71	0.0	99.98
USA African American	72	0.0	99.98
USA African American	73	0.0	99.98
USA African American	74	0.0	99.98
USA African American	75	0.0	99.98
USA African American	76	0.0	99.98
USA African American	77	0.0	99.98
USA African American	78	0.0	99.98
USA African American	79	0.0	99.98
USA African American	80	0.0	99.98
USA African American	81	0.0	99.98
USA African American	82	0.0	99.98
USA African American	83	0.0	99.98
USA African American	84	0.0	99.98
USA African American	85	0.0	99.98
USA African American	86	0.0	99.98
USA African American	87	0.0	99.98
USA African American	88	0.0	99.98
USA African American	89	0.0	99.98
USA African American	90	0.0	99.98
USA African American	91	0.0	99.98
USA African American	92	0.0	99.98
USA African American	93	0.0	99.98
USA African American	94	0.0	99.98
USA African American	95	0.0	99.98
USA African American	96	0.0	99.98
USA African American	97	0.0	99.98
USA African American	98	0.0	99.98
USA African American	99	0.0	99.98
USA African American	100	0.0	99.98
USA African American	101	0.0	99.98
USA African American	102	0.0	99.98
