class I
population/area	coverage	average_hit	pc90
USA Alaska Yupik	100.0%	10513.13	5378.17
average	100.0%	10513.13	5378.17
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA Alaska Yupik	0	0.0	100.0
USA Alaska Yupik	1	0.0	100.0
USA Alaska Yupik	2	0.0	100.0
USA Alaska Yupik	3	0.0	100.0
USA Alaska Yupik	4	0.0	100.0
USA Alaska Yupik	5	0.0	100.0
USA Alaska Yupik	6	0.0	100.0
USA Alaska Yupik	7	0.0	100.0
USA Alaska Yupik	8	0.0	100.0
USA Alaska Yupik	9	0.0	100.0
USA Alaska Yupik	10	0.0	100.0
USA Alaska Yupik	11	0.0	100.0
USA Alaska Yupik	12	0.0	100.0
USA Alaska Yupik	13	0.0	100.0
USA Alaska Yupik	14	0.0	100.0
USA Alaska Yupik	15	0.0	100.0
USA Alaska Yupik	16	0.0	100.0
USA Alaska Yupik	17	0.0	100.0
USA Alaska Yupik	18	0.0	100.0
USA Alaska Yupik	19	0.0	100.0
USA Alaska Yupik	20	0.0	100.0
USA Alaska Yupik	21	0.0	100.0
USA Alaska Yupik	22	0.0	100.0
USA Alaska Yupik	23	0.0	100.0
USA Alaska Yupik	24	0.0	100.0
USA Alaska Yupik	25	0.0	100.0
USA Alaska Yupik	26	0.0	100.0
USA Alaska Yupik	27	0.0	100.0
USA Alaska Yupik	28	0.0	100.0
USA Alaska Yupik	29	0.0	100.0
USA Alaska Yupik	30	0.0	100.0
USA Alaska Yupik	31	0.0	100.0
USA Alaska Yupik	32	0.0	100.0
USA Alaska Yupik	33	0.0	100.0
USA Alaska Yupik	34	0.0	100.0
USA Alaska Yupik	35	0.0	100.0
USA Alaska Yupik	36	0.0	100.0
USA Alaska Yupik	37	0.0	100.0
USA Alaska Yupik	38	0.0	100.0
USA Alaska Yupik	39	0.0	100.0
USA Alaska Yupik	40	0.0	100.0
USA Alaska Yupik	41	0.0	100.0
USA Alaska Yupik	42	0.0	100.0
USA Alaska Yupik	43	0.0	100.0
USA Alaska Yupik	44	0.0	100.0
USA Alaska Yupik	45	0.0	100.0
USA Alaska Yupik	46	0.0	100.0
USA Alaska Yupik	47	0.0	100.0
USA Alaska Yupik	48	0.0	100.0
USA Alaska Yupik	49	0.0	100.0
USA Alaska Yupik	50	0.0	100.0
USA Alaska Yupik	51	0.0	100.0
USA Alaska Yupik	52	0.0	100.0
USA Alaska Yupik	53	0.0	100.0
USA Alaska Yupik	54	0.0	100.0
USA Alaska Yupik	55	0.0	100.0
USA Alaska Yupik	56	0.0	100.0
USA Alaska Yupik	57	0.0	100.0
USA Alaska Yupik	58	0.0	100.0
USA Alaska Yupik	59	0.0	100.0
USA Alaska Yupik	60	0.0	100.0
USA Alaska Yupik	61	0.0	100.0
USA Alaska Yupik	62	0.0	100.0
USA Alaska Yupik	63	0.0	100.0
USA Alaska Yupik	64	0.0	100.0
USA Alaska Yupik	65	0.0	100.0
USA Alaska Yupik	66	0.0	100.0
USA Alaska Yupik	67	0.0	100.0
USA Alaska Yupik	68	0.0	100.0
USA Alaska Yupik	69	0.0	100.0
USA Alaska Yupik	70	0.0	100.0
USA Alaska Yupik	71	0.0	100.0
USA Alaska Yupik	72	0.0	100.0
USA Alaska Yupik	73	0.0	100.0
USA Alaska Yupik	74	0.0	100.0
USA Alaska Yupik	75	0.0	100.0
USA Alaska Yupik	76	0.0	100.0
USA Alaska Yupik	77	0.0	100.0
USA Alaska Yupik	78	0.0	100.0
USA Alaska Yupik	79	0.0	100.0
USA Alaska Yupik	80	0.0	100.0
USA Alaska Yupik	81	0.0	100.0
USA Alaska Yupik	82	0.0	100.0
USA Alaska Yupik	83	0.0	100.0
USA Alaska Yupik	84	0.0	100.0
USA Alaska Yupik	85	0.0	100.0
USA Alaska Yupik	86	0.0	100.0
USA Alaska Yupik	87	0.0	100.0
USA Alaska Yupik	88	0.0	100.0
USA Alaska Yupik	89	0.0	100.0
USA Alaska Yupik	90	0.0	100.0
USA Alaska Yupik	91	0.0	100.0
USA Alaska Yupik	92	0.0	100.0
USA Alaska Yupik	93	0.0	100.0
USA Alaska Yupik	94	0.0	100.0
USA Alaska Yupik	95	0.0	100.0
USA Alaska Yupik	96	0.0	100.0
USA Alaska Yupik	97	0.0	100.0
USA Alaska Yupik	98	0.0	100.0
USA Alaska Yupik	99	0.0	100.0
USA Alaska Yupik	100	0.0	100.0
USA Alaska Yupik	101	0.0	100.0
USA Alaska Yupik	102	0.0	100.0
USA Alaska Yupik	103	0.0	100.0
USA Alaska Yupik	104	0.0	100.0
USA Alaska Yupik	105	0.0	100.0
USA Alaska Yupik	106	0.0	100.0
USA Alaska Yupik	107	0.0	100.0
USA Alaska Yupik	108	0.0	100.0
USA Alaska Yupik	109	0.0	100.0
USA Alaska Yupik	110	0.0	100.0
USA Alaska Yupik	111	0.0	100.0
USA Alaska Yupik	112	0.0	100.0
USA Alaska Yupik	113	0.0	100.0
