class I
population/area	coverage	average_hit	pc90
USA Arizona Gila River Amerindian	100.0%	23637.58	9853.32
average	100.0%	23637.58	9853.32
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA Arizona Gila River Amerindian	0	0.0	100.0
USA Arizona Gila River Amerindian	1	0.0	100.0
USA Arizona Gila River Amerindian	2	0.0	100.0
USA Arizona Gila River Amerindian	3	0.0	100.0
USA Arizona Gila River Amerindian	4	0.0	100.0
USA Arizona Gila River Amerindian	5	0.0	100.0
USA Arizona Gila River Amerindian	6	0.0	100.0
USA Arizona Gila River Amerindian	7	0.0	100.0
USA Arizona Gila River Amerindian	8	0.0	100.0
USA Arizona Gila River Amerindian	9	0.0	100.0
USA Arizona Gila River Amerindian	10	0.0	100.0
USA Arizona Gila River Amerindian	11	0.0	100.0
USA Arizona Gila River Amerindian	12	0.0	100.0
USA Arizona Gila River Amerindian	13	0.0	100.0
USA Arizona Gila River Amerindian	14	0.0	100.0
USA Arizona Gila River Amerindian	15	0.0	100.0
USA Arizona Gila River Amerindian	16	0.0	100.0
USA Arizona Gila River Amerindian	17	0.0	100.0
USA Arizona Gila River Amerindian	18	0.0	100.0
USA Arizona Gila River Amerindian	19	0.0	100.0
USA Arizona Gila River Amerindian	20	0.0	100.0
USA Arizona Gila River Amerindian	21	0.0	100.0
USA Arizona Gila River Amerindian	22	0.0	100.0
USA Arizona Gila River Amerindian	23	0.0	100.0
USA Arizona Gila River Amerindian	24	0.0	100.0
USA Arizona Gila River Amerindian	25	0.0	100.0
USA Arizona Gila River Amerindian	26	0.0	100.0
USA Arizona Gila River Amerindian	27	0.0	100.0
USA Arizona Gila River Amerindian	28	0.0	100.0
USA Arizona Gila River Amerindian	29	0.0	100.0
USA Arizona Gila River Amerindian	30	0.0	100.0
USA Arizona Gila River Amerindian	31	0.0	100.0
USA Arizona Gila River Amerindian	32	0.0	100.0
USA Arizona Gila River Amerindian	33	0.0	100.0
